command_id,cmd_vx,cmd_vy,cmd_wz
DENSE_001,0.459375,0.270370,-0.198400
DENSE_002,-0.515625,-0.240741,0.121600
DENSE_003,0.084375,-0.040741,0.441600
DENSE_004,-0.215625,0.159259,0.761600
DENSE_005,0.384375,-0.174074,-0.761600
DENSE_006,-0.365625,0.025926,-0.441600
DENSE_007,0.234375,0.225926,-0.121600
DENSE_008,-0.065625,-0.107407,0.198400
DENSE_009,0.534375,0.092593,0.518400
DENSE_010,-0.553125,0.292593,-0.697600
DENSE_011,0.046875,-0.297531,-0.377600
DENSE_012,-0.253125,-0.097531,-0.057600
DENSE_013,0.346875,0.102469,0.262400
DENSE_014,-0.403125,-0.230864,0.582400
DENSE_015,0.196875,-0.030864,-0.633600
DENSE_016,-0.103125,0.169136,-0.313600
DENSE_017,0.496875,-0.164198,0.006400
DENSE_018,-0.478125,0.035802,0.326400
DENSE_019,0.121875,0.235802,0.646400
DENSE_020,-0.178125,-0.275309,-0.569600
DENSE_021,0.421875,-0.075309,-0.249600
DENSE_022,-0.328125,0.124691,0.070400
DENSE_023,0.271875,-0.208642,0.390400
DENSE_024,-0.028125,-0.008642,0.710400
DENSE_025,0.571875,0.191358,-0.505600
DENSE_026,-0.571875,-0.141975,-0.185600
DENSE_027,0.028125,0.058025,0.134400
DENSE_028,-0.271875,0.258025,0.454400
DENSE_029,0.328125,-0.253086,0.774400
DENSE_030,-0.421875,-0.053086,-0.748800
