command_id,cmd_vx,cmd_vy,cmd_wz
RANDOM_001,-0.473555,0.161982,-0.396318
RANDOM_002,0.057087,0.023997,-0.397065
RANDOM_003,0.489633,0.142067,0.116061
RANDOM_004,0.132144,-0.227598,0.765279
RANDOM_005,0.127416,0.214815,-0.320601
RANDOM_006,-0.577546,-0.288210,0.086954
RANDOM_007,-0.465412,-0.168982,-0.775701
RANDOM_008,-0.581068,-0.060398,0.758374
RANDOM_009,-0.157022,0.290658,-0.670125
RANDOM_010,-0.280132,0.099738,-0.542603
RANDOM_011,-0.133313,-0.052656,-0.687877
RANDOM_012,-0.531387,-0.187844,0.648089
