planned_unit_id,shift_id,block_id,position,method_id
R1_command_gain_coupling_SHIFT_BLOCK_01_frozen,R1_command_gain_coupling,SHIFT_BLOCK_01,1,frozen
R1_command_gain_coupling_SHIFT_BLOCK_01_passive,R1_command_gain_coupling,SHIFT_BLOCK_01,2,passive
R1_command_gain_coupling_SHIFT_BLOCK_01_full,R1_command_gain_coupling,SHIFT_BLOCK_01,3,full
R1_command_gain_coupling_SHIFT_BLOCK_02_passive,R1_command_gain_coupling,SHIFT_BLOCK_02,1,passive
R1_command_gain_coupling_SHIFT_BLOCK_02_full,R1_command_gain_coupling,SHIFT_BLOCK_02,2,full
R1_command_gain_coupling_SHIFT_BLOCK_02_frozen,R1_command_gain_coupling,SHIFT_BLOCK_02,3,frozen
R1_command_gain_coupling_SHIFT_BLOCK_03_full,R1_command_gain_coupling,SHIFT_BLOCK_03,1,full
R1_command_gain_coupling_SHIFT_BLOCK_03_frozen,R1_command_gain_coupling,SHIFT_BLOCK_03,2,frozen
R1_command_gain_coupling_SHIFT_BLOCK_03_passive,R1_command_gain_coupling,SHIFT_BLOCK_03,3,passive
R1_command_gain_coupling_SHIFT_BLOCK_04_frozen,R1_command_gain_coupling,SHIFT_BLOCK_04,1,frozen
R1_command_gain_coupling_SHIFT_BLOCK_04_passive,R1_command_gain_coupling,SHIFT_BLOCK_04,2,passive
R1_command_gain_coupling_SHIFT_BLOCK_04_full,R1_command_gain_coupling,SHIFT_BLOCK_04,3,full
R1_command_gain_coupling_SHIFT_BLOCK_05_passive,R1_command_gain_coupling,SHIFT_BLOCK_05,1,passive
R1_command_gain_coupling_SHIFT_BLOCK_05_full,R1_command_gain_coupling,SHIFT_BLOCK_05,2,full
R1_command_gain_coupling_SHIFT_BLOCK_05_frozen,R1_command_gain_coupling,SHIFT_BLOCK_05,3,frozen
R1_command_gain_coupling_SHIFT_BLOCK_06_full,R1_command_gain_coupling,SHIFT_BLOCK_06,1,full
R1_command_gain_coupling_SHIFT_BLOCK_06_frozen,R1_command_gain_coupling,SHIFT_BLOCK_06,2,frozen
R1_command_gain_coupling_SHIFT_BLOCK_06_passive,R1_command_gain_coupling,SHIFT_BLOCK_06,3,passive
R1_command_gain_coupling_SHIFT_BLOCK_07_frozen,R1_command_gain_coupling,SHIFT_BLOCK_07,1,frozen
R1_command_gain_coupling_SHIFT_BLOCK_07_passive,R1_command_gain_coupling,SHIFT_BLOCK_07,2,passive
R1_command_gain_coupling_SHIFT_BLOCK_07_full,R1_command_gain_coupling,SHIFT_BLOCK_07,3,full
