validation_session,training_rows,validation_rows,sampler,model,budget,validation_rmse
go2-session-01,122,61,raw_command,B0_raw,0,0.06465276042234926
go2-session-01,122,61,grid,M0_diagonal_affine,30,0.05101873965016799
go2-session-01,122,61,grid,M1_full_affine,30,0.04408308601939429
go2-session-01,122,61,random,M0_diagonal_affine,30,0.04680066610476134
go2-session-01,122,61,random,M1_full_affine,30,0.02927081996014896
go2-session-01,122,61,lhs,M0_diagonal_affine,30,0.0470288929667011
go2-session-01,122,61,lhs,M1_full_affine,30,0.02888003377854208
go2-session-01,122,61,sobol,M0_diagonal_affine,30,0.046647114351420674
go2-session-01,122,61,sobol,M1_full_affine,30,0.029536042095798805
go2-session-01,122,61,dense,M0_diagonal_affine,122,0.046047083057880946
go2-session-01,122,61,dense,M1_full_affine,122,0.027869002873052166
go2-session-02,122,61,raw_command,B0_raw,0,0.06517466519966811
go2-session-02,122,61,grid,M0_diagonal_affine,30,0.04862383931779612
go2-session-02,122,61,grid,M1_full_affine,30,0.037196046748126
go2-session-02,122,61,random,M0_diagonal_affine,30,0.04478411427179253
go2-session-02,122,61,random,M1_full_affine,30,0.030495989891170208
go2-session-02,122,61,lhs,M0_diagonal_affine,30,0.045163728380833074
go2-session-02,122,61,lhs,M1_full_affine,30,0.0315776702832958
go2-session-02,122,61,sobol,M0_diagonal_affine,30,0.04522968486626251
go2-session-02,122,61,sobol,M1_full_affine,30,0.030195751855446887
go2-session-02,122,61,dense,M0_diagonal_affine,122,0.044132169002647346
go2-session-02,122,61,dense,M1_full_affine,122,0.02996250284159571
go2-session-03,122,61,raw_command,B0_raw,0,0.06826753144468081
go2-session-03,122,61,grid,M0_diagonal_affine,30,0.04771152468167143
go2-session-03,122,61,grid,M1_full_affine,30,0.03648106967352907
go2-session-03,122,61,random,M0_diagonal_affine,30,0.04631653184025146
go2-session-03,122,61,random,M1_full_affine,30,0.03127519690169744
go2-session-03,122,61,lhs,M0_diagonal_affine,30,0.04467410146104425
go2-session-03,122,61,lhs,M1_full_affine,30,0.02973866595682843
go2-session-03,122,61,sobol,M0_diagonal_affine,30,0.047332120012578596
go2-session-03,122,61,sobol,M1_full_affine,30,0.03102405629778273
go2-session-03,122,61,dense,M0_diagonal_affine,122,0.04465266510322045
go2-session-03,122,61,dense,M1_full_affine,122,0.02947516541534073
