family,method,seed,trials_to_target,target_reached,final_rmse,final_uncertainty,final_coverage_95,oracle_budget
affine,dense,1001,256,True,0.0049769837662030315,7.072071576901052e-05,0.9562554680664916,256
affine,dense,1002,256,True,0.003197574096007329,7.072071576901052e-05,0.9562554680664916,256
affine,dense,1003,256,True,0.003769679479632935,7.072071576901052e-05,0.9553805774278216,256
affine,dense,1004,256,True,0.005473972460568478,7.072071576901052e-05,0.94750656167979,256
affine,dense,1005,256,True,0.003060714384726731,7.072071576901052e-05,0.958005249343832,256
affine,dense,1006,256,True,0.0052327001980414685,7.072071576901052e-05,0.9396325459317585,256
affine,dense,1007,256,True,0.0042800144970183895,7.072071576901052e-05,0.9440069991251093,256
affine,dense,1008,256,True,0.003669681336981528,7.072071576901052e-05,0.9518810148731408,256
affine,dense,1009,256,True,0.0024920297542392745,7.072071576901052e-05,0.9597550306211724,256
affine,dense,1010,256,True,0.003900884375055668,7.072071576901052e-05,0.952755905511811,256
affine,dense,1011,256,True,0.004004313156401271,7.072071576901052e-05,0.9483814523184602,256
affine,dense,1012,256,True,0.0032053560184935746,7.072071576901052e-05,0.9440069991251093,256
affine,dense,1013,256,True,0.007085176169377959,7.072071576901052e-05,0.9492563429571304,256
affine,dense,1014,256,True,0.0042783122012698726,7.072071576901052e-05,0.9501312335958005,256
affine,dense,1015,256,True,0.004970847867176891,7.072071576901052e-05,0.9308836395450568,256
affine,dense,1016,256,True,0.006140326308300309,7.072071576901052e-05,0.9501312335958005,256
affine,dense,1017,256,True,0.006027862549884382,7.072071576901052e-05,0.9492563429571304,256
affine,dense,1018,256,True,0.004207038176168838,7.072071576901052e-05,0.9553805774278216,256
affine,dense,1019,256,True,0.0034472089517648607,7.072071576901052e-05,0.9545056867891514,256
affine,dense,1020,256,True,0.003687749848219339,7.072071576901052e-05,0.9597550306211724,256
deadzone,dense,1001,256,True,0.014749098772628765,7.072071576901052e-05,0.9125109361329834,256
deadzone,dense,1002,256,True,0.00853278191683522,7.072071576901052e-05,0.9326334208223972,256
deadzone,dense,1003,256,True,0.013214550713756093,7.072071576901052e-05,0.9177602799650044,256
deadzone,dense,1004,256,True,0.00906621036570615,7.072071576901052e-05,0.9343832020997376,256
deadzone,dense,1005,256,True,0.009302523534754168,7.072071576901052e-05,0.9492563429571304,256
deadzone,dense,1006,256,True,0.008302492686608634,7.072071576901052e-05,0.9413823272090989,256
deadzone,dense,1007,256,True,0.008949751542840383,7.072071576901052e-05,0.9177602799650044,256
deadzone,dense,1008,256,True,0.00911381090782692,7.072071576901052e-05,0.9238845144356955,256
deadzone,dense,1009,256,True,0.009418111878724407,7.072071576901052e-05,0.9413823272090989,256
deadzone,dense,1010,256,True,0.00773202601907282,7.072071576901052e-05,0.9361329833770778,256
deadzone,dense,1011,256,True,0.007536149516546161,7.072071576901052e-05,0.9422572178477691,256
deadzone,dense,1012,256,True,0.010666972720480764,7.072071576901052e-05,0.9326334208223972,256
deadzone,dense,1013,256,True,0.010481648179172985,7.072071576901052e-05,0.9440069991251093,256
deadzone,dense,1014,256,True,0.008053092337763997,7.072071576901052e-05,0.9457567804024497,256
deadzone,dense,1015,256,True,0.009288744963173508,7.072071576901052e-05,0.9151356080489939,256
deadzone,dense,1016,256,True,0.008869861648002774,7.072071576901052e-05,0.9343832020997376,256
deadzone,dense,1017,256,True,0.015378878296255855,7.072071576901052e-05,0.9116360454943132,256
deadzone,dense,1018,256,True,0.00790297673723525,7.072071576901052e-05,0.9536307961504812,256
