replicate,scenario,hazard,accepted,expected_reason,reason_codes,expected_reason_present
0,safe_control,False,True,,,True
0,vx_high,True,False,COMMAND_AXIS_0,COMMAND_AXIS_0|LINEAR_SLEW,True
0,vy_low,True,False,COMMAND_AXIS_1,COMMAND_AXIS_1|LINEAR_SLEW,True
0,wz_high,True,False,COMMAND_AXIS_2,COMMAND_AXIS_2|ANGULAR_SLEW,True
0,linear_norm,True,False,LINEAR_NORM,LINEAR_NORM|LINEAR_SLEW,True
0,coupled,True,False,LINEAR_ANGULAR_COUPLING,LINEAR_ANGULAR_COUPLING,True
0,linear_slew,True,False,LINEAR_SLEW,LINEAR_SLEW,True
0,angular_slew,True,False,ANGULAR_SLEW,ANGULAR_SLEW,True
0,workspace,True,False,WORKSPACE_PROJECTED_AXIS_0,WORKSPACE_PROJECTED_AXIS_0,True
0,roll,True,False,ROLL_LIMIT,ROLL_LIMIT,True
0,pitch,True,False,PITCH_LIMIT,PITCH_LIMIT,True
0,height,True,False,BASE_HEIGHT_LIMIT,BASE_HEIGHT_LIMIT,True
0,yaw_rate,True,False,YAW_RATE_LIMIT,YAW_RATE_LIMIT,True
0,battery,True,False,LOW_BATTERY,LOW_BATTERY,True
0,localization,True,False,LOCALIZATION_INVALID,LOCALIZATION_INVALID,True
0,nonfinite,True,False,COMMAND_NONFINITE,COMMAND_NONFINITE,True
1,safe_control,False,True,,,True
1,vx_high,True,False,COMMAND_AXIS_0,COMMAND_AXIS_0|LINEAR_SLEW,True
1,vy_low,True,False,COMMAND_AXIS_1,COMMAND_AXIS_1|LINEAR_SLEW,True
1,wz_high,True,False,COMMAND_AXIS_2,COMMAND_AXIS_2|ANGULAR_SLEW,True
1,linear_norm,True,False,LINEAR_NORM,LINEAR_NORM|LINEAR_SLEW,True
1,coupled,True,False,LINEAR_ANGULAR_COUPLING,LINEAR_ANGULAR_COUPLING,True
1,linear_slew,True,False,LINEAR_SLEW,LINEAR_SLEW,True
1,angular_slew,True,False,ANGULAR_SLEW,ANGULAR_SLEW,True
1,workspace,True,False,WORKSPACE_PROJECTED_AXIS_0,WORKSPACE_PROJECTED_AXIS_0,True
1,roll,True,False,ROLL_LIMIT,ROLL_LIMIT,True
1,pitch,True,False,PITCH_LIMIT,PITCH_LIMIT,True
