scenario,tier,seed,phase,trial,profile_phase,sample,timestamp_s,cmd_vx,cmd_vy,cmd_wz,effective_vx,effective_vy,effective_wz,pose_x,pose_y,pose_yaw,base_height,roll,pitch,velocity_vx,velocity_vy,velocity_wz,aborted,abort_reason
tier_a_deadzone,A,5301,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035762787,4.720688e-05,2.0452257e-05,0.39739197,0.0061206357,0.0053465706,-0.027299194,0.0023140612,-0.003020322,False,
tier_a_deadzone,A,5302,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035762787,4.684925e-05,2.0454017e-05,0.39739197,0.0061206347,0.0053465725,-0.027299194,0.002314061,-0.003020273,False,
tier_a_deadzone,A,5303,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035762787,4.708767e-05,2.0454021e-05,0.39739197,0.0061206357,0.0053465744,-0.027299192,0.0023140588,-0.0030202996,False,
tier_a_deadzone,A,5304,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035762787,4.720688e-05,2.0452373e-05,0.39739197,0.0061206357,0.0053465706,-0.027299192,0.0023140607,-0.003020311,False,
tier_a_deadzone,A,5305,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035738945,4.720688e-05,2.0452724e-05,0.39739197,0.0061206366,0.0053465725,-0.027299203,0.0023140677,-0.00302038,False,
tier_a_deadzone,A,5306,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035738945,4.684925e-05,2.0454492e-05,0.39739197,0.0061206347,0.0053465744,-0.027299203,0.00231407,-0.003020321,False,
tier_a_deadzone,A,5307,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035738945,4.708767e-05,2.0454492e-05,0.39739197,0.0061206347,0.0053465744,-0.027299207,0.0023140672,-0.0030203431,False,
tier_a_deadzone,A,5308,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035738945,4.720688e-05,2.0452724e-05,0.39739197,0.0061206366,0.0053465725,-0.027299201,0.0023140654,-0.0030203732,False,
tier_a_deadzone,A,5309,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0003580656,4.720688e-05,2.0452831e-05,0.39739197,0.0061206366,0.0053465706,-0.027299201,0.0023140635,-0.0030203683,False,
tier_a_deadzone,A,5310,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0003580656,4.684925e-05,2.0455074e-05,0.39739197,0.0061206347,0.0053465744,-0.027299194,0.0023140665,-0.003020307,False,
tier_a_deadzone,A,5311,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0003580656,4.708767e-05,2.0455298e-05,0.39739197,0.0061206347,0.0053465725,-0.0272992,0.002314066,-0.003020324,False,
tier_a_deadzone,A,5312,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0003580656,4.720688e-05,2.0452715e-05,0.39739197,0.0061206366,0.0053465706,-0.027299201,0.0023140635,-0.0030203583,False,
tier_a_deadzone,A,5313,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035881996,4.720688e-05,2.0452831e-05,0.39739197,0.0061206366,0.0053465706,-0.027299197,0.0023140651,-0.0030203783,False,
tier_a_deadzone,A,5314,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035881996,4.684925e-05,2.0454609e-05,0.39739197,0.0061206347,0.0053465744,-0.027299205,0.0023140695,-0.0030203166,False,
tier_a_deadzone,A,5315,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035881996,4.708767e-05,2.0454725e-05,0.39739197,0.0061206347,0.0053465744,-0.027299205,0.0023140665,-0.003020346,False,
tier_a_deadzone,A,5316,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035881996,4.720688e-05,2.0452715e-05,0.39739197,0.0061206366,0.0053465706,-0.0272992,0.0023140663,-0.0030203601,False,
tier_a_deadzone,A,5317,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035858154,4.720688e-05,2.045214e-05,0.39739197,0.0061206357,0.0053465706,-0.027299194,0.0023140586,-0.0030203157,False,
tier_a_deadzone,A,5318,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035858154,4.684925e-05,2.045391e-05,0.39739197,0.0061206347,0.0053465744,-0.027299192,0.0023140607,-0.0030202777,False,
tier_a_deadzone,A,5319,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035858154,4.708767e-05,2.045391e-05,0.39739197,0.0061206347,0.0053465744,-0.027299188,0.002314059,-0.0030203087,False,
tier_a_deadzone,A,5320,calibration,1,-1,0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00035858154,4.720688e-05,2.0452499e-05,0.39739197,0.0061206357,0.0053465725,-0.02729919,0.0023140616,-0.0030203073,False,
tier_a_deadzone,A,5301,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008339882,0.00010728836,-0.00045018876,0.39121714,0.012378996,0.009172633,-0.01664768,-0.0017298697,-0.030530594,False,
tier_a_deadzone,A,5302,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008339882,0.00010621548,-0.00045018666,0.3912171,0.012378997,0.009172633,-0.016647657,-0.0017298772,-0.030530613,False,
tier_a_deadzone,A,5303,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008339882,0.000106453896,-0.00045018733,0.39121714,0.012378996,0.009172639,-0.01664767,-0.0017298784,-0.03053071,False,
tier_a_deadzone,A,5304,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008339882,0.00010561943,-0.00045018876,0.39121714,0.012378994,0.009172635,-0.016647693,-0.0017298709,-0.030530578,False,
tier_a_deadzone,A,5305,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00083208084,0.00010728836,-0.0004501862,0.3912171,0.012378999,0.009172633,-0.016647689,-0.0017298853,-0.030530376,False,
tier_a_deadzone,A,5306,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00083208084,0.00010621548,-0.0004501841,0.39121714,0.012378998,0.009172633,-0.016647695,-0.0017298835,-0.030530654,False,
tier_a_deadzone,A,5307,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00083208084,0.000106453896,-0.00045018524,0.3912171,0.012378997,0.009172637,-0.016647693,-0.001729884,-0.030530645,False,
tier_a_deadzone,A,5308,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00083208084,0.00010561943,-0.00045018556,0.3912171,0.012378999,0.009172631,-0.016647687,-0.0017298886,-0.030530337,False,
tier_a_deadzone,A,5309,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00083182007,0.00010728836,-0.00045018602,0.39121714,0.012378999,0.009172631,-0.016647693,-0.0017298791,-0.030530492,False,
tier_a_deadzone,A,5310,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008318182,0.00010621548,-0.00045018314,0.3912171,0.012378997,0.009172637,-0.016647663,-0.001729887,-0.030530518,False,
tier_a_deadzone,A,5311,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008318182,0.000106453896,-0.00045018434,0.3912171,0.012378996,0.009172633,-0.016647674,-0.0017298893,-0.03053062,False,
tier_a_deadzone,A,5312,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.00083182007,0.00010561943,-0.00045018605,0.39121714,0.012378999,0.00917263,-0.016647682,-0.0017298816,-0.030530525,False,
tier_a_deadzone,A,5313,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008325577,0.00010728836,-0.00045018573,0.39121714,0.012378998,0.009172633,-0.016647685,-0.001729887,-0.030530468,False,
tier_a_deadzone,A,5314,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008325577,0.00010621548,-0.00045018364,0.3912171,0.012378997,0.009172635,-0.01664767,-0.0017298856,-0.03053049,False,
tier_a_deadzone,A,5315,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008325577,0.000106453896,-0.0004501841,0.3912171,0.012378998,0.009172633,-0.016647661,-0.0017298926,-0.030530522,False,
tier_a_deadzone,A,5316,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0008325577,0.00010561943,-0.00045018602,0.39121714,0.012378999,0.009172631,-0.016647696,-0.0017298891,-0.030530501,False,
tier_a_deadzone,A,5317,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.000831604,0.00010728836,-0.0004501883,0.3912171,0.012378997,0.009172633,-0.016647657,-0.0017298758,-0.030530447,False,
tier_a_deadzone,A,5318,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.000831604,0.00010621548,-0.0004501864,0.39121714,0.012378995,0.009172639,-0.016647676,-0.0017298793,-0.030530581,False,
tier_a_deadzone,A,5319,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.000831604,0.000106453896,-0.00045018666,0.3912171,0.012378997,0.009172635,-0.016647646,-0.0017298835,-0.030530611,False,
tier_a_deadzone,A,5320,calibration,1,-1,1,0.02,-0.4,0.0,0.0,0.0,0.0,0.0,-0.000831604,0.00010561943,-0.00045018896,0.39121714,0.012378999,0.009172635,-0.016647672,-0.001729873,-0.030530564,False,
tier_a_deadzone,A,5301,calibration,1,-1,2,0.04,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0012974739,0.00017499924,-0.0006244605,0.3819601,0.012190715,0.014070879,-0.014653985,-0.005256263,-0.0007777004,False,
tier_a_deadzone,A,5302,calibration,1,-1,2,0.04,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0012974739,0.00017392635,-0.00062445935,0.38195992,0.012190724,0.014070882,-0.0146539835,-0.005256287,-0.0007776012,False,
tier_a_deadzone,A,5303,calibration,1,-1,2,0.04,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0012974739,0.00017428398,-0.00062446,0.3819601,0.012190724,0.014070886,-0.014653984,-0.0052562663,-0.0007775719,False,
tier_a_deadzone,A,5304,calibration,1,-1,2,0.04,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0012974739,0.00017309189,-0.00062445976,0.3819601,0.012190714,0.014070882,-0.014654013,-0.005256256,-0.0007776173,False,
tier_a_deadzone,A,5305,calibration,1,-1,2,0.04,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0012946129,0.00017499924,-0.000624457,0.3819599,0.012190729,0.014070879,-0.014653968,-0.0052562733,-0.00077769946,False,
