scenario,seed,method,recovery_trial,rolling_rmse,target_rmse
gain_coupling_shift,6601,full,4,0.1599801208916513,0.14
gain_coupling_shift,6602,full,4,0.14450321541574387,0.14
gain_coupling_shift,6603,full,4,0.12337876456915892,0.14
gain_coupling_shift,6604,full,4,0.1188676809350946,0.14
gain_coupling_shift,6605,full,4,0.12140513986119682,0.14
gain_coupling_shift,6606,full,4,0.11802563855676572,0.14
gain_coupling_shift,6607,full,4,0.11244189909101707,0.14
gain_coupling_shift,6608,full,4,0.1391380835329427,0.14
gain_coupling_shift,6609,full,4,0.14715235419331182,0.14
gain_coupling_shift,6610,full,4,0.13342529913896561,0.14
gain_coupling_shift,6611,full,4,0.15072389156390062,0.14
gain_coupling_shift,6612,full,4,0.1338389301803226,0.14
gain_coupling_shift,6613,full,4,0.11731336480981515,0.14
gain_coupling_shift,6614,full,4,0.1411841689806931,0.075
gain_coupling_shift,6615,full,4,0.12652881522233797,0.14
gain_coupling_shift,6616,full,4,0.1358603681953586,0.14
gain_coupling_shift,6617,full,4,0.10846934832119978,0.14
gain_coupling_shift,6618,full,4,0.1477279371540722,0.14
gain_coupling_shift,6619,full,4,0.12349822676567261,0.14
gain_coupling_shift,6620,full,4,0.10947283612229898,0.14
gain_coupling_shift,6601,full,5,0.15525850417429318,0.14
gain_coupling_shift,6602,full,5,0.14161365482584118,0.14
gain_coupling_shift,6603,full,5,0.1110413017502945,0.14
gain_coupling_shift,6604,full,5,0.10793828572149615,0.14
gain_coupling_shift,6605,full,5,0.11646933883604103,0.14
gain_coupling_shift,6606,full,5,0.11672352964958303,0.14
gain_coupling_shift,6607,full,5,0.11166021740544739,0.14
gain_coupling_shift,6608,full,5,0.12516396014103826,0.14
gain_coupling_shift,6609,full,5,0.12621562488782917,0.14
gain_coupling_shift,6610,full,5,0.11705263194453823,0.14
gain_coupling_shift,6611,full,5,0.13671037985003398,0.14
gain_coupling_shift,6612,full,5,0.12009925062819378,0.14
gain_coupling_shift,6613,full,5,0.10668238353097113,0.14
gain_coupling_shift,6614,full,5,0.13722320506184482,0.075
gain_coupling_shift,6615,full,5,0.11510320413696454,0.14
gain_coupling_shift,6616,full,5,0.1289890199366384,0.14
gain_coupling_shift,6617,full,5,0.11473187827899933,0.14
gain_coupling_shift,6618,full,5,0.15128013736403811,0.14
gain_coupling_shift,6619,full,5,0.12038471654258762,0.14
gain_coupling_shift,6620,full,5,0.10626983345253331,0.14
gain_coupling_shift,6601,full,6,0.12429706499625946,0.14
gain_coupling_shift,6602,full,6,0.0907444241366799,0.14
gain_coupling_shift,6603,full,6,0.05782309103504139,0.14
gain_coupling_shift,6604,full,6,0.07559829658269092,0.14
gain_coupling_shift,6605,full,6,0.07688928699436523,0.14
gain_coupling_shift,6606,full,6,0.0730241894930347,0.14
gain_coupling_shift,6607,full,6,0.07807903200220519,0.14
gain_coupling_shift,6608,full,6,0.06373245937129847,0.14
gain_coupling_shift,6609,full,6,0.06439125092385456,0.14
gain_coupling_shift,6610,full,6,0.06391216044205056,0.14
gain_coupling_shift,6611,full,6,0.0827964935318679,0.14
gain_coupling_shift,6612,full,6,0.0850789119652566,0.14
gain_coupling_shift,6613,full,6,0.07328199315382837,0.14
gain_coupling_shift,6614,full,6,0.09767030787316036,0.075
gain_coupling_shift,6615,full,6,0.07045265328637157,0.14
gain_coupling_shift,6616,full,6,0.0813512346643778,0.14
gain_coupling_shift,6617,full,6,0.07898248770349375,0.14
gain_coupling_shift,6618,full,6,0.10587619353685737,0.14
gain_coupling_shift,6619,full,6,0.07915792208896155,0.14
gain_coupling_shift,6620,full,6,0.06807907745238999,0.14
gain_coupling_shift,6601,full,7,0.12227104886639954,0.14
gain_coupling_shift,6602,full,7,0.08638193472857339,0.14
gain_coupling_shift,6603,full,7,0.0485869018114537,0.14
gain_coupling_shift,6604,full,7,0.06975120403001696,0.14
gain_coupling_shift,6605,full,7,0.07194956063301965,0.14
gain_coupling_shift,6606,full,7,0.06768729398589335,0.14
gain_coupling_shift,6607,full,7,0.07211264607762934,0.14
gain_coupling_shift,6608,full,7,0.05700181818242124,0.14
gain_coupling_shift,6609,full,7,0.051863016048713004,0.14
gain_coupling_shift,6610,full,7,0.06080456944215278,0.14
gain_coupling_shift,6611,full,7,0.07479511735796289,0.14
gain_coupling_shift,6612,full,7,0.07963035904100153,0.14
gain_coupling_shift,6613,full,7,0.06402059789485146,0.14
