scenario,seed,method,phase,recovery_trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,rolling_rmse,target_rmse,recovered,valid,safety_events
gain_coupling_shift,6601,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.16652932846001425,-0.10257626315373522,0.029333172176777732,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6602,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.1812430075117482,-0.12614419489195047,0.010620955668387928,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6603,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.19927895910451005,-0.07473020527709014,0.027071791859888505,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6604,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.19164853960269326,-0.13460904609112936,-0.0638333540592866,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6605,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.17194035056764845,-0.08188173400901383,0.012635656539802009,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6606,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.2133931967384405,-0.13039515383060551,0.053133238496976605,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6607,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.17968885866707784,-0.11224420752251517,0.013397392231384428,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6608,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.19921629725930365,-0.06983115907816495,0.0009019268721978145,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6609,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.15676090354397054,-0.11660905640370044,-0.000509076764336844,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6610,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.18816920290396189,-0.0790087848381704,0.03669205461428503,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6611,full,adaptation,1,active,0.29894085526466374,-0.11487357644364238,0.40039934199303384,0.10234964305050502,-0.03435120989266843,0.24641100621830153,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6612,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.184171376810686,-0.11338823957660962,0.052665109767038684,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6613,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.20156804326093578,-0.11588980299007907,-0.02488855090659238,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6614,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.17971425684352976,-0.06891577158682335,-0.021796612987477662,nan,nan,nan,nan,0.075,False,True,
gain_coupling_shift,6615,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.20048954527609295,-0.07778550763445487,0.03629514692585734,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6616,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.19820744869221305,-0.12748121444423743,0.0019136960080814803,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6617,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.1681280498905268,-0.10322646552148403,-0.04031145900837169,nan,nan,nan,nan,0.14,False,True,
gain_coupling_shift,6618,full,adaptation,1,active,0.31750029847025873,-0.16135344980284572,-0.06948299128562208,0.16544515709410004,-0.0925158293073833,0.019727934117665137,nan,nan,nan,nan,0.14,False,True,
