scenario,seed,method,context_stage,monitor_trial,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,normalized_nis,cusum,legacy_alarm,signature_distance,alarm,valid,safety_events
final030_payload_com_only,18101,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12815934601952153,0.009051107116202203,-0.221558488651938,-0.1997652173358656,0.002182664455228488,-0.1866684070995733,0.6824775360996184,0.0,False,nan,False,True,
final030_payload_com_only,18102,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11824802736017737,0.015901405691756354,-0.17361707211204425,-0.1979069330770037,-0.005448608217768381,-0.1846700900493778,0.8098205164807387,0.0,False,nan,False,True,
final030_payload_com_only,18103,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.15870129880866357,0.006762514469017227,-0.1656220618287784,-0.19754058751483072,0.0006602826693401707,-0.18295840871403518,0.2012536592125186,0.0,False,nan,False,True,
final030_payload_com_only,18104,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12918903020819766,0.01588211499541915,-0.18582225785244266,-0.20669102346805143,-0.008535609424646385,-0.1779386803006067,0.7801753326357943,0.0,False,nan,False,True,
final030_payload_com_only,18105,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12062442185482382,0.021252614493401094,-0.22380089571285883,-0.2008000061431652,-0.010421799000448305,-0.19019785740418682,0.9527435932326416,0.0,False,nan,False,True,
final030_payload_com_only,18106,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.15620441169792101,0.01113181463007792,-0.16503290855347716,-0.20615483339522656,-0.0005599068805613484,-0.1811907823582653,0.32604810886083563,0.0,False,nan,False,True,
final030_payload_com_only,18107,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.14149640443692066,0.019521988301666418,-0.18417590732793865,-0.20883795875944655,-0.0025378530524554424,-0.1807834186532917,0.5841361490138373,0.0,False,nan,False,True,
final030_payload_com_only,18108,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.16110533951594297,0.0098051555281607,-0.17951197263724988,-0.20293827228579375,-0.010020549658976675,-0.1861915414570432,0.25625110291159114,0.0,False,nan,False,True,
final030_payload_com_only,18109,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12029230911596972,0.014499747118693436,-0.18881497662551422,-0.19787793049519023,-0.010739274163414613,-0.18208833336154429,0.7880610696740926,0.0,False,nan,False,True,
final030_payload_com_only,18110,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.18111898263735302,0.01134936348499087,-0.16546440733464213,-0.20816278700168755,-0.00019299168073228044,-0.18112756148218384,0.11668505762319104,0.0,False,nan,False,True,
final030_payload_com_only,18111,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1678192616701293,0.010417607108029199,-0.18968713423704403,-0.20513856426185775,-0.0024616813084586083,-0.18262698450239395,0.18526896571058085,0.0,False,nan,False,True,
final030_payload_com_only,18112,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12327583920505272,0.017505674991207705,-0.1850986702356708,-0.20263025568251747,-0.009135748045353139,-0.17830442455474618,0.8293039972692705,0.0,False,nan,False,True,
final030_payload_com_only,18113,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.06631268908259172,0.009966213516354011,-0.17179599328887982,-0.20229054191392704,0.0010784097986471979,-0.18074160925430116,2.2022214157296376,0.7022214157296376,False,nan,False,True,
final030_payload_com_only,18114,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1283654733726853,0.01181060765268986,-0.15050504234501827,-0.20114713827982622,-0.0010049154999969346,-0.18160368362062265,0.7046668161326407,0.0,False,nan,False,True,
final030_payload_com_only,18115,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.0948665793215106,0.017589649876185928,-0.1766362304210461,-0.19352948645458357,-0.0019803476561484033,-0.18189371490504877,1.1947312283590048,0.0,False,nan,False,True,
final030_payload_com_only,18116,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.10463971300252808,0.0192475983748985,-0.18068126680142751,-0.2040116740616334,-0.006392102491767819,-0.1838954759411834,1.240987004620724,0.0,False,nan,False,True,
final030_payload_com_only,18117,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1297745054627586,0.00773790969688588,-0.19762166669376963,-0.197460071227528,-0.007962630417185562,-0.18189319681473326,0.5837255407667774,0.0,False,nan,False,True,
final030_payload_com_only,18118,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.22095506165252152,0.011903730421242379,-0.21244290257531973,-0.20695717896973762,0.00043721606699238477,-0.18618370300902334,0.08150035230353697,0.0,False,nan,False,True,
final030_payload_com_only,18119,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1373540380071184,0.02571671998546255,-0.20256331465794603,-0.2065231433262175,-0.004490846204730074,-0.18570135299598936,0.6782008268595021,0.0,False,nan,False,True,
final030_payload_com_only,18120,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1123081144093747,0.021865190665901944,-0.2236918909281003,-0.20137890238350273,-0.01054976133046105,-0.19020810777520528,1.138617770125084,0.0,False,nan,False,True,
final030_payload_com_only,18121,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11871856769929516,0.017486425994217333,-0.19855737379406593,-0.20708079103890367,-0.0019487551974822761,-0.18206605638460868,0.9621803880760332,0.0,False,nan,False,True,
final030_payload_com_only,18122,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.16629964911635198,0.004702940940752006,-0.18644224367129306,-0.20567132711454003,-0.007622704456357899,-0.18626645760527197,0.19964117032581205,0.0,False,nan,False,True,
final030_payload_com_only,18123,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12073005885744152,0.019441172485562472,-0.19763792498059737,-0.20596164202710487,-0.007524236274361395,-0.17833481333071177,0.962702250833818,0.0,False,nan,False,True,
final030_payload_com_only,18124,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1489279239209935,0.010847910664441563,-0.1991944327507152,-0.20594234081171553,-0.0034053577371021,-0.17835154432200465,0.4334342498377781,0.0,False,nan,False,True,
final030_payload_com_only,18125,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1291864545250742,0.017147483301234355,-0.14798941560982004,-0.20223910155806615,0.0016129334997585774,-0.18022718123663214,0.718279725978279,0.0,False,nan,False,True,
final030_payload_com_only,18126,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.12336814123343193,0.015738375620289638,-0.20643703078671174,-0.19975146743698666,-0.010471793819152668,-0.1824199689898315,0.8053049113252628,0.0,False,nan,False,True,
final030_payload_com_only,18127,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11689997916696801,0.030533262693446576,-0.22625091235651473,-0.20457928690901026,-0.0008067624458948538,-0.18546936556529814,1.1055598496214614,0.0,False,nan,False,True,
final030_payload_com_only,18128,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.13919838766110768,0.007135165180187886,-0.19730677271478597,-0.20710585265221534,-0.004502340895990383,-0.18550588427189174,0.5646366713889909,0.0,False,nan,False,True,
final030_payload_com_only,18129,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.11481761118244958,0.02148438904903401,-0.18211986270493502,-0.20579416582153504,-0.009066578258093545,-0.18062121746730686,1.086426693067525,0.0,False,nan,False,True,
final030_payload_com_only,18130,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.15959942904636465,0.012213561376840374,-0.18311080561257786,-0.2086210405965101,-0.001438870048058134,-0.18253662140469631,0.3035400143997644,0.0,False,nan,False,True,
final030_payload_com_only,18131,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.14070919121881809,0.010863672226203939,-0.14960354628527547,-0.20864933508224556,-0.0010879878440106733,-0.17869068550437872,0.6064494629579185,0.0,False,nan,False,True,
final030_payload_com_only,18132,frozen,pre_shift,1,-0.2,0.0,-0.2,-0.1640721389367055,0.007466185526108563,-0.18528282763107093,-0.20116004746141514,0.000672894954448834,-0.1838885952392778,0.16816355292156518,0.0,False,nan,False,True,
