scenario,seed,method,recovery_trial,rolling_rmse,target_rmse
replication030_friction_payload,20101,frozen,4,0.13907814077728312,0.09839177559470558
replication030_friction_payload,20103,frozen,4,0.1274187817235765,0.08172821190408061
replication030_friction_payload,20107,frozen,4,0.14942044075212252,0.10799346031285073
replication030_friction_payload,20108,frozen,4,0.1378184675091257,0.075
replication030_friction_payload,20110,frozen,4,0.13785845225382068,0.0783480207535146
replication030_friction_payload,20111,frozen,4,0.15553413047784526,0.08833482149486611
replication030_friction_payload,20113,frozen,4,0.14042849186699702,0.075
replication030_friction_payload,20114,frozen,4,0.14574518789465848,0.09033727778874907
replication030_friction_payload,20116,frozen,4,0.13494026909605794,0.08385137943682383
replication030_friction_payload,20124,frozen,4,0.12327015234779687,0.10120582627801641
replication030_friction_payload,20125,frozen,4,0.15470253130383912,0.10113126183421399
replication030_friction_payload,20126,frozen,4,0.11879597663459775,0.10521829718703998
replication030_friction_payload,20129,frozen,4,0.14247313157349867,0.10118691732576475
replication030_friction_payload,20131,frozen,4,0.12740363335871735,0.075
replication030_friction_payload,20133,frozen,4,0.1300443106150695,0.09174259839176216
replication030_friction_payload,20134,frozen,4,0.15092335604751655,0.1013849125124496
replication030_friction_payload,20135,frozen,4,0.15337189591690328,0.11432247871480057
replication030_friction_payload,20136,frozen,4,0.15170454438751957,0.10202851301713833
replication030_friction_payload,20137,frozen,4,0.15371550739043308,0.09642170896099118
replication030_friction_payload,20141,frozen,4,0.13221053541048527,0.09761150714996578
replication030_friction_payload,20143,frozen,4,0.13166388609428756,0.07949108462851502
replication030_friction_payload,20144,frozen,4,0.15596332143339692,0.09642461349129819
replication030_friction_payload,20145,frozen,4,0.15467475656690347,0.09482013356745327
replication030_friction_payload,20148,frozen,4,0.12120192489029413,0.075
replication030_friction_payload,20150,frozen,4,0.1464718078088607,0.0929343250706317
replication030_friction_payload,20151,frozen,4,0.14883567679419266,0.10965381685121206
replication030_friction_payload,20152,frozen,4,0.14986929118380973,0.11119884383249669
replication030_friction_payload,20154,frozen,4,0.12727975865802732,0.0788573299538326
replication030_friction_payload,20155,frozen,4,0.13798742688433954,0.09966750268662639
replication030_friction_payload,20157,frozen,4,0.13128909715416193,0.0920027438813757
replication030_friction_payload,20158,frozen,4,0.14772875118601136,0.09124300853846992
replication030_friction_payload,20159,frozen,4,0.1417659365505737,0.08018675355863879
replication030_friction_payload,20163,frozen,4,0.10241795276691855,0.08179484004222386
replication030_friction_payload,20164,frozen,4,0.1521861684307852,0.09146956107293762
replication030_friction_payload,20165,frozen,4,0.15196577159732536,0.08439610606650923
replication030_friction_payload,20167,frozen,4,0.11878261085393595,0.075
replication030_friction_payload,20168,frozen,4,0.14882901677011987,0.10097306989551225
replication030_friction_payload,20169,frozen,4,0.10371376852442869,0.075
replication030_friction_payload,20101,frozen,5,0.14809817608609716,0.09839177559470558
replication030_friction_payload,20102,frozen,5,0.15177509100820213,0.08566833640019393
replication030_friction_payload,20103,frozen,5,0.12864727559177697,0.08172821190408061
