scenario,seed,method,phase,recovery_trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,rolling_rmse,target_rmse,recovered,valid,safety_events
confirm_gain_recoupling,10101,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.1837035123203283,-0.07194356346103208,-0.22380293133700163,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10102,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2060211353676739,-0.057827174961015346,-0.18339830573539717,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10103,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.18333357098052,-0.006139423552123751,-0.1819888933713593,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10104,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2311992899160743,-0.049876857067390395,-0.18112086569421762,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10105,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.24878294457578162,-0.11500820900401335,-0.15048024012826455,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10106,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.19906777537199022,-0.10905415326621078,-0.11565706220136028,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10107,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.21936697073562209,-0.05671512437867715,-0.23249445328594284,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10108,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.12096069704721503,0.02069246618326592,-0.16320568523517517,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10109,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2362296143799009,-0.016072006906229647,-0.1803697627279354,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10110,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.21658677321515163,-0.12272463292097538,-0.14122942411524272,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10111,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.24825965330046906,-0.1045499223887632,-0.2261932333059674,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10112,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.20305470809343665,-0.0357387554633704,-0.2248976831509463,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10113,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2226091852459202,-0.13014315545984104,-0.16958840667837588,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10114,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.1569483476589689,-0.02764847934408619,-0.19610937727864114,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10115,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.1933646354206737,-0.02119614444121693,-0.18435666759409539,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10116,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.18137103430731943,-0.07636430121372492,-0.19524307050855474,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10117,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2362159666915054,-0.06669632070813034,-0.26731914388832984,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10118,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.20347807859560083,-0.07984399164734358,-0.21205266833638164,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10119,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.22327678698595707,-0.049437879784498366,-0.17944918251452935,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10120,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.22304111771906926,-0.041598288153317994,-0.24982353747029298,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10121,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.24633389770482184,-0.10385175196262486,-0.20681033920313271,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10122,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.20834498264891177,-0.08883050517567911,-0.25939300534838783,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10123,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.22603684311553165,-0.08253314960634144,-0.24217085022788906,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10124,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.20758257359682572,-0.07729818183368885,-0.20703110405223604,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10125,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.14150556519931776,0.011685606435387297,-0.25742193524759327,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10126,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.23320973731705608,-0.120397260519817,-0.22429094309276829,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10127,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.25449829451481315,-0.04353178541492868,-0.2419456942788031,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10128,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.19986152158253043,-0.0748756290155758,-0.20759968947408752,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10129,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2563532709310539,-0.0818518088164041,-0.20807788434008279,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10130,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.18510567727150798,-0.007591201223691175,-0.2187129820916057,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10131,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2603951476246354,-0.04908025985086021,-0.26990208098150686,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10132,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.20320319649984978,-0.07105384210074794,-0.21905308099210996,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10133,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.17003049853154067,-0.001501509922831525,-0.2364802865066635,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10134,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.17406418134970483,-0.04675487472753463,-0.24729041594443443,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10135,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.15646087058868322,-0.029725259052497816,-0.19654440238859913,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10136,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.19415346584606258,-0.040855551001440074,-0.22387513084807212,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10137,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2361118751283024,-0.0608589446863213,-0.2338846755442924,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10138,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.20041997640443324,-0.02046271027841048,-0.19711977617237625,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10139,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.23107240054454298,-0.06617498023547495,-0.19614062247371544,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10140,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.17673855076404232,-0.05194557413040383,-0.23820314782753374,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10141,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2552671008230107,-0.0028170169291236295,-0.20695367292798653,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10142,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2041066211903535,-0.0695614281590851,-0.23303736746048556,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10143,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.22224179383582626,-0.04877958619814645,-0.16913965639387205,nan,nan,nan,nan,0.10540134676146734,False,True,
confirm_gain_recoupling,10144,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.22105861271865287,-0.07345628305215243,-0.2333931695175084,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10145,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2287164673175725,-0.04520219844436914,-0.16626102753257968,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10146,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.17214896029205634,-0.04522506529749651,-0.20997148053884657,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10147,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2907719529701959,-0.0991218229915581,-0.2424773753099029,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10148,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.20897038494610207,-0.04913769476933722,-0.1996346531439952,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10149,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.15390935389635357,-0.039398329102343,-0.24146011777826987,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10150,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.24893215866918064,-0.13996174361051547,-0.1648420791015345,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10151,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.18502362787306187,-0.0375774366995868,-0.17503869109540454,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10152,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.19854586673410077,-0.011676222784250227,-0.2113726183345441,nan,nan,nan,nan,0.14,False,True,
confirm_gain_recoupling,10153,passive,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.2558849282355019,-0.057463317167625684,-0.2186392534452838,nan,nan,nan,nan,0.14,False,True,
