map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,serious_safety_event
confirm_asymmetric_corridor,10201,B0_raw,False,False,nan,60.0,2.9894671546580867,nan,nan,nan,0.9675750732421875,0.05516242980957031,1.9831832364497006,33,3,30,0,126,False
confirm_asymmetric_corridor,10202,B0_raw,False,False,nan,60.0,0.633048447317833,nan,nan,nan,0.2432098388671875,-0.007974624633789062,2.7093598853719825,3,3,0,0,7,False
confirm_asymmetric_corridor,10203,B0_raw,False,False,nan,60.0,2.3459165294298145,nan,nan,nan,0.428314208984375,0.0720977783203125,2.521970619776994,33,3,30,0,87,False
confirm_asymmetric_corridor,10204,B0_raw,False,False,nan,60.0,1.14687635086284,nan,nan,nan,0.41114044189453125,0.01778554916381836,2.5405336763614286,7,3,4,0,36,False
confirm_asymmetric_corridor,10205,B0_raw,False,False,nan,60.0,3.707251627592086,nan,nan,nan,1.6149940490722656,0.2054457664489746,1.33841353226329,33,3,30,0,161,False
confirm_asymmetric_corridor,10206,B0_raw,False,False,nan,60.0,0.46067936769031803,nan,nan,nan,0.1568145751953125,-0.016199111938476562,2.7960348769633407,3,3,0,0,12,False
confirm_asymmetric_corridor,10207,B0_raw,False,False,nan,60.0,1.64788602373892,nan,nan,nan,0.6419181823730469,0.07635879516601562,2.30832697153649,11,3,8,0,30,False
confirm_asymmetric_corridor,10208,B0_raw,False,False,nan,60.0,0.523518865679307,nan,nan,nan,0.2209014892578125,0.054782867431640625,2.7296570504487003,3,3,0,0,6,False
confirm_asymmetric_corridor,10209,B0_raw,False,False,nan,60.0,0.6238525645599111,nan,nan,nan,0.20212936401367188,0.01786041259765625,2.74941498062453,3,3,0,0,6,False
confirm_asymmetric_corridor,10210,B0_raw,False,False,nan,60.0,0.31320018816427364,nan,nan,nan,0.16261672973632812,-0.00872802734375,2.789910722554172,3,3,0,0,12,False
confirm_asymmetric_corridor,10211,B0_raw,False,False,nan,60.0,0.6169271763769757,nan,nan,nan,0.20317649841308594,0.01697254180908203,2.748398343917355,3,3,0,0,24,False
confirm_asymmetric_corridor,10212,B0_raw,False,False,nan,60.0,2.713499142922956,nan,nan,nan,0.43479156494140625,0.06079888343811035,2.5156896115500493,33,3,30,0,102,False
confirm_asymmetric_corridor,10213,B0_raw,False,False,nan,60.0,3.055320532409496,nan,nan,nan,1.067230224609375,-0.028853178024291992,1.8878830027763667,33,3,30,0,160,False
