map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,serious_safety_event
confirm_loaded_arc,10201,B0_raw,False,False,nan,60.0,2.338094974600608,nan,nan,nan,0.49893951416015625,0.015657424926757812,2.6011076113749585,31,1,30,0,92,False
confirm_loaded_arc,10202,B0_raw,False,False,nan,60.0,1.3002466024604473,nan,nan,nan,0.22609710693359375,-0.0003108978271484375,2.8739029098828164,14,3,11,0,37,False
confirm_loaded_arc,10203,B0_raw,False,False,nan,60.0,2.709770028291132,nan,nan,nan,0.7426071166992188,0.1415843963623047,2.3616408167904046,33,3,30,0,111,False
confirm_loaded_arc,10204,B0_raw,False,False,nan,60.0,3.1010274335312715,nan,nan,nan,0.7734336853027344,0.03782296180725098,2.326873738113843,33,3,30,0,129,False
confirm_loaded_arc,10205,B0_raw,False,False,nan,60.0,4.032105210289956,nan,nan,nan,2.2091598510742188,0.20467090606689453,0.9140494246638701,33,3,30,0,151,False
confirm_loaded_arc,10206,B0_raw,False,False,nan,60.0,2.323211632290622,nan,nan,nan,0.24593734741210938,-0.014245033264160156,2.8540982018616186,33,3,30,0,108,False
confirm_loaded_arc,10207,B0_raw,False,False,nan,60.0,0.5986042671925134,nan,nan,nan,0.24142074584960938,0.021680831909179688,2.8586614718660335,3,3,0,0,14,False
confirm_loaded_arc,10208,B0_raw,False,False,nan,60.0,0.5371564045481136,nan,nan,nan,0.22782516479492188,0.037250518798828125,2.87241638435936,3,3,0,0,3,False
confirm_loaded_arc,10209,B0_raw,False,False,nan,60.0,0.6272126979506538,nan,nan,nan,0.20758056640625,0.012510299682617188,2.892446488256773,3,3,0,0,3,False
confirm_loaded_arc,10210,B0_raw,False,False,nan,60.0,0.9367207495924958,nan,nan,nan,0.3713264465332031,0.03581809997558594,2.7289086275789773,10,3,7,0,38,False
confirm_loaded_arc,10211,B0_raw,False,False,nan,60.0,1.1811133197456911,nan,nan,nan,0.4204673767089844,0.048491477966308594,2.6799713622940433,8,3,5,0,38,False
confirm_loaded_arc,10212,B0_raw,False,False,nan,60.0,0.7276795264281191,nan,nan,nan,0.34649658203125,0.05699515342712402,2.7540932301357866,3,3,0,0,9,False
confirm_loaded_arc,10213,B0_raw,False,False,nan,60.0,2.3298923818965704,nan,nan,nan,0.6423511505126953,-0.003850698471069336,2.4576518661651385,31,1,30,0,123,False
confirm_loaded_arc,10214,B0_raw,False,False,nan,60.0,3.1041613790130214,nan,nan,nan,0.6083469390869141,0.07824230194091797,2.492881231380782,33,3,30,0,99,False
confirm_loaded_arc,10215,B0_raw,False,False,nan,60.0,2.3411417010606783,nan,nan,nan,0.3573722839355469,0.03605842590332031,2.742864743111396,31,3,28,0,91,False
confirm_loaded_arc,10216,B0_raw,False,False,nan,60.0,2.820611748489682,nan,nan,nan,0.7250995635986328,-0.07640457153320312,2.376129150818738,33,3,30,0,151,False
confirm_loaded_arc,10217,B0_raw,False,False,nan,60.0,2.6637829011681333,nan,nan,nan,0.4241523742675781,-0.022541046142578125,2.6759425656951312,33,3,30,0,130,False
confirm_loaded_arc,10218,B0_raw,False,False,nan,60.0,2.4311732529720302,nan,nan,nan,0.44237327575683594,0.04443550109863281,2.6579981789251357,33,3,30,0,115,False
confirm_loaded_arc,10219,B0_raw,False,False,nan,60.0,2.3573785868848063,nan,nan,nan,0.1832752227783203,-0.024527549743652344,2.916827904891765,31,3,28,0,85,False
confirm_loaded_arc,10220,B0_raw,False,False,nan,60.0,0.6505244080153716,nan,nan,nan,0.30025672912597656,0.07272720336914062,2.800687706423955,3,3,0,0,18,False
confirm_loaded_arc,10221,B0_raw,False,False,nan,60.0,0.6637343271690952,nan,nan,nan,0.1824188232421875,0.0014328956604003906,2.9175815286228897,3,3,0,0,24,False
confirm_loaded_arc,10222,B0_raw,False,False,nan,60.0,0.5365295441422404,nan,nan,nan,0.20493316650390625,0.035630226135253906,2.8952860797205426,3,3,0,0,12,False
confirm_loaded_arc,10223,B0_raw,False,False,nan,60.0,0.8227391323687243,nan,nan,nan,0.3658294677734375,0.07589149475097656,2.735223577382957,3,3,0,0,9,False
confirm_loaded_arc,10224,B0_raw,False,False,nan,60.0,0.916446457873235,nan,nan,nan,0.48638343811035156,0.09281730651855469,2.6152641520453006,4,3,1,0,32,False
confirm_loaded_arc,10225,B0_raw,False,False,nan,60.0,3.1768708058662014,nan,nan,nan,1.3576202392578125,0.21158981323242188,1.7551801843992354,33,3,30,0,146,False
