map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_double_chicane,10501,B1_dense,True,False,25.5,25.5,2.7407711556588765,2.4528274536132812,0.05909156799316406,0.23473214360141792,2.4156761169433594,0.05277824401855469,0.26954157044104127,2,2,0,207,113,138,False
replicate_double_chicane,10502,B1_dense,True,False,28.400000000000002,28.400000000000002,2.72931529681955,2.4315528869628906,0.015092849731445312,0.24890512668382359,2.3700294494628906,-0.0031108856201171875,0.30998616067434404,1,1,0,250,154,161,False
replicate_double_chicane,10503,B1_dense,True,False,25.400000000000002,25.400000000000002,2.663568586616748,2.4438705444335938,0.05929279327392578,0.24345996615524287,2.382801055908203,0.06931686401367188,0.3051754249705716,1,1,0,220,126,178,False
replicate_double_chicane,10504,B1_dense,True,False,27.0,27.0,2.8439333276801335,2.437061309814453,-0.04566335678100586,0.24719293950592247,2.3916168212890625,-0.07109498977661133,0.2970174327118883,2,2,0,222,131,36,False
replicate_double_chicane,10505,B1_dense,True,False,27.900000000000002,27.900000000000002,2.8954135325584502,2.4415283203125,-0.02562546730041504,0.23984454671170308,2.3896102905273438,-0.032219886779785156,0.29217170374920975,2,2,0,231,148,80,False
replicate_double_chicane,10506,B1_dense,True,False,19.2,19.2,2.542925987068884,2.4542999267578125,0.06800651550292969,0.23572316223141732,2.4277114868164062,0.09896564483642578,0.2710049681136455,0,0,0,172,72,193,False
replicate_double_chicane,10507,B1_dense,True,False,25.8,25.8,2.765630248000889,2.454742431640625,0.06293678283691406,0.23388460987640775,2.4233970642089844,0.09955596923828125,0.27523891016268354,1,1,0,224,132,74,False
replicate_double_chicane,10508,B1_dense,True,False,22.5,22.5,2.5641667265372234,2.437610626220703,0.039947509765625,0.24565913794848845,2.3405380249023438,0.040546417236328125,0.3418748959603561,0,0,0,205,105,142,False
replicate_double_chicane,10509,B1_dense,True,False,31.8,31.8,3.030077085668381,2.4320030212402344,0.008394241333007812,0.2481390029026644,2.3734092712402344,-0.0066375732421875,0.3066625708168339,3,3,0,256,153,46,False
replicate_double_chicane,10510,B1_dense,True,False,29.1,29.1,2.658792911719047,2.444631576538086,0.044734954833984375,0.23958195037803995,2.364818572998047,0.04389190673828125,0.318222927213156,0,0,0,271,116,338,False
