map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_double_chicane,10501,B4_d_opt,True,False,21.7,21.7,2.5558555137977237,2.433452606201172,0.035472869873046875,0.2490862137614698,2.404193878173828,0.040401458740234375,0.2787495196500473,0,0,0,197,104,143,False
replicate_double_chicane,10502,B4_d_opt,True,False,25.400000000000002,25.400000000000002,2.590152272463456,2.4380950927734375,0.03890419006347656,0.24501330605660376,2.3586997985839844,0.0309295654296875,0.3227854665991665,0,0,0,234,139,151,False
replicate_double_chicane,10503,B4_d_opt,True,False,25.900000000000002,25.900000000000002,2.694377336103571,2.4407691955566406,0.04971027374267578,0.24434092802923685,2.3214073181152344,0.05251502990722656,0.3624176318385541,1,1,0,225,126,182,False
replicate_double_chicane,10504,B4_d_opt,True,False,27.900000000000002,27.900000000000002,2.8020940200949553,2.4382362365722656,-0.027399539947509766,0.24331143026186988,2.371135711669922,-0.038669586181640625,0.3112755780672571,1,1,0,245,146,56,False
replicate_double_chicane,10505,B4_d_opt,True,False,29.400000000000002,29.400000000000002,2.9399544925736336,2.4404983520507812,-0.024122238159179688,0.24071336012818187,2.4189682006835938,0.004587650299072266,0.2610721103251499,3,3,0,232,151,60,False
replicate_double_chicane,10506,B4_d_opt,True,False,19.2,19.2,2.5268132932651497,2.4427719116210938,0.07860755920410156,0.2499126132869979,2.4295654296875,0.11037635803222656,0.2736794007960133,0,0,0,172,84,193,False
replicate_double_chicane,10507,B4_d_opt,True,False,22.2,22.2,2.641129575253217,2.4566688537597656,0.04412269592285156,0.22764800279483555,2.419963836669922,0.07477378845214844,0.2705733277300514,0,0,0,202,116,78,False
replicate_double_chicane,10508,B4_d_opt,True,False,23.8,23.8,2.6491513923174352,2.438587188720703,0.054168701171875,0.24741542724014073,2.4092636108398438,0.08120346069335938,0.2826520731288869,1,1,0,204,125,141,False
replicate_double_chicane,10509,B4_d_opt,True,False,32.4,32.4,3.0430555638376973,2.4316062927246094,0.0030193328857421875,0.24841205724579363,2.377046585083008,-0.0074787139892578125,0.30304571069856845,3,3,0,262,159,46,False
replicate_double_chicane,10510,B4_d_opt,True,False,33.1,33.1,2.8473517072902723,2.439359664916992,0.03462028503417969,0.24311794463739242,2.3771286010742188,0.017215728759765625,0.30336029009082527,2,2,0,283,137,337,False
replicate_double_chicane,10511,B4_d_opt,True,False,27.7,27.7,2.757376922188996,2.431396484375,-0.014113426208496094,0.24900380876695916,2.375293731689453,-0.020857810974121094,0.30541931541140493,1,1,0,243,134,210,False
replicate_double_chicane,10512,B4_d_opt,True,False,26.8,26.8,2.7698049034261203,2.4500885009765625,0.043659210205078125,0.234020135926239,2.411724090576172,0.06299972534179688,0.2755738176429756,1,1,0,234,136,150,False
replicate_double_chicane,10513,B4_d_opt,True,False,22.3,22.3,2.6455792678243597,2.458486557006836,-0.039517879486083984,0.2250108180194065,2.407827377319336,-0.06028318405151367,0.27876871922125673,1,1,0,189,120,91,False
replicate_double_chicane,10514,B4_d_opt,True,False,29.3,29.3,2.8920347298917477,2.4483070373535156,0.059281349182128906,0.23915665849137208,2.402008056640625,0.0826711654663086,0.29002420963133374,2,2,0,245,152,51,False
replicate_double_chicane,10515,B4_d_opt,True,False,19.7,19.7,2.612578782969649,2.4425182342529297,0.07026863098144531,0.24765958403088903,2.4130630493164062,0.06155586242675781,0.27394243891620257,1,0,1,168,84,140,False
