map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_double_chicane,10501,B5_active_no_task,True,False,26.2,26.2,2.75551611089395,2.4447898864746094,0.03873443603515625,0.23837817441953202,2.358917236328125,0.037075042724609375,0.32321618140217057,2,2,0,214,122,138,False
replicate_double_chicane,10502,B5_active_no_task,True,False,22.5,22.5,2.5582090631905885,2.4345855712890625,0.026638031005859375,0.2468558820757266,2.347381591796875,0.015804290771484375,0.33299366522859025,0,0,0,205,104,146,False
replicate_double_chicane,10503,B5_active_no_task,True,False,24.8,24.8,2.6567228321182483,2.4384803771972656,0.0633707046508789,0.24969496271796132,2.4305763244628906,0.09658241271972656,0.26747024575680356,1,1,0,214,119,178,False
replicate_double_chicane,10504,B5_active_no_task,True,False,29.2,29.2,2.8657944198948826,2.4440765380859375,-0.07964324951171875,0.24900386959704474,2.3847732543945312,-0.09583282470703125,0.31039130402143167,2,2,0,244,150,42,False
replicate_double_chicane,10505,B5_active_no_task,True,False,28.5,28.5,2.833923656382467,2.4445037841796875,-0.03133106231689453,0.23757125906050253,2.3514556884765625,-0.050812721252441406,0.33245044333778223,2,2,0,237,156,65,False
replicate_double_chicane,10506,B5_active_no_task,True,False,24.900000000000002,24.900000000000002,2.7725016272706853,2.4476890563964844,0.0752115249633789,0.24418261200436214,2.4435386657714844,0.09210205078125,0.25376514800744765,0,0,0,229,123,204,False
replicate_double_chicane,10507,B5_active_no_task,True,False,24.7,24.7,2.613761004869957,2.4487380981445312,0.05684852600097656,0.23814664003149874,2.415210723876953,0.07211875915527344,0.27443483046410777,0,0,0,227,133,74,False
replicate_double_chicane,10508,B5_active_no_task,True,False,24.400000000000002,24.400000000000002,2.679142571410921,2.4420127868652344,0.03782844543457031,0.24097490512426537,2.383289337158203,0.04438209533691406,0.30001164615813414,1,1,0,210,128,138,False
replicate_double_chicane,10509,B5_active_no_task,True,False,33.7,33.7,3.071834098049294,2.434356689453125,0.023040771484375,0.24672152959768984,2.4358577728271484,0.022871017456054688,0.24521115498360896,3,3,0,275,162,46,False
replicate_double_chicane,10510,B5_active_no_task,True,False,31.7,31.7,2.804130289121076,2.442716598510742,0.04721641540527344,0.2419355337812859,2.4072017669677734,0.06729316711425781,0.28097552613310023,2,2,0,269,130,329,False
replicate_double_chicane,10511,B5_active_no_task,True,False,23.900000000000002,23.900000000000002,2.5693951921311964,2.4309921264648438,0.018813133239746094,0.24971755057423756,2.3598251342773438,0.018279075622558594,0.3206962258058805,0,0,0,219,120,180,False
replicate_double_chicane,10512,B5_active_no_task,True,False,24.1,24.1,2.7027905337417906,2.449800491333008,0.06332063674926758,0.23874948550490613,2.4352951049804688,0.09038090705871582,0.2608624043576922,0,0,0,221,124,165,False
replicate_double_chicane,10513,B5_active_no_task,True,False,21.3,21.3,2.5760030682140496,2.4370594024658203,-0.03645038604736328,0.24565985543687469,2.3201255798339844,-0.05608963966369629,0.3642192278936264,0,0,0,193,114,101,False
replicate_double_chicane,10514,B5_active_no_task,True,False,31.5,31.5,3.0361929025748395,2.4426326751708984,0.054656028747558594,0.24357858767752605,2.373502731323242,0.06887626647949219,0.3141409170905102,3,3,0,253,160,51,False
replicate_double_chicane,10515,B5_active_no_task,True,False,20.2,20.2,2.8122916798129154,2.4531936645507812,0.059337615966796875,0.2344398994807127,2.4051856994628906,0.08083152770996094,0.28645529433338623,1,0,1,173,86,146,False
replicate_double_chicane,10516,B5_active_no_task,True,False,26.0,26.0,2.7390624940362613,2.4501609802246094,0.060176849365234375,0.2375862542548255,2.4200820922851562,0.08538055419921875,0.27358208601117845,3,3,0,206,112,160,False
replicate_double_chicane,10517,B5_active_no_task,True,False,24.400000000000002,24.400000000000002,2.5503166073394823,2.433439254760742,0.035793304443359375,0.2491452623188193,2.3891735076904297,0.058521270751953125,0.2966560091410792,0,0,0,224,124,188,False
replicate_double_chicane,10518,B5_active_no_task,True,False,28.7,28.7,2.6972650184688973,2.4411754608154297,0.040393829345703125,0.24221647748642583,2.3716182708740234,0.03537559509277344,0.3104041294617311,1,1,0,253,128,237,False
replicate_double_chicane,10519,B5_active_no_task,True,False,22.400000000000002,22.400000000000002,2.599508764622442,2.4472408294677734,0.06117439270019531,0.24066395199341323,2.43243408203125,0.0693826675415039,0.25710472242820587,0,0,0,204,108,130,False
replicate_double_chicane,10520,B5_active_no_task,True,False,25.8,25.8,2.744953921110209,2.4434947967529297,0.015025138854980469,0.23698199501343886,2.412263870239258,0.04459214210510254,0.2714241962625711,1,1,0,224,137,57,False
replicate_double_chicane,10521,B5_active_no_task,True,False,19.7,19.7,2.5894700360804563,2.4409122467041016,0.0608067512512207,0.24669903683194286,2.3925094604492188,0.062216758728027344,0.29414577236095196,0,0,0,177,88,79,False
replicate_double_chicane,10522,B5_active_no_task,True,False,28.0,28.0,2.8440852609965077,2.4418468475341797,-0.050200462341308594,0.24338654533208995,2.338092803955078,-0.0743112564086914,0.34988954476568607,1,1,0,246,145,172,False
replicate_double_chicane,10523,B5_active_no_task,True,False,24.900000000000002,24.900000000000002,2.5832952309465327,2.4318580627441406,-0.02654266357421875,0.24955747637509298,2.3332901000976562,-0.03768348693847656,0.3487517740143205,0,0,0,229,131,167,False
replicate_double_chicane,10524,B5_active_no_task,True,False,21.5,21.5,2.6199761925599887,2.4417762756347656,0.051197052001953125,0.24366304804818872,2.3686466217041016,0.07454490661621094,0.3201528842267215,0,0,0,195,105,184,False
replicate_double_chicane,10525,B5_active_no_task,True,False,32.4,32.4,3.068834348840028,2.438610076904297,0.0001735687255859375,0.2413899854970211,2.4074058532714844,0.006366729736328125,0.2726684875048509,3,3,0,262,144,27,False
replicate_double_chicane,10526,B5_active_no_task,True,False,31.8,31.8,2.9497563144814194,2.444851875305176,0.05560111999511719,0.2416322103780953,2.423344612121582,0.05125236511230469,0.2617227408090979,2,2,0,270,152,27,False
replicate_double_chicane,10527,B5_active_no_task,True,False,28.0,28.0,2.6466459926523385,2.4484987258911133,-0.049818992614746094,0.2368011231797394,2.3426923751831055,-0.07103252410888672,0.34470574877842486,0,0,0,260,132,269,False
replicate_double_chicane,10528,B5_active_no_task,True,False,30.0,30.0,2.7678831812299904,2.4412755966186523,-0.0048236846923828125,0.23877313229044844,2.3897581100463867,-0.000209808349609375,0.29024196578611616,1,1,0,266,148,148,False
replicate_double_chicane,10529,B5_active_no_task,True,False,26.2,26.2,2.7511346209885232,2.441033363342285,0.062436580657958984,0.24698862330026095,2.32369327545166,0.07529544830322266,0.36417562589161556,2,2,0,214,133,85,False
replicate_double_chicane,10530,B5_active_no_task,True,False,22.6,22.6,2.72341323092769,2.4333887100219727,0.024550437927246094,0.24783028940596896,2.355257034301758,0.05885887145996094,0.3300338778368518,1,1,0,192,110,61,False
replicate_double_chicane,10531,B5_active_no_task,True,False,21.900000000000002,21.900000000000002,2.632250469257997,2.455198287963867,0.06009483337402344,0.23269550647278966,2.479156494140625,0.071685791015625,0.21325329183724392,1,0,1,190,100,211,False
replicate_double_chicane,10532,B5_active_no_task,True,False,23.3,23.3,2.862971261041821,2.447765350341797,0.06958198547363281,0.24243470297034883,2.4779539108276367,0.078582763671875,0.21678992803208455,2,2,0,185,88,78,False
replicate_double_chicane,10533,B5_active_no_task,True,False,22.900000000000002,22.900000000000002,2.58558955573244,2.4488260746002197,0.07120132446289062,0.24189049669222865,2.3880717754364014,0.07855606079101562,0.30231298844716664,0,0,0,209,120,140,False
replicate_double_chicane,10534,B5_active_no_task,True,False,27.900000000000002,27.900000000000002,2.8569941971327353,2.444681406021118,-0.06815147399902344,0.2449887019444723,2.3768186569213867,-0.0848236083984375,0.3148237146923392,1,1,0,245,156,76,False
replicate_double_chicane,10535,B5_active_no_task,True,False,23.900000000000002,23.900000000000002,2.6321841986937216,2.445012092590332,-0.02327728271484375,0.23613798618469142,2.385620355606079,-0.02792835235595703,0.2957014844379546,0,0,0,219,112,193,False
replicate_double_chicane,10536,B5_active_no_task,True,False,22.900000000000002,22.900000000000002,2.563315889750811,2.4409494400024414,0.06614160537719727,0.2480320184916039,2.378641366958618,0.07394552230834961,0.3102981888088053,0,0,0,209,119,164,False
replicate_double_chicane,10537,B5_active_no_task,True,False,30.0,30.0,2.9927057581917325,2.4303834438323975,-0.009107589721679688,0.24978265212682885,2.3479299545288086,-0.010370969772338867,0.3322319552861494,3,3,0,238,144,33,False
replicate_double_chicane,10538,B5_active_no_task,True,False,21.8,21.8,2.7282465783064254,2.443004608154297,0.05352020263671875,0.2429634290307368,2.3692636489868164,0.05265331268310547,0.31516575191078966,1,1,0,184,99,41,False
replicate_double_chicane,10539,B5_active_no_task,True,False,30.2,30.2,2.9743908209202345,2.4408626556396484,-0.05233001708984375,0.24479603786896711,2.3591575622558594,-0.0848541259765625,0.33187360930458026,3,3,0,240,131,55,False
replicate_double_chicane,10540,B5_active_no_task,True,False,33.2,33.2,2.7553831632533274,2.436497211456299,0.01215362548828125,0.24380590362226243,2.428760528564453,0.011194229125976562,0.2514887328946128,1,1,0,298,148,267,False
replicate_double_chicane,10541,B5_active_no_task,True,False,21.2,21.2,2.5589750439103227,2.4422450065612793,0.05051612854003906,0.24306237090039245,2.3870458602905273,0.046779632568359375,0.29666557265066673,0,0,0,192,120,99,False
replicate_double_chicane,10542,B5_active_no_task,True,False,23.900000000000002,23.900000000000002,2.7127982362289913,2.4438490867614746,0.062290191650390625,0.2442280119053341,2.4029321670532227,0.10369491577148438,0.29583647444268707,1,1,0,205,120,97,False
replicate_double_chicane,10543,B5_active_no_task,True,False,31.7,31.7,3.0758967501024017,2.4509849548339844,0.057445526123046875,0.23610988836545138,2.4035253524780273,0.07775497436523438,0.28720039477851933,3,3,0,255,151,53,False
replicate_double_chicane,10544,B5_active_no_task,True,False,24.7,24.7,2.691150563190604,2.4442543983459473,0.009010553359985352,0.2359177372964664,2.3702540397644043,-0.00196075439453125,0.309752166158797,0,0,0,227,124,134,False
replicate_double_chicane,10545,B5_active_no_task,True,False,18.900000000000002,18.900000000000002,2.551408740298939,2.455097198486328,0.040558815002441406,0.2285307147914705,2.4138574600219727,0.06264114379882812,0.27341500412812286,0,0,0,169,88,114,False
replicate_double_chicane,10546,B5_active_no_task,True,False,21.400000000000002,21.400000000000002,2.7668275330106553,2.443601608276367,0.06967449188232422,0.2464522964562925,2.4651832580566406,0.08035755157470703,0.229354678858404,1,0,1,185,83,168,False
replicate_double_chicane,10547,B5_active_no_task,True,False,27.8,27.8,2.9465538807053235,2.456812858581543,0.059543609619140625,0.23099337986405374,2.407564640045166,0.07456398010253906,0.28245497425687494,3,3,0,216,143,103,False
replicate_double_chicane,10548,B5_active_no_task,True,False,27.6,27.6,2.8597099505375354,2.4362616539001465,0.03287315368652344,0.24594516785818307,2.378392219543457,0.031215667724609375,0.30321885024420153,3,3,0,214,120,142,False
replicate_double_chicane,10549,B5_active_no_task,True,False,18.900000000000002,18.900000000000002,2.5340773999341764,2.432114601135254,0.030599594116210938,0.24976690359295242,2.3669118881225586,0.020345687866210938,0.3137484865520958,0,0,0,169,92,121,False
replicate_double_chicane,10550,B5_active_no_task,True,False,31.7,31.7,3.0390634842406143,2.4394474029541016,0.009359359741210938,0.2407346039942988,2.384640693664551,0.02715301513671875,0.2966047977865036,3,3,0,255,166,54,False
replicate_double_chicane,10551,B5_active_no_task,True,False,32.4,32.4,2.9898480611918785,2.434218406677246,0.0118408203125,0.24606665081222318,2.4215316772460938,0.018451690673828125,0.25912610589429264,3,3,0,262,150,61,False
replicate_double_chicane,10552,B5_active_no_task,True,False,33.1,33.1,2.9942756076889054,2.4447011947631836,0.03060173988342285,0.237280412655082,2.4484405517578125,0.02659749984741211,0.2330819707063579,3,3,0,269,158,35,False
