map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_offset_slalom,10501,B1_dense,True,False,30.0,30.0,3.350320909230504,2.919872283935547,0.021585464477539062,0.2410959400301917,2.8167686462402344,0.013593673706054688,0.3435004369263424,1,1,0,266,126,166,False
replicate_offset_slalom,10502,B1_dense,True,False,28.1,28.1,3.2510095853431267,2.9205245971679688,-0.0069751739501953125,0.23957696386171856,2.867115020751953,-0.021007537841796875,0.2936374085761272,0,0,0,261,138,130,False
replicate_offset_slalom,10503,B1_dense,True,False,26.6,26.6,3.2408693409652187,2.9236068725585938,0.0154266357421875,0.2368959514045167,2.8592872619628906,0.0030488967895507812,0.3007281938718227,0,0,0,246,92,233,False
replicate_offset_slalom,10504,B1_dense,True,False,29.8,29.8,3.441003490195726,2.935344696044922,-0.0794978141784668,0.23830633238397725,2.8917160034179688,-0.09740352630615234,0.2854185518828458,1,1,0,264,133,39,False
replicate_offset_slalom,10505,B1_dense,True,False,27.0,27.0,3.3191862932908407,2.9231719970703125,-0.05859184265136719,0.24396824997721878,2.861858367919922,-0.09287858009338379,0.3122736995322146,0,0,0,250,135,55,False
replicate_offset_slalom,10506,B1_dense,True,False,25.0,25.0,3.21606228949895,2.9250717163085938,0.029128074645996094,0.23672714928958327,2.8791122436523438,0.012226104736328125,0.28115371116711946,0,0,0,230,84,206,False
replicate_offset_slalom,10507,B1_dense,True,False,30.5,30.5,3.4460046977128513,2.9139747619628906,0.023418426513671875,0.2471372906940445,2.8742752075195312,0.018596649169921875,0.28632934253819703,1,1,0,271,135,59,False
replicate_offset_slalom,10508,B1_dense,True,False,27.8,27.8,3.3308587130923115,2.910869598388672,-0.0068302154541015625,0.24922401338990424,2.8904762268066406,0.01114654541015625,0.2697541654747266,1,1,0,244,114,134,False
replicate_offset_slalom,10509,B1_dense,True,False,35.800000000000004,35.800000000000004,3.6953108612797223,2.918914794921875,-0.033203125,0.24336089171706962,2.840709686279297,-0.05554771423339844,0.32408618142774986,2,2,0,310,166,48,False
replicate_offset_slalom,10510,B1_dense,True,False,30.7,30.7,3.3577612487142687,2.934162139892578,-0.0054492950439453125,0.22590359420419917,2.8749332427978516,-0.026380538940429688,0.28628480381699667,1,1,0,273,109,225,False
replicate_offset_slalom,10511,B1_dense,True,False,31.2,31.2,3.3103608470883046,2.9257946014404297,-0.03761482238769531,0.23720675280797784,2.8682823181152344,-0.047675132751464844,0.2955877605840458,1,0,1,283,154,216,False
replicate_offset_slalom,10512,B1_dense,True,False,24.1,24.1,3.2221143343267613,2.923215866088867,-0.004601955413818359,0.23682884973262044,2.846027374267578,-0.0233154296875,0.31483713086423637,0,0,0,221,102,120,False
replicate_offset_slalom,10513,B1_dense,True,False,26.2,26.2,3.258105186090688,2.9291915893554688,-0.07968449592590332,0.24417645528432905,2.8784732818603516,-0.09004926681518555,0.2955776775746667,0,0,0,242,116,98,False
replicate_offset_slalom,10514,B1_dense,True,False,35.6,35.6,3.7117845587308693,2.9150333404541016,0.022754669189453125,0.24602121709112332,2.861295700073242,0.019479751586914062,0.2993388038938862,3,3,0,294,155,36,False
replicate_offset_slalom,10515,B1_dense,True,False,26.7,26.7,3.285358289405849,2.914278030395508,-0.00313568115234375,0.24574197615100318,2.845376968383789,-0.024873733520507812,0.3156047443284473,3,3,0,213,66,135,False
replicate_offset_slalom,10516,B1_dense,True,False,24.8,24.8,3.251532732245323,2.9279727935791016,0.03285026550292969,0.2343411284070708,2.8733673095703125,0.05748558044433594,0.2923403687176702,0,0,0,228,80,208,False
replicate_offset_slalom,10517,B1_dense,True,False,31.400000000000002,31.400000000000002,3.3416389772282855,2.9168014526367188,-0.02652740478515625,0.24464103630471679,2.7990798950195312,-0.05912971496582031,0.36573165760028464,1,1,0,280,111,270,False
replicate_offset_slalom,10518,B1_dense,True,False,37.1,37.1,3.491872343134446,2.9152870178222656,-0.009168624877929688,0.2448846816942056,2.86920166015625,-0.03563880920410156,0.29297405888127287,2,2,0,323,149,283,False
replicate_offset_slalom,10519,B1_dense,True,False,27.5,27.5,3.408980827902269,2.923442840576172,0.027365684509277344,0.23813477352820986,2.8826637268066406,0.017998695373535156,0.2779197032668448,1,1,0,241,108,155,False
replicate_offset_slalom,10520,B1_dense,True,False,39.6,39.6,3.7901662763088098,2.916522979736328,-0.025487899780273438,0.24480745991837302,2.867624282836914,-0.048079490661621094,0.29630254370982007,3,3,0,334,189,43,False
