map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_s_bend,10501,B2_lhs,True,False,28.1,28.1,3.101872550105327,2.84991455078125,0.048267364501953125,0.23509370986514808,2.823619842529297,0.08294296264648438,0.26946302194787075,0,0,0,261,116,222,False
replicate_s_bend,10502,B2_lhs,True,False,27.400000000000002,27.400000000000002,3.134328203950645,2.836029052734375,0.0063076019287109375,0.24405247171823005,2.7678489685058594,-0.0088958740234375,0.31227776583915945,1,1,0,240,130,103,False
replicate_s_bend,10503,B2_lhs,True,False,32.6,32.6,3.3798767885564303,2.846527099609375,0.07178592681884766,0.24425972755665573,2.8130226135253906,0.09634780883789062,0.2838306275874323,2,2,0,278,126,230,False
replicate_s_bend,10504,B2_lhs,True,False,30.2,30.2,3.4078785062192765,2.841846466064453,-0.03273582458496094,0.24039288661948183,2.7641220092773438,-0.05855703353881836,0.32125975658312517,2,2,0,254,123,32,False
replicate_s_bend,10505,B2_lhs,True,False,27.3,27.3,3.191367371233355,2.8343658447265625,-0.023313522338867188,0.24673803630721408,2.7322235107421875,-0.0521540641784668,0.35166537061647263,1,1,0,239,123,36,False
replicate_s_bend,10506,B2_lhs,True,False,23.0,23.0,3.016462518065964,2.8436355590820312,0.07575607299804688,0.24820783937367769,2.7948989868164062,0.09825611114501953,0.30155737612543015,0,0,0,210,93,129,False
replicate_s_bend,10507,B2_lhs,True,False,26.8,26.8,3.214028386886639,2.8538131713867188,0.07753944396972656,0.2391084415265765,2.8276748657226562,0.10604286193847656,0.27370250630233983,0,0,0,248,132,34,False
replicate_s_bend,10508,B2_lhs,True,False,29.0,29.0,3.2671572143226513,2.8546676635742188,0.08204841613769531,0.23980534695833183,2.764476776123047,0.09114265441894531,0.3284233369604499,2,2,0,242,122,175,False
replicate_s_bend,10509,B2_lhs,True,False,26.3,26.3,3.1752976520983793,2.8424510955810547,-0.0038280487060546875,0.23757974650112154,2.7501182556152344,-0.03709220886230469,0.33196053566142575,0,0,0,243,100,27,False
replicate_s_bend,10510,B2_lhs,True,False,28.3,28.3,3.1376881471678644,2.8422183990478516,0.039081573486328125,0.24097190528676585,2.790658950805664,0.03594779968261719,0.2915655793314786,0,0,0,263,105,152,False
replicate_s_bend,10511,B2_lhs,True,False,28.0,28.0,3.1147159290412674,2.8325862884521484,-0.0011091232299804688,0.24741619756237226,2.7078723907470703,-0.02279376983642578,0.3728250441046807,1,1,0,246,118,235,False
replicate_s_bend,10512,B2_lhs,True,False,25.8,25.8,3.2306285605991434,2.8490219116210938,0.07272505760192871,0.24215658428871537,2.7982616424560547,0.08138442039489746,0.29325743979407143,1,1,0,224,104,92,False
replicate_s_bend,10513,B2_lhs,True,False,28.0,28.0,3.1847160250108573,2.8485794067382812,-0.041541337966918945,0.2351194882303202,2.740724563598633,-0.07406425476074219,0.3472655116457756,2,2,0,236,103,127,False
replicate_s_bend,10514,B2_lhs,True,False,26.8,26.8,3.2997566237318097,2.855039596557617,0.08754825592041016,0.2413956922392471,2.804290771484375,0.08782958984375,0.28936070144510384,1,1,0,234,79,32,False
replicate_s_bend,10515,B2_lhs,True,False,28.900000000000002,28.900000000000002,3.257785727357259,2.8607959747314453,0.10121726989746094,0.24144428015472358,2.8184890747070312,0.11599922180175781,0.2860835254015829,3,3,0,231,104,126,False
replicate_s_bend,10516,B2_lhs,True,False,36.7,36.7,3.455680687380209,2.8572254180908203,0.08978652954101562,0.24018770832794403,2.781475067138672,0.09283256530761719,0.31262600774960086,2,2,0,319,155,268,False
replicate_s_bend,10517,B2_lhs,False,False,nan,60.0,1.7420825395322481,nan,nan,nan,1.0829238891601562,0.10544776916503906,1.9998580510898967,3,3,0,538,75,139,False
