map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_s_bend,10501,B3_sobol,True,False,29.3,29.3,3.182223587355111,2.839691162109375,0.03421592712402344,0.2427325014028801,2.7672576904296875,0.017505645751953125,0.3132318627288196,1,1,0,259,124,222,False
replicate_s_bend,10502,B3_sobol,True,False,29.8,29.8,3.274796163355859,2.8410186767578125,0.0072193145751953125,0.23909034142248944,2.762371063232422,-0.010839462280273438,0.31781383767014876,1,1,0,264,124,111,False
replicate_s_bend,10503,B3_sobol,True,False,31.6,31.6,3.2635751083871583,2.848155975341797,0.04170417785644531,0.23556504456390714,2.8104934692382812,0.06829357147216797,0.27802478671449676,1,1,0,282,143,230,False
replicate_s_bend,10504,B3_sobol,True,False,27.900000000000002,27.900000000000002,3.2585666268350906,2.8346786499023438,-0.03275108337402344,0.24749787529574693,2.7608566284179688,-0.044766902923583984,0.3222678501217832,1,1,0,245,110,32,False
replicate_s_bend,10505,B3_sobol,True,False,30.6,30.6,3.334579417722125,2.83355712890625,-0.039705514907836914,0.24962094589001776,2.732635498046875,-0.06720471382141113,0.3538058376807262,2,2,0,258,148,36,False
replicate_s_bend,10506,B3_sobol,True,False,24.5,24.5,3.086908305205725,2.8480987548828125,0.08655357360839844,0.24752718758004413,2.860523223876953,0.09021568298339844,0.23729501620035579,0,0,0,225,112,129,False
replicate_s_bend,10507,B3_sobol,True,False,28.900000000000002,28.900000000000002,3.483385800416727,2.8521270751953125,0.07913970947265625,0.24122430116897267,2.7419471740722656,0.09683418273925781,0.3516483642283966,3,3,0,227,109,34,False
replicate_s_bend,10508,B3_sobol,True,False,26.7,26.7,3.0849211840104545,2.844562530517578,0.03147697448730469,0.2375323177152128,2.7524147033691406,0.014009475708007812,0.3278847236123413,0,0,0,247,116,175,False
replicate_s_bend,10509,B3_sobol,True,False,30.8,30.8,3.2213185289010653,2.8308448791503906,-0.011716842651367188,0.24943046856248413,2.7096023559570312,-0.03616905212402344,0.3721593946740189,0,0,0,288,145,27,False
replicate_s_bend,10510,B3_sobol,True,False,30.1,30.1,3.189220422636936,2.835559844970703,0.03674507141113281,0.24718654830665032,2.7485218048095703,0.02855682373046875,0.3327060054586898,1,1,0,267,127,152,False
replicate_s_bend,10511,B3_sobol,True,False,32.7,32.7,3.2812504537564564,2.838041305541992,-0.011026382446289062,0.24220980767441158,2.7547969818115234,-0.033504486083984375,0.3269243851820273,2,2,0,279,142,242,False
replicate_s_bend,10512,B3_sobol,True,False,27.3,27.3,3.193772609314692,2.837442398071289,0.01756119728088379,0.24319248734972293,2.7586727142333984,-0.002723217010498047,0.32133882505700667,1,1,0,239,125,92,False
replicate_s_bend,10513,B3_sobol,True,False,26.2,26.2,3.1129698451040895,2.856586456298828,-0.034265756607055664,0.226026002010763,2.8096389770507812,-0.07532000541687012,0.28065670479456817,0,0,0,242,112,134,False
replicate_s_bend,10514,B3_sobol,True,False,35.7,35.7,3.5462702091135725,2.8420772552490234,0.06465911865234375,0.24655229484784003,2.813051223754883,0.10139083862304688,0.28555516331428926,3,3,0,295,159,32,False
replicate_s_bend,10515,B3_sobol,True,False,28.5,28.5,3.1826455705668195,2.8611011505126953,0.11235237121582031,0.24604829124520086,2.8360328674316406,0.1392536163330078,0.280911963852464,3,3,0,231,88,126,False
replicate_s_bend,10516,B3_sobol,True,False,31.7,31.7,3.285320800552654,2.845022201538086,0.060638427734375,0.2426758840266271,2.728567123413086,0.07324790954589844,0.35898512921707126,2,2,0,269,104,268,False
replicate_s_bend,10517,B3_sobol,True,False,37.1,37.1,3.543900959597522,2.847698211669922,0.05253028869628906,0.23816706760563672,2.7606754302978516,0.04662895202636719,0.32271107818378275,3,3,0,309,143,136,False
replicate_s_bend,10518,B3_sobol,True,False,30.400000000000002,30.400000000000002,3.337659365465697,2.8400535583496094,0.05586433410644531,0.24636379337443418,2.7538299560546875,0.07234954833984375,0.3340978220705225,2,2,0,256,131,30,False
replicate_s_bend,10519,B3_sobol,True,False,24.6,24.6,3.230371535020822,2.8621463775634766,0.0797586441040039,0.231994918302157,2.779560089111328,0.08277606964111328,0.31163442967686283,0,0,0,226,104,82,False
replicate_s_bend,10520,B3_sobol,True,False,35.0,35.0,3.5702489025952673,2.844388961791992,-0.015050411224365234,0.23609124550367777,2.7703781127929688,-0.049225807189941406,0.3135105949264632,3,3,0,288,147,54,False
replicate_s_bend,10521,B3_sobol,True,False,31.3,31.3,3.527853555729962,2.8397254943847656,0.05233192443847656,0.24590743861070927,2.7932796478271484,0.049343109130859375,0.29093522091493834,3,3,0,251,126,47,False
replicate_s_bend,10522,B3_sobol,True,False,33.8,33.8,3.2991432758281007,2.848543167114258,-0.015604019165039062,0.23198222109377548,2.783252716064453,-0.048770904541015625,0.3007283685535387,1,1,0,304,148,299,False
replicate_s_bend,10523,B3_sobol,True,False,29.6,29.6,3.2277965969660727,2.8499584197998047,-0.011505126953125,0.23032910490689285,2.7948837280273438,-0.04897308349609375,0.28929163736738245,2,2,0,248,126,119,False
replicate_s_bend,10524,B3_sobol,True,False,22.2,22.2,3.099795697737136,2.841615676879883,0.05549049377441406,0.24475759520138443,2.728120803833008,0.0630340576171875,0.35748043459022416,1,1,0,188,77,114,False
replicate_s_bend,10525,B3_sobol,True,False,40.6,40.6,3.7871523739249824,2.8457698822021484,-0.021947860717773438,0.23525615119201929,2.815746307373047,-0.025754928588867188,0.2655058010921756,3,3,0,343,165,27,False
replicate_s_bend,10526,B3_sobol,True,False,41.300000000000004,41.300000000000004,3.768839295935777,2.830385208129883,0.0048389434814453125,0.24966169048209735,2.830810546875,0.0061931610107421875,0.24926640124983068,3,3,0,351,159,41,False
replicate_s_bend,10527,B3_sobol,True,False,25.5,25.5,3.0395654519234085,2.847332000732422,-0.05135059356689453,0.23826724773424096,2.7624053955078125,-0.09489917755126953,0.33146973723472317,0,0,0,235,100,190,False
replicate_s_bend,10528,B3_sobol,True,False,36.4,36.4,3.61455522200049,2.8439579010009766,-0.04422140121459961,0.24014871397791704,2.7337112426757812,-0.0896306037902832,0.35770036145489487,3,3,0,302,139,72,False
replicate_s_bend,10529,B3_sobol,True,False,33.2,33.2,3.3218098928882682,2.8323049545288086,0.02812337875366211,0.24928650180765413,2.693513870239258,0.027637481689453125,0.38747304279339506,2,2,0,284,146,103,False
replicate_s_bend,10530,B3_sobol,True,False,33.6,33.6,3.6165112034068443,2.840993881225586,0.017454147338867188,0.23964259235565,2.7272119522094727,0.0021686553955078125,0.3527947132966648,3,3,0,274,139,46,False
replicate_s_bend,10531,B3_sobol,True,False,24.2,24.2,3.059049885821878,2.8454771041870117,0.03832054138183594,0.23763302075323367,2.758255958557129,0.013734817504882812,0.3220370683879178,0,0,0,222,107,138,False
replicate_s_bend,10532,B3_sobol,True,False,25.7,25.7,3.3577561823331052,2.860112190246582,0.11729812622070312,0.24921777483366503,2.7830190658569336,0.136199951171875,0.3267232803822059,1,1,0,222,95,56,False
replicate_s_bend,10533,B3_sobol,True,False,32.8,32.8,3.3965683579554025,2.8451526165008545,0.07783889770507812,0.2474109689006055,2.765393018722534,0.06473731994628906,0.3211984951122093,3,3,0,266,142,147,False
replicate_s_bend,10534,B3_sobol,True,False,27.6,27.6,3.3249512203256018,2.845353841781616,-0.07128334045410156,0.2452348551754872,2.778641939163208,-0.10540962219238281,0.3192614434629596,2,2,0,228,110,49,False
replicate_s_bend,10535,B3_sobol,True,False,30.8,30.8,3.1468220651622687,2.8454182147979736,0.021498680114746094,0.2355648683383111,2.753169536590576,0.02415180206298828,0.32772162173910424,3,3,0,254,128,143,False
replicate_s_bend,10536,B3_sobol,True,False,27.5,27.5,3.0794281105918344,2.840872049331665,0.016198396682739258,0.23967595800565616,2.7880513668060303,0.012071609497070312,0.29219809749496467,0,0,0,255,124,185,False
replicate_s_bend,10537,B3_sobol,True,False,32.5,32.5,3.5768311065621674,2.8393542766571045,-0.04075336456298828,0.24407212230492295,2.758646011352539,-0.0807030200958252,0.3313327081231487,3,3,0,263,128,38,False
replicate_s_bend,10538,B3_sobol,True,False,25.1,25.1,3.243987701695005,2.8539340496063232,0.05021953582763672,0.23157680303981149,2.8137569427490234,0.06337928771972656,0.27368284499801354,1,1,0,217,103,31,False
replicate_s_bend,10539,B3_sobol,True,False,28.0,28.0,3.1862308807803856,2.8414008617401123,-0.05330657958984375,0.24448136985449298,2.7642529010772705,-0.08386611938476562,0.32669520421760057,0,0,0,260,121,43,False
