map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_s_bend,10501,B8_full,True,False,30.1,30.1,3.2452398642271874,2.8525619506835938,0.05137062072753906,0.23316733680081508,2.788787841796875,0.042598724365234375,0.29431135282701404,1,1,0,267,124,222,False
replicate_s_bend,10502,B8_full,True,False,25.3,25.3,3.055878228326037,2.8313941955566406,0.0085906982421875,0.24875418810387537,2.719982147216797,0.0,0.3600178527832032,0,0,0,233,114,103,False
replicate_s_bend,10503,B8_full,True,False,29.8,29.8,3.218351156658173,2.8567581176757812,0.060378074645996094,0.23126272920991364,2.78692626953125,0.05852317810058594,0.2988597896436763,0,0,0,278,128,230,False
replicate_s_bend,10504,B8_full,True,False,31.400000000000002,31.400000000000002,3.310658373116894,2.8332557678222656,-0.03342914581298828,0.24899844156694187,2.7498092651367188,-0.07095766067504883,0.33772904968040446,1,1,0,280,139,32,False
replicate_s_bend,10505,B8_full,True,False,25.2,25.2,3.115282334452786,2.8428421020507812,-0.011615753173828125,0.237442191451914,2.7560462951660156,-0.03684282302856445,0.3260420164401797,0,0,0,232,116,36,False
replicate_s_bend,10506,B8_full,True,False,25.3,25.3,3.182638047783257,2.8527069091796875,0.09290695190429688,0.2455480621931238,2.8234176635742188,0.11353397369384766,0.2805787920503403,1,1,0,219,86,129,False
replicate_s_bend,10507,B8_full,True,False,26.400000000000002,26.400000000000002,3.171481247591146,2.8372879028320312,0.03119659423828125,0.24470878530151202,2.7047767639160156,0.026151657104492188,0.3761334684213151,0,0,0,244,116,34,False
replicate_s_bend,10508,B8_full,True,False,29.1,29.1,3.214855291760614,2.8509788513183594,0.03684806823730469,0.23196652059355297,2.7735862731933594,0.028614044189453125,0.3077468691967647,1,1,0,257,124,175,False
replicate_s_bend,10509,B8_full,True,False,31.1,31.1,3.4849072430079104,2.8376903533935547,0.00485992431640625,0.24235837865215562,2.7214488983154297,0.000919342041015625,0.3585522803009451,2,2,0,263,118,27,False
replicate_s_bend,10510,B8_full,True,False,31.0,31.0,3.388200621948272,2.834575653076172,0.04229545593261719,0.24904219653612025,2.773984909057617,0.06744384765625,0.313359072744279,3,3,0,248,117,152,False
replicate_s_bend,10511,B8_full,True,False,29.900000000000002,29.900000000000002,3.1265747968063806,2.8338794708251953,-0.008316993713378906,0.24626101450638568,2.7026939392089844,-0.022316932678222656,0.3779654865113982,1,1,0,265,124,235,False
replicate_s_bend,10512,B8_full,True,False,24.0,24.0,3.040566497173131,2.836996078491211,0.04612135887145996,0.2473420417413905,2.785381317138672,0.019761323928833008,0.29528067700810384,0,0,0,220,100,92,False
replicate_s_bend,10513,B8_full,True,False,25.7,25.7,3.058714229002362,2.8507652282714844,0.0007157325744628906,0.2292358890805339,2.7697696685791016,-0.0006580352783203125,0.31023102930549684,0,0,0,237,112,127,False
replicate_s_bend,10514,B8_full,True,False,33.9,33.9,3.6330365304129373,2.839181900024414,0.04618263244628906,0.24520642898488687,2.785888671875,0.06972122192382812,0.302262339893681,3,3,0,277,132,32,False
replicate_s_bend,10515,B8_full,True,False,25.900000000000002,25.900000000000002,3.1894578355768317,2.8497047424316406,0.09207534790039062,0.24801970758279468,2.7812023162841797,0.10772132873535156,0.31762232361477544,1,1,0,225,95,126,False
replicate_s_bend,10516,B8_full,True,False,29.2,29.2,3.1255118474018673,2.8543319702148438,0.07073020935058594,0.2364927529162192,2.8241329193115234,0.10774993896484375,0.2776292713799663,0,0,0,272,116,268,False
replicate_s_bend,10517,B8_full,True,False,35.800000000000004,35.800000000000004,3.4831058684903837,2.847604751586914,0.03479576110839844,0.23498573675032425,2.809072494506836,0.06196403503417969,0.27792310963729794,3,3,0,296,146,136,False
replicate_s_bend,10518,B8_full,True,False,29.900000000000002,29.900000000000002,3.2453692645322008,2.839153289794922,0.0342559814453125,0.24327065191138555,2.7522716522216797,0.02893829345703125,0.32900348746740204,1,1,0,265,144,30,False
replicate_s_bend,10519,B8_full,True,False,26.5,26.5,3.15375560533721,2.8427181243896484,0.057990074157714844,0.24426530083903372,2.790861129760742,0.03681182861328125,0.29147280663740827,0,0,0,245,132,82,False
replicate_s_bend,10520,B8_full,True,False,28.900000000000002,28.900000000000002,3.22441273597542,2.836477279663086,0.0050580501556396484,0.24357524338829648,2.703836441040039,-0.007765293121337891,0.3762437014312457,0,0,0,269,116,54,False
