map,seed,method,success,collision,arrival_time_s,completion_time_s,path_length_m,arrival_x,arrival_y,goal_distance_at_arrival_m,final_x,final_y,goal_distance_m,stall_recovery_attempts,regular_recovery_attempts,emergency_recovery_attempts,velocity_feedback_updates,height_rate_guard_updates,high_rate_height_interlock_updates,serious_safety_event
replicate_weighted_arc,10501,B5_active_no_task,True,False,27.400000000000002,27.400000000000002,3.079758039635635,2.7851829528808594,-0.0024127960205078125,0.23482944279282633,2.7145462036132812,-0.024366378784179688,0.30642412134509445,0,0,0,254,148,204,False
replicate_weighted_arc,10502,B5_active_no_task,True,False,37.5,37.5,3.436361819734884,2.7791786193847656,-0.05126380920410156,0.24621721202130065,2.7343482971191406,-0.07091140747070312,0.2943218018907381,3,3,0,317,188,224,False
replicate_weighted_arc,10503,B5_active_no_task,True,False,43.1,43.1,3.784387708426948,2.7713699340820312,0.0026559829711914062,0.24864425174115076,2.6968040466308594,-0.026676177978515625,0.3242949934021942,3,3,0,369,223,273,False
replicate_weighted_arc,10504,B5_active_no_task,True,False,32.7,32.7,3.2489442866135505,2.8016395568847656,-0.11146020889282227,0.2451625201451337,2.73284912109375,-0.16475963592529297,0.33106096853429723,0,0,0,307,192,133,False
replicate_weighted_arc,10505,B5_active_no_task,True,False,32.8,32.8,3.4142680389559246,2.8051300048828125,-0.11055326461791992,0.24164258548389192,2.7555618286132812,-0.16613531112670898,0.31229551404001954,0,0,0,308,195,167,False
replicate_weighted_arc,10506,B5_active_no_task,True,False,24.400000000000002,24.400000000000002,3.052972191175286,2.783222198486328,0.02963542938232422,0.2386251997680097,2.76025390625,0.05920600891113281,0.26640830450563835,1,1,0,210,119,127,False
replicate_weighted_arc,10507,B5_active_no_task,True,False,29.1,29.1,3.1935631757023657,2.7775535583496094,0.011922836303710938,0.24273943044849833,2.68927001953125,-0.011383056640625,0.33092581337717286,3,3,0,233,140,43,False
replicate_weighted_arc,10508,B5_active_no_task,True,False,37.7,37.7,3.3012552221134683,2.7721595764160156,-0.027189254760742188,0.24932735737727088,2.6499176025390625,-0.07371902465820312,0.3773532502933983,3,3,0,323,196,300,False
replicate_weighted_arc,10509,B5_active_no_task,True,False,30.7,30.7,3.3363208210394077,2.7862071990966797,-0.03586387634277344,0.23652757002207866,2.7124500274658203,-0.07383537292480469,0.31628886781029725,3,3,0,245,127,45,False
replicate_weighted_arc,10510,B5_active_no_task,True,False,32.3,32.3,3.218526519860461,2.7767677307128906,-0.014751434326171875,0.24367917768499683,2.698312759399414,-0.047298431396484375,0.32514584785567724,3,3,0,261,150,192,False
replicate_weighted_arc,10511,B5_active_no_task,True,False,27.1,27.1,3.072288339280931,2.7877731323242188,-0.049861907958984375,0.23751953169332213,2.7230968475341797,-0.0835886001586914,0.30844535337824713,0,0,0,251,156,177,False
replicate_weighted_arc,10512,B5_active_no_task,True,False,31.3,31.3,3.1346901551496558,2.7716846466064453,-0.01660013198852539,0.24886960262957472,2.723033905029297,-0.02827930450439453,0.29830953827425793,0,0,0,293,155,341,False
replicate_weighted_arc,10513,B5_active_no_task,True,False,28.0,28.0,3.182748961407924,2.784940719604492,-0.07445359230041504,0.2465688599691583,2.7198104858398438,-0.10228562355041504,0.3171373412211307,0,0,0,260,160,191,False
replicate_weighted_arc,10514,B5_active_no_task,True,False,34.0,34.0,3.4336295182565664,2.7726383209228516,-0.03622245788574219,0.249999733462159,2.7323570251464844,-0.06765556335449219,0.2954923962395546,3,3,0,278,187,61,False
replicate_weighted_arc,10515,B5_active_no_task,True,False,28.6,28.6,2.9281495699829065,2.7740039825439453,0.016996383666992188,0.24658247638872308,2.727632522583008,-0.0065708160400390625,0.29244130603354834,0,0,0,266,152,277,False
replicate_weighted_arc,10516,B5_active_no_task,True,False,31.7,31.7,3.095605394890299,2.7774581909179688,0.0122222900390625,0.24284956974757743,2.687234878540039,-0.0056667327880859375,0.332813368001879,1,1,0,283,180,196,False
replicate_weighted_arc,10517,B5_active_no_task,True,False,28.900000000000002,28.900000000000002,3.028921817702212,2.78314208984375,-0.05100822448730469,0.24228806939041278,2.762136459350586,-0.07303619384765625,0.2680072596181015,0,0,0,269,165,118,False
replicate_weighted_arc,10518,B5_active_no_task,True,False,33.6,33.6,3.0960830669409916,2.7723617553710938,-0.010105133056640625,0.24784433404251635,2.657350540161133,-0.024723052978515625,0.36349121044393995,0,0,0,316,174,272,False
replicate_weighted_arc,10519,B5_active_no_task,True,False,23.5,23.5,2.9698732939359616,2.7869644165039062,0.025999069213867188,0.23448141669512393,2.7521743774414062,0.05347156524658203,0.27311128206066076,0,0,0,215,124,122,False
replicate_weighted_arc,10520,B5_active_no_task,True,False,37.4,37.4,3.5412888331375143,2.782766342163086,-0.057314395904541016,0.24405890352245807,2.6714305877685547,-0.10407543182373047,0.3637751099960953,1,1,0,340,205,203,False
replicate_weighted_arc,10521,B5_active_no_task,True,False,34.9,34.9,3.3759796473168535,2.7711257934570312,0.010969161987304688,0.24911582285574718,2.674762725830078,-0.02075958251953125,0.345860861825479,3,3,0,287,189,89,False
replicate_weighted_arc,10522,B5_active_no_task,True,False,31.400000000000002,31.400000000000002,3.293045535803685,2.7812576293945312,-0.06942558288574219,0.2486319188707356,2.7171096801757812,-0.10901451110839844,0.3219110272659523,0,0,0,294,176,239,False
replicate_weighted_arc,10523,B5_active_no_task,True,False,30.2,30.2,3.237456198934524,2.7908401489257812,-0.09991073608398438,0.24999278495428964,2.6978282928466797,-0.1640300750732422,0.36152520578601194,0,0,0,282,176,207,False
replicate_weighted_arc,10524,B5_active_no_task,True,False,25.7,25.7,3.005255602123725,2.7712364196777344,0.00394439697265625,0.2487948495492425,2.6877689361572266,-0.009618759155273438,0.3323702759119536,3,3,0,203,128,218,False
replicate_weighted_arc,10525,B5_active_no_task,True,False,51.4,51.4,3.95332121481988,2.791745185852051,-0.08024978637695312,0.24195100412120935,2.699861526489258,-0.13226318359375,0.3463844568628076,3,3,0,452,285,151,False
replicate_weighted_arc,10526,B5_active_no_task,True,False,52.300000000000004,52.300000000000004,4.0063313002947325,2.7903995513916016,-0.014738082885742188,0.23007298209117216,2.7229185104370117,-0.03406524658203125,0.2990281800527477,3,3,0,461,278,115,False
replicate_weighted_arc,10527,B5_active_no_task,True,False,34.2,34.2,3.278127547719123,2.7835588455200195,-0.08083152770996094,0.24987628019432373,2.675395965576172,-0.12593460083007812,0.3668943502255248,0,0,0,322,198,268,False
replicate_weighted_arc,10528,B5_active_no_task,True,False,49.6,49.6,3.879439316692469,2.7802581787109375,-0.057444095611572266,0.24652781789410347,2.69606876373291,-0.10129451751708984,0.33939950664157603,3,3,0,434,257,257,False
replicate_weighted_arc,10529,B5_active_no_task,True,False,27.8,27.8,3.008377188931263,2.7958602905273438,-0.008948087692260742,0.22431825078632178,2.717583656311035,-0.03973555564880371,0.3050156706022189,0,0,0,258,168,134,False
replicate_weighted_arc,10530,B5_active_no_task,True,False,34.5,34.5,3.465125351482129,2.7769947052001953,-0.030521392822265625,0.24491453350209955,2.721647262573242,-0.05623626708984375,0.3036064453634674,3,3,0,283,186,116,False
replicate_weighted_arc,10531,B5_active_no_task,True,False,22.900000000000002,22.900000000000002,2.914593878973392,2.780447006225586,-0.015813827514648438,0.2400743925681111,2.6512937545776367,-0.06426429748535156,0.37426487324452684,0,0,0,209,132,124,False
replicate_weighted_arc,10532,B5_active_no_task,True,False,23.0,23.0,2.9828078645587084,2.7908849716186523,0.0552520751953125,0.23568302451295514,2.68851375579834,0.05035400390625,0.335288913929932,0,0,0,210,132,43,False
replicate_weighted_arc,10533,B5_active_no_task,True,False,24.1,24.1,2.9515075731251272,2.7970497608184814,0.03345298767089844,0.22544602798720056,2.7554125785827637,0.024684906005859375,0.2657364261006389,0,0,0,221,136,176,False
