schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active,scan_valid_beams,front_safety_active,front_safety_hard_brake,front_obstacle_distance,front_stop_threshold
3,0,2026-08-21T03:37:18.995,1787254638.995316267,NAVIGATING,odom,base_link,0.012548,-0.007766,-0.034651,4.010127,-0.146289,odom,4.010127,-0.146289,3.999978,0.000052,3.999978,0.000013,548,88,2,1.066977,0.989215,-0.383809,0.091568,-0.091568,,,off,range,last_cmd_dt,0.893529,-0.493630,0.091568,-0.091568,nan,nan,0,0,off,off,0,971,0,0,inf,0.790289
3,1,2026-08-21T03:37:19.512,1787254639.512623310,NAVIGATING,odom,base_link,0.120154,-0.035587,-0.126175,4.010127,-0.146289,odom,4.010127,-0.146289,3.872980,0.379693,3.891547,0.097724,548,90,0,0.976694,0.918184,-0.258603,0.850908,-0.327961,,,off,range,last_cmd_dt,0.850908,-0.423705,0.850908,-0.327961,nan,nan,0,0,off,off,0,949,0,0,inf,0.774235
3,2,2026-08-21T03:37:20.032,1787254640.032673359,NAVIGATING,odom,base_link,0.405450,-0.108571,-0.208854,4.010127,-0.146289,odom,4.010127,-0.146289,3.534165,0.710492,3.604874,0.198391,548,89,1,0.672909,-0.833314,-0.193620,0.061965,-0.387413,,,off,range,last_cmd_dt,-0.799984,-0.387413,0.061965,-0.387413,nan,nan,0,0,off,off,0,961,0,0,0.672909,0.643899
3,3,2026-08-21T03:37:20.553,1787254640.553005219,SAFETY_BRAKE,odom,base_link,0.389710,-0.090057,-0.196241,4.010127,-0.146289,odom,4.010127,-0.146289,3.561893,0.650769,3.620854,0.180710,548,88,2,0.543965,-0.525601,-0.835254,-0.120137,-0.120137,,,off,range,last_cmd_dt,-0.615346,-0.745752,-0.120137,-0.120137,nan,nan,0,0,off,off,0,952,1,0,0.678612,0.550000
3,4,2026-08-21T03:37:21.073,1787254641.073661804,NAVIGATING,odom,base_link,0.325029,-0.019699,-0.210978,4.010127,-0.146289,odom,4.010127,-0.146289,3.629897,0.647935,3.687272,0.176639,548,88,2,0.276257,-0.999443,-0.846459,-0.241034,-0.752010,,,off,range,last_cmd_dt,-0.899666,-0.752010,-0.241034,-0.752010,nan,nan,0,0,off,off,0,947,0,0,inf,0.550000
3,5,2026-08-21T03:37:21.592,1787254641.592703104,NAVIGATING,odom,base_link,0.294098,-0.039934,-0.420349,4.010127,-0.146289,odom,4.010127,-0.146289,3.435937,1.419338,3.717551,0.391736,548,89,1,0.782017,0.751070,0.413488,0.750634,0.292143,,,off,range,last_cmd_dt,0.750634,0.510205,0.750634,0.292143,nan,nan,0,0,off,off,0,914,0,0,0.823734,0.746357
3,6,2026-08-21T03:37:22.116,1787254642.116405010,NAVIGATING,odom,base_link,0.451686,-0.069346,-0.373852,4.010127,-0.146289,odom,4.010127,-0.146289,3.340750,1.227929,3.559272,0.352233,548,87,3,0.608495,-0.610299,0.160737,-0.576994,0.369049,,,off,range,last_cmd_dt,-0.666168,0.369049,-0.576994,0.369049,nan,nan,0,0,off,off,0,917,0,0,0.643882,0.567091
3,7,2026-08-21T03:37:22.632,1787254642.632821321,SAFETY_BRAKE,odom,base_link,0.317509,-0.066523,-0.311941,4.010127,-0.146289,odom,4.010127,-0.146289,3.538891,1.057373,3.693479,0.290343,548,89,1,0.746704,0.830356,0.135548,0.000000,0.000000,,,off,range,last_cmd_dt,0.798208,0.354981,0.119961,0.119961,nan,nan,0,0,off,off,0,930,1,1,0.770280,0.751974
3,8,2026-08-21T03:37:23.152,1787254643.152710915,SAFETY_BRAKE,odom,base_link,0.270534,0.006254,-0.329302,4.010127,-0.146289,odom,4.010127,-0.146289,3.587988,1.064972,3.742703,0.288533,548,88,2,0.440880,-0.844032,-0.944254,-0.806415,-0.350000,,,off,range,last_cmd_dt,-0.806415,-0.806627,-0.806415,-0.470058,nan,nan,0,0,off,off,0,934,1,0,inf,0.550000
3,9,2026-08-21T03:37:23.672,1787254643.672714710,NAVIGATING,odom,base_link,0.220280,-0.042631,-0.424801,4.010127,-0.146289,odom,4.010127,-0.146289,3.495731,1.467498,3.791264,0.397456,548,89,1,0.847157,0.833521,0.614432,0.800108,0.124134,,,off,range,last_cmd_dt,0.800108,0.622428,0.800108,0.124134,nan,nan,0,0,off,off,0,971,0,0,0.894814,0.752708
3,10,2026-08-21T03:37:24.193,1787254644.193117857,NAVIGATING,odom,base_link,0.369306,-0.134661,-0.306533,4.010127,-0.146289,odom,4.010127,-0.146289,3.474614,1.087552,3.640840,0.303340,548,88,2,0.666611,-0.166204,0.455526,-0.399697,0.533682,,,off,range,last_cmd_dt,-0.399697,0.533682,-0.399697,0.533682,nan,nan,0,0,off,off,0,932,0,0,0.666611,0.553139
3,11,2026-08-21T03:37:24.713,1787254644.712976217,NAVIGATING,odom,base_link,0.271109,-0.057790,-0.263392,4.010127,-0.146289,odom,4.010127,-0.146289,3.633109,0.888033,3.740065,0.239728,548,87,3,0.697585,0.814992,-0.008326,-0.030928,-0.412200,,,off,range,last_cmd_dt,0.788990,-0.283930,-0.030928,-0.412200,nan,nan,0,0,off,off,0,981,0,0,0.805914,0.748430
3,12,2026-08-21T03:37:25.232,1787254645.232785940,NAVIGATING,odom,base_link,0.306465,-0.079967,-0.421063,4.010127,-0.146289,odom,4.010127,-0.146289,3.407274,1.453269,3.704255,0.403157,548,89,1,0.771735,-0.118653,0.583073,0.475876,0.380576,,,off,range,last_cmd_dt,-0.371165,0.604915,0.475876,0.380576,nan,nan,0,0,off,off,0,927,0,0,0.771735,0.680696
3,13,2026-08-21T03:37:25.753,1787254645.753081560,NAVIGATING,odom,base_link,0.376158,-0.143726,-0.221792,4.010127,-0.146289,odom,4.010127,-0.146289,3.545518,0.796893,3.633969,0.221087,548,87,3,0.628050,-0.185595,0.297861,-0.411332,0.445629,,,off,range,last_cmd_dt,-0.411332,0.445629,-0.411332,0.445629,nan,nan,0,0,off,off,0,935,0,0,0.628050,0.550000
3,14,2026-08-21T03:37:26.273,1787254646.273667336,NAVIGATING,odom,base_link,0.223771,-0.022925,-0.188355,4.010127,-0.146289,odom,4.010127,-0.146289,3.742488,0.587788,3.788365,0.155785,548,87,3,0.700885,0.838032,-0.479832,-0.051028,-0.547256,,,off,range,last_cmd_dt,0.802815,-0.547256,-0.051028,-0.547256,nan,nan,0,0,off,off,0,970,0,0,0.817817,0.753756
3,15,2026-08-21T03:37:26.792,1787254646.792715788,NAVIGATING,odom,base_link,0.241938,-0.013514,-0.351306,4.010127,-0.146289,odom,4.010127,-0.146289,3.583735,1.172058,3.770528,0.316084,548,89,1,0.711234,0.558455,-0.359178,0.635060,-0.479874,,,off,range,last_cmd_dt,0.635060,-0.479874,0.635060,-0.479874,nan,nan,0,0,off,off,0,986,0,0,inf,0.719565
3,16,2026-08-21T03:37:27.312,1787254647.312902927,NAVIGATING,odom,base_link,0.385163,-0.101957,-0.358701,4.010127,-0.146289,odom,4.010127,-0.146289,3.409811,1.231064,3.625235,0.346472,548,87,3,0.639913,-0.342582,0.506216,-0.505529,0.563281,,,off,range,last_cmd_dt,-0.505529,0.561992,-0.505529,0.563281,nan,nan,0,0,off,off,0,909,0,0,0.639913,0.550000
3,17,2026-08-21T03:37:27.832,1787254647.832768917,SAFETY_BRAKE,odom,base_link,0.314418,-0.018333,-0.208216,4.010127,-0.146289,odom,4.010127,-0.146289,3.642336,0.638765,3.697923,0.173607,548,88,2,0.784470,0.846653,-0.291115,0.000000,0.000000,,,off,range,last_cmd_dt,0.807987,-0.441862,0.116240,-0.116240,nan,nan,0,0,off,off,0,961,1,1,0.784553,0.755766
3,18,2026-08-21T03:37:28.354,1787254648.354144812,SAFETY_BRAKE,odom,base_link,0.314565,-0.045792,-0.194329,4.010127,-0.146289,odom,4.010127,-0.146289,3.645409,0.615039,3.696928,0.167142,548,88,2,0.760500,0.704626,0.561542,0.000000,0.000000,,,off,range,last_cmd_dt,0.722767,0.592890,0.119984,0.119984,nan,nan,0,0,off,off,0,939,1,1,0.760500,0.723797
3,19,2026-08-21T03:37:28.873,1787254648.873576641,SAFETY_BRAKE,odom,base_link,0.316489,-0.045257,-0.191505,4.010127,-0.146289,odom,4.010127,-0.146289,3.645344,0.603848,3.695019,0.164159,548,89,1,0.742876,0.719934,0.370571,0.000000,0.000000,,,off,range,last_cmd_dt,0.731952,0.486236,0.120347,0.120347,nan,nan,0,0,off,off,0,957,1,1,0.742876,0.727127
3,20,2026-08-21T03:37:29.393,1787254649.393119335,SAFETY_BRAKE,odom,base_link,0.319721,-0.045374,-0.188395,4.010127,-0.146289,odom,4.010127,-0.146289,3.644008,0.592016,3.691785,0.161056,548,88,2,0.761821,0.805307,0.423655,0.000000,0.000000,,,off,range,last_cmd_dt,0.783179,0.515883,0.120017,0.120017,nan,nan,0,0,off,off,0,957,1,1,0.761821,0.746210
3,21,2026-08-21T03:37:29.913,1787254649.913638115,SAFETY_BRAKE,odom,base_link,0.322407,-0.045620,-0.184077,4.010127,-0.146289,odom,4.010127,-0.146289,3.643845,0.576029,3.689094,0.156785,548,89,1,0.746081,0.739047,0.366243,0.000000,0.000000,,,off,range,last_cmd_dt,0.743421,0.483819,0.120425,0.120425,nan,nan,0,0,off,off,0,970,1,1,0.746081,0.731323
3,22,2026-08-21T03:37:30.433,1787254650.433481216,SAFETY_BRAKE,odom,base_link,0.324625,-0.045881,-0.179934,4.010127,-0.146289,odom,4.010127,-0.146289,3.643971,0.560786,3.686870,0.152696,548,88,2,0.738896,0.671584,0.362429,0.000000,0.000000,,,off,range,last_cmd_dt,0.702940,0.481689,0.120873,0.120873,nan,nan,0,0,off,off,0,977,1,1,0.738896,0.716707
3,23,2026-08-21T03:37:30.953,1787254650.953080416,SAFETY_BRAKE,odom,base_link,0.326539,-0.046066,-0.175575,4.010127,-0.146289,odom,4.010127,-0.146289,3.644464,0.544746,3.684951,0.148374,548,88,2,0.745461,0.742208,0.377831,0.000000,0.000000,,,off,range,last_cmd_dt,0.745317,0.490291,0.119643,0.119643,nan,nan,0,0,off,off,0,974,1,1,0.745461,0.732021
