schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active
2,0,2026-08-21T03:46:21.369,1787255181.369771719,NAVIGATING,odom,base_link,0.014857,-0.007208,-0.033010,4.012681,-0.139380,odom,4.012682,-0.139380,4.000009,-0.000154,4.000009,-0.000039,548,90,0,1.119117,0.998062,0.099601,0.105973,0.105973,,,off,range,last_cmd_dt,0.898837,0.334905,0.105973,0.105973,nan,nan,0,0,off,off,0
2,1,2026-08-21T03:46:21.888,1787255181.888798475,NAVIGATING,odom,base_link,0.119433,-0.025468,-0.012670,4.012681,-0.139380,odom,4.012682,-0.139380,3.894379,-0.064576,3.894914,-0.016580,548,90,0,1.048354,0.992207,-0.340757,0.895324,0.043619,,,off,range,last_cmd_dt,0.895324,-0.469586,0.895324,0.043619,nan,nan,0,0,off,off,0
2,2,2026-08-21T03:46:22.407,1787255182.407022715,NAVIGATING,odom,base_link,0.443007,-0.043702,0.063511,4.012681,-0.139380,odom,4.012682,-0.139380,3.556405,-0.322046,3.570956,-0.090308,548,90,0,0.771666,0.864986,-0.695344,0.818987,-0.073437,,,off,range,last_cmd_dt,0.818987,-0.667616,0.818987,-0.073437,nan,nan,0,0,off,off,0
2,3,2026-08-21T03:46:22.927,1787255182.927646637,NAVIGATING,odom,base_link,0.767263,-0.025077,-0.110836,4.012681,-0.139380,odom,4.012682,-0.139380,3.238147,0.245371,3.247431,0.075630,548,90,0,0.263313,-0.999790,-0.781431,0.090449,-0.715693,,,off,range,last_cmd_dt,-0.899874,-0.715693,0.090449,-0.715693,nan,nan,0,0,off,off,0
2,4,2026-08-21T03:46:23.447,1787255183.447347879,NAVIGATING,odom,base_link,0.745134,-0.001951,-0.385992,4.012681,-0.139380,odom,4.012682,-0.139380,3.078878,1.102844,3.270437,0.343958,548,90,0,0.287126,-0.994436,-0.360628,-0.896662,-0.480683,,,off,range,last_cmd_dt,-0.896662,-0.480683,-0.896662,-0.480683,nan,nan,0,0,off,off,0
2,5,2026-08-21T03:46:23.968,1787255183.968132973,NAVIGATING,odom,base_link,0.463131,0.207502,-0.638070,4.012681,-0.139380,odom,4.012682,-0.139380,3.057785,1.835643,3.566459,0.540653,548,90,0,0.529219,0.662929,-0.794540,-0.534430,-0.723015,,,off,range,last_cmd_dt,0.697747,-0.723015,-0.534430,-0.723015,nan,nan,0,0,off,off,0
2,6,2026-08-21T03:46:24.488,1787255184.488183737,NAVIGATING,odom,base_link,0.314213,0.295661,-0.882510,4.012681,-0.139380,odom,4.012682,-0.139380,2.685319,2.580114,3.723967,0.765420,548,90,0,0.960259,0.990360,-0.079906,0.894215,-0.323906,,,off,range,last_cmd_dt,0.894215,-0.323906,0.894215,-0.323906,nan,nan,0,0,off,off,0
2,7,2026-08-21T03:46:25.007,1787255185.007561922,NAVIGATING,odom,base_link,0.440441,0.093518,-0.920906,4.012681,-0.139380,odom,4.012682,-0.139380,2.346981,2.703114,3.579824,0.855802,548,90,0,0.814927,0.699604,0.032949,0.719753,0.297681,,,off,range,last_cmd_dt,0.719753,0.297681,0.719753,0.297681,nan,nan,0,0,off,off,0
2,8,2026-08-21T03:46:25.528,1787255185.528079987,NAVIGATING,odom,base_link,0.656398,-0.111600,-0.655198,4.012681,-0.139380,odom,4.012682,-0.139380,2.678216,2.023010,3.356399,0.646921,548,90,0,0.308625,-0.998511,0.952534,-0.085652,0.811251,,,off,range,last_cmd_dt,-0.899107,0.811251,-0.085652,0.811251,nan,nan,0,0,off,off,0
2,9,2026-08-21T03:46:26.047,1787255186.047302246,NAVIGATING,odom,base_link,0.593959,-0.065242,-0.291296,4.012681,-0.139380,odom,4.012682,-0.139380,3.295992,0.910823,3.419526,0.269614,548,90,0,0.348453,-0.997189,-0.956432,-0.898314,0.168447,,,off,range,last_cmd_dt,-0.898314,-0.813428,-0.898314,0.168447,nan,nan,0,0,off,off,0
2,10,2026-08-21T03:46:26.567,1787255186.567672014,NAVIGATING,odom,base_link,0.363164,0.084495,-0.338477,4.012681,-0.139380,odom,4.012682,-0.139380,3.516788,1.000652,3.656378,0.277210,548,90,0,0.904092,0.981672,-0.237853,0.185378,0.063868,,,off,range,last_cmd_dt,0.889003,-0.412116,0.185378,0.063868,nan,nan,0,0,off,off,0
2,11,2026-08-21T03:46:27.087,1787255187.087448597,NAVIGATING,odom,base_link,0.394057,0.029208,-0.359064,4.012681,-0.139380,odom,4.012682,-0.139380,3.447093,1.113740,3.622550,0.312508,548,90,0,0.888015,0.880606,-0.328951,0.828360,-0.053523,,,off,range,last_cmd_dt,0.828360,-0.462992,0.828360,-0.053523,nan,nan,0,0,off,off,0
2,12,2026-08-21T03:46:27.607,1787255187.607336521,NAVIGATING,odom,base_link,0.649113,-0.104316,-0.358993,4.012681,-0.139380,odom,4.012682,-0.139380,3.161464,1.148898,3.363751,0.348568,548,90,0,0.483693,0.127077,-0.381285,0.291505,-0.414675,,,off,range,last_cmd_dt,0.376220,-0.492220,0.291505,-0.414675,nan,nan,0,0,off,off,0
2,13,2026-08-21T03:46:28.127,1787255188.127009869,NAVIGATING,odom,base_link,0.779882,-0.191005,-0.358843,4.012681,-0.139380,odom,4.012682,-0.139380,3.008753,1.183667,3.233212,0.374811,548,90,0,0.396415,-0.754368,0.972675,-0.077487,0.822500,,,off,range,last_cmd_dt,-0.752614,0.822500,-0.077487,0.822500,nan,nan,0,0,off,off,0
2,14,2026-08-21T03:46:28.647,1787255188.647105217,NAVIGATING,odom,base_link,0.744915,-0.173770,-0.064764,4.012681,-0.139380,odom,4.012682,-0.139380,3.258690,0.245802,3.267948,0.075287,548,90,0,0.309495,-0.989315,-0.977515,-0.119508,-0.172956,,,off,range,last_cmd_dt,-0.893588,-0.825203,-0.119508,-0.172956,nan,nan,0,0,off,off,0
2,15,2026-08-21T03:46:29.167,1787255189.167349577,NAVIGATING,odom,base_link,0.656810,-0.049031,-0.232401,4.012681,-0.139380,odom,4.012682,-0.139380,3.286461,0.684987,3.357087,0.205485,548,90,0,0.384182,-0.990559,-0.171793,-0.894335,-0.475757,,,off,range,last_cmd_dt,-0.894335,-0.375223,-0.894335,-0.475757,nan,nan,0,0,off,off,0
2,16,2026-08-21T03:46:29.688,1787255189.688150883,NAVIGATING,odom,base_link,0.370102,0.042335,-0.445079,4.012681,-0.139380,odom,4.012682,-0.139380,3.365942,1.404223,3.647109,0.395233,548,90,0,0.856193,0.948254,0.055634,0.226889,0.036891,,,off,range,last_cmd_dt,0.868951,0.310351,0.226889,0.036891,nan,nan,0,0,off,off,0
2,17,2026-08-21T03:46:30.207,1787255190.207062483,NAVIGATING,odom,base_link,0.463115,0.009568,-0.417223,4.012681,-0.139380,odom,4.012682,-0.139380,3.305434,1.302197,3.552690,0.375286,548,90,0,0.622996,0.165094,-0.790662,0.451509,-0.618054,,,off,range,last_cmd_dt,0.399031,-0.720849,0.451509,-0.618054,nan,nan,0,0,off,off,0
2,18,2026-08-21T03:46:30.727,1787255190.727169991,NAVIGATING,odom,base_link,0.655719,-0.054118,-0.538125,4.012681,-0.139380,odom,4.012682,-0.139380,2.926225,1.647322,3.358045,0.512732,548,90,0,0.582348,0.819882,0.318807,0.546444,0.481814,,,off,range,last_cmd_dt,0.791924,0.457327,0.546444,0.481814,nan,nan,0,0,off,off,0
2,19,2026-08-21T03:46:31.247,1787255191.247341633,NAVIGATING,odom,base_link,0.753082,-0.138343,-0.367374,4.012681,-0.139380,odom,4.012682,-0.139380,3.042471,1.169768,3.259599,0.367056,548,90,0,0.487355,-0.402577,0.718475,0.096556,0.680534,,,off,range,last_cmd_dt,-0.541528,0.680534,0.096556,0.680534,nan,nan,0,0,off,off,0
2,20,2026-08-21T03:46:31.767,1787255191.767140388,NAVIGATING,odom,base_link,0.941479,-0.156719,-0.171620,4.012681,-0.139380,odom,4.012682,-0.139380,3.023123,0.541581,3.071251,0.177266,548,90,0,0.423357,0.785007,-0.652480,0.770998,-0.435786,,,off,range,last_cmd_dt,0.770998,-0.643677,0.770998,-0.435786,nan,nan,0,0,off,off,0
2,21,2026-08-21T03:46:32.289,1787255192.289034128,NAVIGATING,odom,base_link,1.206499,-0.162733,-0.326459,4.012681,-0.139380,odom,4.012682,-0.139380,2.650481,0.922038,2.806279,0.334781,548,90,0,0.279341,0.989391,0.733432,0.651514,0.507309,,,off,range,last_cmd_dt,0.893634,0.688887,0.651514,0.507309,nan,nan,0,0,off,off,0
2,22,2026-08-21T03:46:32.807,1787255192.807302475,NAVIGATING,odom,base_link,1.205290,-0.147330,-0.281952,4.012681,-0.139380,odom,4.012682,-0.139380,2.694328,0.788738,2.807403,0.284783,548,90,0,0.275195,0.990723,0.741032,0.894434,0.693131,,,off,range,last_cmd_dt,0.894434,0.693131,0.894434,0.693131,nan,nan,0,0,off,off,0
2,23,2026-08-21T03:46:33.327,1787255193.327691555,NAVIGATING,odom,base_link,1.199975,-0.145920,-0.273583,4.012681,-0.139380,odom,4.012682,-0.139380,2.706332,0.766242,2.812714,0.275908,548,90,0,0.320523,0.990287,0.733516,0.894172,0.688934,,,off,range,last_cmd_dt,0.894172,0.688934,0.894172,0.688934,nan,nan,0,0,off,off,0
2,24,2026-08-21T03:46:33.848,1787255193.848049879,NAVIGATING,odom,base_link,1.197322,-0.145252,-0.270792,4.012681,-0.139380,odom,4.012682,-0.139380,2.711195,0.758751,2.815366,0.272877,548,90,0,0.277053,0.992276,0.668031,0.895365,0.652362,,,off,range,last_cmd_dt,0.895365,0.652362,0.895365,0.652362,nan,nan,0,0,off,off,0
