schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active
2,0,2026-08-21T01:49:28.374,1787248168.374781609,NAVIGATING,odom,base_link,0.000497,0.000075,0.000163,5.000498,0.000215,odom,5.000498,0.000215,5.000001,-0.000673,5.000001,-0.000135,548,90,0,1.960851,0.999732,-0.870521,0.060163,-0.060163,,,guarded,range,last_cmd_dt,0.899839,-0.765448,0.060163,-0.060163,0.099453,-0.094239,0,0,below_min,below_min,0
2,1,2026-08-21T01:49:28.891,1787248168.891678333,NAVIGATING,odom,base_link,0.000610,0.000151,0.000044,5.000498,0.000215,odom,5.000498,0.000215,4.999888,-0.000159,4.999888,-0.000032,548,90,0,0.552101,0.999956,-0.812031,0.899974,-0.732783,,,guarded,range,last_cmd_dt,0.899974,-0.732783,0.899974,-0.732783,1.150300,-0.858426,0,0,above_max,above_max,0
2,2,2026-08-21T01:49:29.411,1787248169.411909342,NAVIGATING,odom,base_link,0.000629,0.000113,-0.000266,5.000498,0.000215,odom,5.000498,0.000215,4.999869,0.001434,4.999869,0.000287,548,90,0,0.547195,0.999956,-0.790223,0.899974,-0.720604,,,guarded,range,last_cmd_dt,0.899974,-0.720604,0.899974,-0.720604,1.147855,-0.844162,0,0,above_max,above_max,0
2,3,2026-08-21T01:49:29.931,1787248169.931709528,NAVIGATING,odom,base_link,0.000595,0.000071,-0.000307,5.000498,0.000215,odom,5.000498,0.000215,4.999903,0.001677,4.999904,0.000335,548,90,0,0.552101,0.999953,-0.837497,0.899972,-0.747006,,,guarded,range,last_cmd_dt,0.899972,-0.747006,0.899972,-0.747006,1.153171,-0.875044,0,0,above_max,above_max,0
2,4,2026-08-21T01:49:30.451,1787248170.451746941,NAVIGATING,odom,base_link,0.000605,0.000189,-0.000444,5.000498,0.000215,odom,5.000498,0.000215,4.999893,0.002245,4.999893,0.000449,548,90,0,2.000000,0.999732,-0.868158,0.899839,-0.764129,,,guarded,range,last_cmd_dt,0.899839,-0.764129,0.899839,-0.764129,1.156434,-0.895005,0,0,above_max,above_max,0
2,5,2026-08-21T01:49:30.971,1787248170.971603870,NAVIGATING,odom,base_link,0.000684,0.000181,-0.000295,5.000498,0.000215,odom,5.000498,0.000215,4.999814,0.001508,4.999814,0.000302,548,90,0,2.000000,0.999734,-0.866905,0.899840,-0.763429,,,guarded,range,last_cmd_dt,0.899840,-0.763429,0.899840,-0.763429,1.156293,-0.894191,0,0,above_max,above_max,0
2,6,2026-08-21T01:49:31.491,1787248171.491583586,NAVIGATING,odom,base_link,0.000729,0.000155,-0.000019,5.000498,0.000215,odom,5.000498,0.000215,4.999770,0.000156,4.999770,0.000031,548,90,0,2.000000,0.999731,-0.869384,0.899838,-0.764813,,,guarded,range,last_cmd_dt,0.899838,-0.764813,0.899838,-0.764813,1.156573,-0.895802,0,0,above_max,above_max,0
2,7,2026-08-21T01:49:32.018,1787248172.018887520,NAVIGATING,odom,base_link,0.000683,0.000202,-0.000070,5.000498,0.000215,odom,5.000498,0.000215,4.999815,0.000365,4.999815,0.000073,548,90,0,0.592181,0.999890,-0.958887,0.899934,-0.814799,,,guarded,range,last_cmd_dt,0.899934,-0.814799,0.899934,-0.814799,1.167077,-0.953688,0,0,above_max,above_max,0
2,8,2026-08-21T01:49:32.531,1787248172.531919956,NAVIGATING,odom,base_link,0.000734,0.000220,0.000189,5.000498,0.000215,odom,5.000498,0.000215,4.999764,-0.000951,4.999764,-0.000190,548,90,0,0.549902,0.999956,-0.808530,0.899973,-0.730828,,,guarded,range,last_cmd_dt,0.899973,-0.730828,0.899973,-0.730828,1.149907,-0.856139,0,0,above_max,above_max,0
2,9,2026-08-21T01:49:33.051,1787248173.051763296,NAVIGATING,odom,base_link,0.000755,0.000208,-0.000319,5.000498,0.000215,odom,5.000498,0.000215,4.999743,0.001599,4.999744,0.000320,548,90,0,0.545338,0.999957,-0.795418,0.899974,-0.723505,,,guarded,range,last_cmd_dt,0.899974,-0.723505,0.899974,-0.723505,1.148438,-0.847563,0,0,above_max,above_max,0
2,10,2026-08-21T01:49:33.572,1787248173.571984053,NAVIGATING,odom,base_link,0.000728,0.000200,-0.000333,5.000498,0.000215,odom,5.000498,0.000215,4.999770,0.001681,4.999771,0.000336,548,90,0,0.562337,0.999951,-0.837422,0.899970,-0.746964,,,guarded,range,last_cmd_dt,0.899970,-0.746964,0.899970,-0.746964,1.153160,-0.874996,0,0,above_max,above_max,0
2,11,2026-08-21T01:49:34.092,1787248174.092391729,NAVIGATING,odom,base_link,0.000771,0.000329,-0.000162,5.000498,0.000215,odom,5.000498,0.000215,4.999727,0.000694,4.999727,0.000139,548,90,0,2.000000,0.999731,-0.868820,0.899839,-0.764498,,,guarded,range,last_cmd_dt,0.899839,-0.764498,0.899839,-0.764498,1.156509,-0.895435,0,0,above_max,above_max,0
2,12,2026-08-21T01:49:34.612,1787248174.612401724,NAVIGATING,odom,base_link,0.000854,0.000301,0.000036,5.000498,0.000215,odom,5.000498,0.000215,4.999645,-0.000267,4.999645,-0.000053,548,90,0,2.000000,0.999730,-0.868581,0.899838,-0.764365,,,guarded,range,last_cmd_dt,0.899838,-0.764365,0.899838,-0.764365,1.156481,-0.895280,0,0,above_max,above_max,0
2,13,2026-08-21T01:49:35.131,1787248175.131844759,NAVIGATING,odom,base_link,0.000902,0.000231,-0.000006,5.000498,0.000215,odom,5.000498,0.000215,4.999597,0.000012,4.999597,0.000002,548,90,0,2.000000,0.999731,-0.866528,0.899839,-0.763219,,,guarded,range,last_cmd_dt,0.899839,-0.763219,0.899839,-0.763219,1.156248,-0.893946,0,0,above_max,above_max,0
2,14,2026-08-21T01:49:35.651,1787248175.651703596,NAVIGATING,odom,base_link,0.000892,0.000245,0.000075,5.000498,0.000215,odom,5.000498,0.000215,4.999606,-0.000405,4.999606,-0.000081,548,90,0,0.552382,0.999955,-0.810300,0.899973,-0.731816,,,guarded,range,last_cmd_dt,0.899973,-0.731816,0.899973,-0.731816,1.150104,-0.857295,0,0,above_max,above_max,0
2,15,2026-08-21T01:49:36.171,1787248176.171621084,NAVIGATING,odom,base_link,0.000857,0.000180,-0.000197,5.000498,0.000215,odom,5.000498,0.000215,4.999642,0.001022,4.999642,0.000204,548,90,0,0.563544,0.999954,-0.813544,0.899973,-0.733628,,,guarded,range,last_cmd_dt,0.899973,-0.733628,0.899973,-0.733628,1.150469,-0.859415,0,0,above_max,above_max,0
2,16,2026-08-21T01:49:36.692,1787248176.692436695,NAVIGATING,odom,base_link,0.000810,0.000169,-0.000255,5.000498,0.000215,odom,5.000498,0.000215,4.999688,0.001322,4.999688,0.000264,548,90,0,0.552030,0.999956,-0.809914,0.899973,-0.731601,,,guarded,range,last_cmd_dt,0.899973,-0.731601,0.899973,-0.731601,1.150062,-0.857043,0,0,above_max,above_max,0
2,17,2026-08-21T01:49:37.211,1787248177.211888313,NAVIGATING,odom,base_link,0.000809,0.000111,-0.000160,5.000498,0.000215,odom,5.000498,0.000215,4.999689,0.000902,4.999689,0.000180,548,90,0,0.601656,0.999878,-0.962641,0.899927,-0.816896,,,guarded,range,last_cmd_dt,0.899927,-0.816896,0.899927,-0.816896,1.167505,-0.956106,0,0,above_max,above_max,0
2,18,2026-08-21T01:49:37.731,1787248177.731601238,NAVIGATING,odom,base_link,0.000685,0.000046,-0.000330,5.000498,0.000215,odom,5.000498,0.000215,4.999814,0.001818,4.999814,0.000364,548,90,0,2.000000,0.999733,-0.864660,0.899840,-0.762176,,,guarded,range,last_cmd_dt,0.899840,-0.762176,0.899840,-0.762176,1.156037,-0.892732,0,0,above_max,above_max,0
2,19,2026-08-21T01:49:38.251,1787248178.251652956,NAVIGATING,odom,base_link,0.000736,0.000127,-0.000292,5.000498,0.000215,odom,5.000498,0.000215,4.999763,0.001549,4.999763,0.000310,548,90,0,2.000000,0.999730,-0.866735,0.899838,-0.763334,,,guarded,range,last_cmd_dt,0.899838,-0.763334,0.899838,-0.763334,1.156270,-0.894081,0,0,above_max,above_max,0
2,20,2026-08-21T01:49:38.771,1787248178.771739960,NAVIGATING,odom,base_link,0.000716,0.000078,-0.000023,5.000498,0.000215,odom,5.000498,0.000215,4.999782,0.000254,4.999782,0.000051,548,90,0,2.000000,0.999731,-0.870924,0.899838,-0.765674,,,guarded,range,last_cmd_dt,0.899838,-0.765674,0.899838,-0.765674,1.156749,-0.896803,0,0,above_max,above_max,0
2,21,2026-08-21T01:49:39.291,1787248179.291737795,NAVIGATING,odom,base_link,0.000719,0.000025,-0.000236,5.000498,0.000215,odom,5.000498,0.000215,4.999779,0.001371,4.999779,0.000274,548,90,0,0.559032,0.999953,-0.835480,0.899972,-0.745879,,,guarded,range,last_cmd_dt,0.899972,-0.745879,0.899972,-0.745879,1.152942,-0.873729,0,0,above_max,above_max,0
2,22,2026-08-21T01:49:39.811,1787248179.811864138,NAVIGATING,odom,base_link,0.000663,-0.000078,-0.000320,5.000498,0.000215,odom,5.000498,0.000215,4.999835,0.001894,4.999836,0.000379,548,90,0,0.536563,0.999956,-0.815908,0.899973,-0.734948,,,guarded,range,last_cmd_dt,0.899973,-0.734948,0.899973,-0.734948,1.150736,-0.860959,0,0,above_max,above_max,0
2,23,2026-08-21T01:49:40.331,1787248180.331740856,NAVIGATING,odom,base_link,0.000631,-0.000089,-0.000647,5.000498,0.000215,odom,5.000498,0.000215,4.999866,0.003538,4.999868,0.000708,548,90,0,0.559227,0.999953,-0.834198,0.899972,-0.745163,,,guarded,range,last_cmd_dt,0.899972,-0.745163,0.899972,-0.745163,1.152797,-0.872894,0,0,above_max,above_max,0
2,24,2026-08-21T01:49:40.851,1787248180.851561308,NAVIGATING,odom,base_link,0.000684,-0.000172,-0.000587,5.000498,0.000215,odom,5.000498,0.000215,4.999813,0.003324,4.999814,0.000665,548,90,0,2.000000,0.999733,-0.866878,0.899840,-0.763414,,,guarded,range,last_cmd_dt,0.899840,-0.763414,0.899840,-0.763414,1.156289,-0.894173,0,0,above_max,above_max,0
2,25,2026-08-21T01:49:41.374,1787248181.374008417,NAVIGATING,odom,base_link,0.000691,-0.000250,-0.000754,5.000498,0.000215,odom,5.000498,0.000215,4.999805,0.004233,4.999807,0.000847,548,90,0,2.000000,0.999733,-0.862895,0.899840,-0.761190,,,guarded,range,last_cmd_dt,0.899840,-0.761190,0.899840,-0.761190,1.155835,-0.891585,0,0,above_max,above_max,0
2,26,2026-08-21T01:49:41.891,1787248181.891962767,NAVIGATING,odom,base_link,0.000661,-0.000246,-0.001011,5.000498,0.000215,odom,5.000498,0.000215,4.999835,0.005515,4.999837,0.001103,548,90,0,2.000000,0.999731,-0.867792,0.899838,-0.763925,,,guarded,range,last_cmd_dt,0.899838,-0.763925,0.899838,-0.763925,1.156391,-0.894768,0,0,above_max,above_max,0
2,27,2026-08-21T01:49:42.411,1787248182.411953688,NAVIGATING,odom,base_link,0.000675,-0.000215,-0.000998,5.000498,0.000215,odom,5.000498,0.000215,4.999820,0.005417,4.999823,0.001083,548,90,0,0.593148,0.999897,-0.943970,0.899938,-0.806468,,,guarded,range,last_cmd_dt,0.899938,-0.806468,0.899938,-0.806468,1.165343,-0.944075,0,0,above_max,above_max,0
2,28,2026-08-21T01:49:42.932,1787248182.932020187,NAVIGATING,odom,base_link,0.000663,-0.000282,-0.001231,5.000498,0.000215,odom,5.000498,0.000215,4.999831,0.006653,4.999835,0.001331,548,90,0,0.547369,0.999955,-0.828578,0.899973,-0.742024,,,guarded,range,last_cmd_dt,0.899973,-0.742024,0.899973,-0.742024,1.152164,-0.869229,0,0,above_max,above_max,0
2,29,2026-08-21T01:49:43.453,1787248183.453260899,NAVIGATING,odom,base_link,0.000641,-0.000208,-0.000950,5.000498,0.000215,odom,5.000498,0.000215,4.999855,0.005172,4.999858,0.001034,548,90,0,0.550500,0.999955,-0.809896,0.899973,-0.731591,,,guarded,range,last_cmd_dt,0.899973,-0.731591,0.899973,-0.731591,1.150060,-0.857032,0,0,above_max,above_max,0
2,30,2026-08-21T01:49:43.972,1787248183.972088099,NAVIGATING,odom,base_link,0.000675,-0.000215,-0.000854,5.000498,0.000215,odom,5.000498,0.000215,4.999821,0.004699,4.999824,0.000940,548,90,0,0.555344,0.999955,-0.810331,0.899973,-0.731834,,,guarded,range,last_cmd_dt,0.899973,-0.731834,0.899973,-0.731834,1.150108,-0.857315,0,0,above_max,above_max,0
2,31,2026-08-21T01:49:44.491,1787248184.491870403,NAVIGATING,odom,base_link,0.000699,-0.000102,-0.001091,5.000498,0.000215,odom,5.000498,0.000215,4.999796,0.005773,4.999800,0.001155,548,90,0,2.000000,0.999732,-0.867770,0.899839,-0.763912,,,guarded,range,last_cmd_dt,0.899839,-0.763912,0.899839,-0.763912,1.156389,-0.894753,0,0,above_max,above_max,0
2,32,2026-08-21T01:49:45.012,1787248185.011981726,NAVIGATING,odom,base_link,0.000675,-0.000101,-0.001105,5.000498,0.000215,odom,5.000498,0.000215,4.999820,0.005843,4.999824,0.001169,548,90,0,2.000000,0.999732,-0.864262,0.899839,-0.761953,,,guarded,range,last_cmd_dt,0.899839,-0.761953,0.899839,-0.761953,1.155990,-0.892473,0,0,above_max,above_max,0
2,33,2026-08-21T01:49:45.531,1787248185.531763554,NAVIGATING,odom,base_link,0.000702,-0.000114,-0.001150,5.000498,0.000215,odom,5.000498,0.000215,4.999793,0.006078,4.999797,0.001216,548,90,0,2.000000,0.999731,-0.869061,0.899839,-0.764633,,,guarded,range,last_cmd_dt,0.899839,-0.764633,0.899839,-0.764633,1.156537,-0.895592,0,0,above_max,above_max,0
2,34,2026-08-21T01:49:46.051,1787248186.051578999,NAVIGATING,odom,base_link,0.000719,-0.000026,-0.000989,5.000498,0.000215,odom,5.000498,0.000215,4.999777,0.005186,4.999780,0.001037,548,90,0,0.559505,0.999938,-0.895054,0.899963,-0.779150,,,guarded,range,last_cmd_dt,0.899963,-0.779150,0.899963,-0.779150,1.159723,-0.912451,0,0,above_max,above_max,0
