schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active,scan_valid_beams,front_safety_active,front_safety_hard_brake,front_obstacle_distance,front_stop_threshold
3,0,2026-08-21T03:33:13.783,1787254393.783269405,NAVIGATING,odom,base_link,0.000229,0.000038,0.000175,4.000248,0.000741,odom,4.000248,0.000741,4.000019,0.000004,4.000019,0.000001,548,88,2,1.088880,0.990712,-0.369836,0.086237,-0.086237,,,off,range,last_cmd_dt,0.894427,-0.485826,0.086237,-0.086237,nan,nan,0,0,off,off,0,951,0,0,inf,0.790664
3,1,2026-08-21T03:33:14.298,1787254394.298948765,NAVIGATING,odom,base_link,0.000268,0.000067,0.000394,4.000248,0.000741,odom,4.000248,0.000741,3.999979,-0.000902,3.999979,-0.000226,548,90,0,1.087258,0.990734,-0.384864,0.894440,-0.494219,,,off,range,last_cmd_dt,0.894440,-0.494219,0.894440,-0.494219,nan,nan,0,0,off,off,0,970,0,0,inf,0.790670
3,2,2026-08-21T03:33:14.819,1787254394.819064617,NAVIGATING,odom,base_link,0.000460,0.000191,0.000752,4.000248,0.000741,odom,4.000248,0.000741,3.999787,-0.002459,3.999788,-0.000615,548,89,1,1.081706,0.990433,-0.362020,0.894260,-0.481461,,,off,range,last_cmd_dt,0.894260,-0.481461,0.894260,-0.481461,nan,nan,0,0,off,off,0,952,0,0,inf,0.790594
3,3,2026-08-21T03:33:15.339,1787254395.339689255,NAVIGATING,odom,base_link,0.000427,0.000190,0.000782,4.000248,0.000741,odom,4.000248,0.000741,3.999820,-0.002579,3.999821,-0.000645,548,90,0,1.075353,0.990103,-0.403638,0.894062,-0.504704,,,off,range,last_cmd_dt,0.894062,-0.504704,0.894062,-0.504704,nan,nan,0,0,off,off,0,976,0,0,inf,0.790592
3,4,2026-08-21T03:33:15.858,1787254395.858966112,NAVIGATING,odom,base_link,0.000343,0.000158,0.000528,4.000248,0.000741,odom,4.000248,0.000741,3.999905,-0.001527,3.999905,-0.000382,548,88,2,1.075833,0.990318,-0.375880,0.894190,-0.489202,,,off,range,last_cmd_dt,0.894190,-0.489202,0.894190,-0.489202,nan,nan,0,0,off,off,0,963,0,0,inf,0.790566
3,5,2026-08-21T03:33:16.379,1787254396.379348040,NAVIGATING,odom,base_link,0.000183,0.000138,0.000554,4.000248,0.000741,odom,4.000248,0.000741,4.000064,-0.001613,4.000065,-0.000403,548,90,0,1.079171,0.990075,-0.374508,0.894045,-0.488435,,,off,range,last_cmd_dt,0.894045,-0.488435,0.894045,-0.488435,nan,nan,0,0,off,off,0,976,0,0,inf,0.790540
3,6,2026-08-21T03:33:16.899,1787254396.899150133,NAVIGATING,odom,base_link,0.000004,0.000155,0.000458,4.000248,0.000741,odom,4.000248,0.000741,4.000244,-0.001247,4.000244,-0.000312,548,88,2,1.082629,0.990475,-0.368490,0.894285,-0.485074,,,off,range,last_cmd_dt,0.894285,-0.485074,0.894285,-0.485074,nan,nan,0,0,off,off,0,977,0,0,inf,0.790609
3,7,2026-08-21T03:33:17.419,1787254397.419912577,NAVIGATING,odom,base_link,0.000108,0.000189,0.000335,4.000248,0.000741,odom,4.000248,0.000741,4.000140,-0.000787,4.000140,-0.000197,548,90,0,1.086841,0.990660,-0.401172,0.894395,-0.503327,,,off,range,last_cmd_dt,0.894395,-0.503327,0.894395,-0.503327,nan,nan,0,0,off,off,0,969,0,0,inf,0.790651
3,8,2026-08-21T03:33:17.939,1787254397.939922094,NAVIGATING,odom,base_link,0.000157,0.000198,0.000495,4.000248,0.000741,odom,4.000248,0.000741,4.000090,-0.001436,4.000091,-0.000359,548,90,0,1.085854,0.990463,-0.376725,0.894278,-0.489673,,,off,range,last_cmd_dt,0.894278,-0.489673,0.894278,-0.489673,nan,nan,0,0,off,off,0,963,0,0,inf,0.790602
3,9,2026-08-21T03:33:18.459,1787254398.459110260,NAVIGATING,odom,base_link,0.000092,0.000165,0.000569,4.000248,0.000741,odom,4.000248,0.000741,4.000155,-0.001698,4.000156,-0.000425,548,89,1,1.075630,0.990250,-0.424156,0.894150,-0.516163,,,off,range,last_cmd_dt,0.894150,-0.516163,0.894150,-0.516163,nan,nan,0,0,off,off,0,969,0,0,inf,0.790715
