schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active
2,0,2026-08-21T01:58:51.855,1787248731.855280638,NAVIGATING,odom,base_link,0.011178,-0.000354,0.007160,4.011070,0.028352,odom,4.011070,0.028352,3.999995,0.000064,3.999995,0.000016,548,90,0,0.881451,0.982394,-0.947828,0.113540,-0.113540,,,off,range,last_cmd_dt,0.889436,-0.808623,0.113540,-0.113540,nan,nan,0,0,off,off,0
2,1,2026-08-21T01:58:52.373,1787248732.373502254,NAVIGATING,odom,base_link,0.116392,-0.036736,-0.204313,4.011070,0.028352,odom,4.011070,0.028352,3.800466,0.853943,3.895222,0.221023,548,90,0,0.777469,0.935498,-0.956132,0.861297,-0.813260,,,off,range,last_cmd_dt,0.861297,-0.813260,0.861297,-0.813260,nan,nan,0,0,off,off,0
2,2,2026-08-21T01:58:52.892,1787248732.892363787,NAVIGATING,odom,base_link,0.409370,-0.128958,-0.550618,4.011070,0.028352,odom,4.011070,0.028352,2.987067,2.018520,3.605134,0.594267,548,90,0,2.000000,0.999480,0.864203,0.899688,-0.700599,,,off,range,last_cmd_dt,0.899688,0.761920,0.899688,-0.700599,nan,nan,0,0,off,off,0
2,3,2026-08-21T01:58:53.412,1787248733.412681341,NAVIGATING,odom,base_link,0.696099,-0.333062,-0.729902,4.011070,0.028352,odom,4.011070,0.028352,2.229459,2.479752,3.334615,0.838498,548,90,0,2.000000,0.999005,0.620633,0.899403,0.547700,,,off,range,last_cmd_dt,0.899403,0.625891,0.899403,0.547700,nan,nan,0,0,off,off,0
2,4,2026-08-21T01:58:53.932,1787248733.932565689,NAVIGATING,odom,base_link,0.947635,-0.550274,-0.528004,4.011070,0.028352,odom,4.011070,0.028352,2.354722,2.043216,3.117603,0.714686,548,90,0,0.497840,-0.998516,0.264508,0.235853,0.427002,,,off,range,last_cmd_dt,-0.899109,0.427002,0.235853,0.427002,nan,nan,0,0,off,off,0
2,5,2026-08-21T01:58:54.453,1787248734.453861713,NAVIGATING,odom,base_link,1.044078,-0.548760,-0.251649,4.011070,0.028352,odom,4.011070,0.028352,2.729840,1.297720,3.022599,0.443761,548,90,0,0.267098,-0.979810,0.973972,-0.844507,0.823224,,,off,range,last_cmd_dt,-0.887886,0.823224,-0.844507,0.823224,nan,nan,0,0,off,off,0
2,6,2026-08-21T01:58:54.972,1787248734.972513437,NAVIGATING,odom,base_link,0.857315,-0.489283,0.084118,4.011070,0.028352,odom,4.011070,0.028352,3.186095,0.250829,3.195954,0.078564,548,90,0,0.397434,-0.434938,0.729864,0.073171,0.686894,,,off,range,last_cmd_dt,-0.560946,0.686894,0.073171,0.686894,nan,nan,0,0,off,off,0
2,7,2026-08-21T01:58:55.492,1787248735.492766142,NAVIGATING,odom,base_link,0.912859,-0.469528,0.205773,4.011070,0.028352,odom,4.011070,0.028352,3.134578,-0.145664,3.137961,-0.046437,548,90,0,0.524384,0.777076,0.701889,0.766239,0.086946,,,off,range,last_cmd_dt,0.766239,0.671271,0.766239,0.086946,nan,nan,0,0,off,off,0
2,8,2026-08-21T01:58:56.012,1787248736.012952328,NAVIGATING,odom,base_link,1.191203,-0.394770,0.258299,4.011070,0.028352,odom,4.011070,0.028352,2.834402,-0.311213,2.851436,-0.109361,548,90,0,0.431319,0.993177,-0.446232,0.895906,0.206794,,,off,range,last_cmd_dt,0.895906,-0.528492,0.895906,0.206794,nan,nan,0,0,off,off,0
2,9,2026-08-21T01:58:56.533,1787248736.533231497,NAVIGATING,odom,base_link,1.524578,-0.233794,0.392854,4.011070,0.028352,odom,4.011070,0.028352,2.397428,-0.709721,2.500273,-0.287815,548,90,0,2.000000,0.998141,-0.989621,0.898885,0.331790,,,off,range,last_cmd_dt,0.898885,-0.831964,0.898885,0.331790,nan,nan,0,0,off,off,0
