schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active
2,0,2026-07-20T00:33:21.552,1784478801.552359581,NAVIGATING,odom,base_link,0.007735,-0.001308,-0.000813,4.007732,-0.004526,odom,4.007732,-0.004526,3.999998,0.000036,3.999998,0.000009,548,90,0,0.571964,0.994606,-0.989232,0.016793,-0.016793,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.896763,-0.831747,0.016793,-0.016793,nan,nan,0,0,off,off,0
2,1,2026-07-20T00:33:22.098,1784478802.098870039,NAVIGATING,odom,base_link,0.109770,-0.021814,-0.184659,4.007732,-0.004526,odom,4.007732,-0.004526,3.828518,0.732705,3.898001,0.189094,548,90,0,2.000000,0.999550,-0.289304,0.899730,-0.440850,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.899730,-0.440850,0.899730,-0.440850,nan,nan,0,0,off,off,0
2,2,2026-07-20T00:33:22.599,1784478802.599479437,NAVIGATING,odom,base_link,0.408804,-0.092116,-0.314633,4.007732,-0.004526,odom,4.007732,-0.004526,3.395150,1.197042,3.599993,0.338966,548,90,0,2.000000,0.999394,-0.537409,0.899636,-0.011702,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.899636,-0.579412,0.899636,-0.011702,nan,nan,0,0,off,off,0
2,3,2026-07-20T00:33:23.148,1784478803.148802519,NAVIGATING,odom,base_link,0.727779,-0.210319,-0.207466,4.007732,-0.004526,odom,4.007732,-0.004526,3.167228,0.876988,3.286403,0.270127,548,90,0,0.261847,-0.996940,0.553035,-0.150315,0.588139,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,-0.898164,0.588139,-0.150315,0.588139,nan,nan,0,0,off,off,0
2,4,2026-07-20T00:33:23.649,1784478803.649165630,NAVIGATING,odom,base_link,0.673031,-0.227278,0.040293,4.007732,-0.004526,odom,4.007732,-0.004526,3.340968,0.088241,3.342133,0.026406,548,90,0,0.263249,-0.462337,0.829135,-0.719160,0.742335,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,-0.577386,0.742335,-0.719160,0.742335,nan,nan,0,0,off,off,0
2,5,2026-07-20T00:33:24.199,1784478804.199033737,NAVIGATING,odom,base_link,0.489788,-0.206128,0.383888,4.007732,-0.004526,odom,4.007732,-0.004526,3.337399,-1.130640,3.523716,-0.326643,548,90,0,0.484603,0.884057,0.645396,0.619186,0.639721,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.830431,0.639721,0.619186,0.639721,nan,nan,0,0,off,off,0
2,6,2026-07-20T00:33:24.749,1784478804.749805212,NAVIGATING,odom,base_link,0.666284,-0.140657,0.642157,4.007732,-0.004526,odom,4.007732,-0.004526,2.757383,-1.892260,3.344220,-0.601440,548,90,0,0.267670,0.418420,0.454802,0.743679,0.533278,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.551035,0.533278,0.743679,0.533278,nan,nan,0,0,off,off,0
2,7,2026-07-20T00:33:25.298,1784478805.298652172,NAVIGATING,odom,base_link,0.867292,0.134201,0.797978,4.007732,-0.004526,odom,4.007732,-0.004526,2.093194,-2.345239,3.143502,-0.842124,548,90,0,0.407768,0.993423,-0.706807,0.896054,-0.519192,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.896054,-0.674017,0.896054,-0.519192,nan,nan,0,0,off,off,0
2,8,2026-07-20T00:33:25.798,1784478805.798919439,NAVIGATING,odom,base_link,1.063657,0.395148,0.575296,4.007732,-0.004526,odom,4.007732,-0.004526,2.252715,-1.937160,2.971080,-0.710226,548,90,0,0.392805,0.910489,0.961138,0.846291,-0.510294,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.846291,0.816056,0.846291,-0.510294,nan,nan,0,0,off,off,0
2,9,2026-07-20T00:33:26.299,1784478806.299203873,NAVIGATING,odom,base_link,1.345643,0.525866,0.339435,4.007732,-0.004526,odom,4.007732,-0.004526,2.333602,-1.386483,2.714412,-0.536099,548,90,0,0.260684,-0.339136,0.965426,0.745903,-0.510403,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,-0.503462,0.818451,0.745903,-0.510403,nan,nan,0,0,off,off,0
2,10,2026-07-20T00:33:26.851,1784478806.851321220,NAVIGATING,odom,base_link,1.689321,0.623919,0.068982,4.007732,-0.004526,odom,4.007732,-0.004526,2.269580,-0.786753,2.402077,-0.333688,548,90,0,2.000000,0.998951,-0.952524,0.899370,-0.667798,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.899370,-0.811246,0.899370,-0.667798,nan,nan,0,0,off,off,0
2,11,2026-07-20T00:33:27.398,1784478807.398972034,NAVIGATING,odom,base_link,2.047139,0.604875,-0.178339,4.007732,-0.004526,odom,4.007732,-0.004526,2.037602,-0.251935,2.053118,-0.123019,548,90,0,0.262038,0.999972,0.891177,0.899983,-0.509582,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.899983,0.776985,0.899983,-0.509582,nan,nan,0,0,off,off,0
2,12,2026-07-20T00:33:27.949,1784478807.949861526,NAVIGATING,odom,base_link,2.417845,0.472478,-0.378914,4.007732,-0.004526,odom,4.007732,-0.004526,1.653561,0.144950,1.659902,0.087436,548,90,0,2.000000,0.998491,-0.494283,0.899095,-0.353720,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.899095,-0.555327,0.899095,-0.353720,nan,nan,0,0,off,off,0
2,13,2026-07-20T00:33:28.498,1784478808.498949766,NAVIGATING,odom,base_link,2.772512,0.292436,-0.461051,4.007732,-0.004526,odom,4.007732,-0.004526,1.238360,0.283583,1.270415,0.225117,548,90,0,1.586705,0.998516,0.285489,0.899110,-0.205345,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.899110,0.438720,0.899110,-0.205345,nan,nan,0,0,off,off,0
2,14,2026-07-20T00:33:28.999,1784478808.999534607,NAVIGATING,odom,base_link,3.090883,0.107360,-0.457875,4.007732,-0.004526,odom,4.007732,-0.004526,0.871866,0.304927,0.923651,0.336443,548,90,0,2.000000,0.997648,0.375549,0.898589,-0.129498,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.898589,0.489017,0.898589,-0.129498,nan,nan,0,0,off,off,0
2,15,2026-07-20T00:33:29.500,1784478809.500205517,NAVIGATING,odom,base_link,3.413418,-0.063244,-0.388152,4.007732,-0.004526,odom,4.007732,-0.004526,0.527879,0.279285,0.597207,0.486633,548,90,0,2.000000,0.996934,0.361986,0.898160,0.450667,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,0.898160,0.481442,0.898160,0.450667,nan,nan,0,0,off,off,0
2,16,2026-07-20T00:33:30.043,1784478810.043538570,REACHED,odom,base_link,3.752986,-0.173449,-0.219782,4.007732,-0.004526,odom,4.007732,-0.004526,0.211790,0.220399,0.305665,0.805315,548,-1,-1,nan,0.000000,0.000000,0.000000,0.000000,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,nan,nan,nan,nan,nan,nan,0,0,not_evaluated,not_evaluated,0
2,17,2026-07-20T00:33:30.543,1784478810.543579340,REACHED,odom,base_link,3.812635,-0.083569,-0.245734,4.007732,-0.004526,odom,4.007732,-0.004526,0.170008,0.124130,0.210502,0.630673,548,-1,-1,nan,0.000000,0.000000,0.000000,0.000000,20260720_003235_382093494_S2L_r1_c1_final_off_live,c1_final_off,off,range,last_cmd_dt,nan,nan,nan,nan,nan,nan,0,0,not_evaluated,not_evaluated,0
