schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,accel_limiter_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason,front_straightening_active
2,0,2026-07-20T01:16:00.175,1784481360.175315380,NAVIGATING,odom,base_link,0.010000,-0.006725,-0.019191,4.009223,-0.083476,odom,4.009223,-0.083476,3.999959,0.000009,3.999959,0.000002,548,90,0,0.601131,0.996074,-0.989364,0.124440,-0.124440,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.047252,-1.091763,0.124440,-0.124440,0.144381,-0.170522,0,0,below_min,below_min,0
2,1,2026-07-20T01:16:00.722,1784481360.722427130,NAVIGATING,odom,base_link,0.142977,-0.039236,-0.301888,4.009223,-0.083476,odom,4.009223,-0.083476,3.704556,1.107286,3.866499,0.290446,548,90,0,2.000000,0.999566,0.242554,1.049696,-1.061347,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.049696,0.544321,1.049696,-0.916310,1.456261,-1.061347,0,1,above_max,accepted,0
2,2,2026-07-20T01:16:01.272,1784481361.272331953,NAVIGATING,odom,base_link,0.479357,-0.232602,-0.802940,4.009223,-0.083476,odom,4.009223,-0.083476,2.344545,2.642972,3.533015,0.845162,548,90,0,0.331929,-0.999650,-0.307870,1.008757,-0.932533,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,-1.049755,-0.592201,0.806676,-0.792224,1.008757,-0.932533,1,1,accepted,accepted,0
2,3,2026-07-20T01:16:01.822,1784481361.822044134,NAVIGATING,odom,base_link,0.609890,-0.498535,-1.151360,4.009223,-0.083476,odom,4.009223,-0.083476,1.005282,3.273705,3.424578,1.272859,548,90,0,0.274590,-0.988863,0.021684,0.475475,-0.931695,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,-1.042204,0.382415,0.440885,-0.784168,0.475475,-0.931695,1,1,accepted,accepted,0
2,4,2026-07-20T01:16:02.322,1784481362.322217226,NAVIGATING,odom,base_link,0.591619,-0.560417,-1.470816,4.009223,-0.083476,odom,4.009223,-0.083476,-0.133434,3.448143,3.450723,1.609474,548,90,0,0.265223,0.980365,0.765510,0.044581,-0.706772,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.036256,0.927670,0.044581,-0.587395,0.036794,-0.706772,0,1,below_min,accepted,0
2,5,2026-07-20T01:16:02.873,1784481362.873853922,NAVIGATING,odom,base_link,0.494132,-0.616986,-1.693355,4.009223,-0.083476,odom,4.009223,-0.083476,-0.959234,3.423502,3.555347,1.843982,548,90,0,0.308876,0.999733,0.994822,1.049813,0.521478,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.049813,1.095764,1.049813,0.467175,1.404457,0.521478,0,1,above_max,accepted,0
2,6,2026-07-20T01:16:03.423,1784481363.423418522,NAVIGATING,odom,base_link,0.573210,-0.989565,-1.280311,4.009223,-0.083476,odom,4.009223,-0.083476,0.116006,3.551581,3.553475,1.538145,548,90,0,0.297623,0.999927,0.991305,1.049949,1.093186,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.049949,1.093186,1.049949,1.093186,1.576061,1.198012,0,0,above_max,above_max,0
2,7,2026-07-20T01:16:03.972,1784481363.972886086,NAVIGATING,odom,base_link,0.804751,-1.340256,-0.728247,4.009223,-0.083476,odom,4.009223,-0.083476,1.555169,3.070763,3.442113,1.102007,548,90,0,0.595831,0.999840,0.914689,1.049888,1.037024,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.049888,1.037024,1.049888,1.037024,1.558949,1.141029,0,0,above_max,above_max,0
2,8,2026-07-20T01:16:04.522,1784481364.522329092,NAVIGATING,odom,base_link,1.166631,-1.543524,-0.261531,4.009223,-0.083476,odom,4.009223,-0.083476,2.368422,2.145379,3.195633,0.736025,548,90,0,0.869236,0.999284,0.158750,1.049499,0.672550,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.049499,0.482890,1.049499,0.599917,1.436878,0.672550,0,1,above_max,accepted,0
2,9,2026-07-20T01:16:05.023,1784481365.023967266,NAVIGATING,odom,base_link,1.570500,-1.577386,0.044024,4.009223,-0.083476,odom,4.009223,-0.083476,2.502107,1.385134,2.859919,0.505593,548,90,0,1.070430,0.999188,-0.052307,1.049432,0.020346,20260720_011513_158244530_S2L_r1_h4_on_guard_v6_live,h4_on_guard_v6,guarded,range,last_cmd_dt,1.049432,-0.404863,1.049432,0.020346,1.305726,-0.016886,0,0,above_max,sign_flip,0
