# id timestamp x y z qx qy qz qw
0 1787326170.624422 0.020976 0.001029 0.002660 -0.014963 0.111497 0.000264 0.993652
1 1787326170.824444 0.070489 0.017749 -0.000779 -0.021987 0.115526 0.032916 0.992515
2 1787326170.924388 0.083459 0.031988 0.000188 -0.026203 0.113743 0.076403 0.990221
3 1787326171.824388 0.293287 0.500236 0.008489 -0.095673 0.059814 0.522598 0.845080
4 1787326173.224269 1.586615 1.626992 0.026988 -0.076231 0.079129 0.386295 0.915808
5 1787326173.724342 1.955893 2.042518 0.020939 -0.027725 0.096691 0.039298 0.994152
6 1787326173.824438 2.039189 2.066798 0.009813 -0.016712 0.098952 -0.000845 0.994951
7 1787326173.924417 2.143245 2.071330 0.010302 0.004529 0.111019 0.015861 0.993681
8 1787326174.024354 2.241689 2.061376 0.025599 0.004191 0.086943 0.009136 0.996163
9 1787326174.124552 2.341417 2.051317 0.011115 0.001831 0.126958 0.001454 0.991905
10 1787326174.224368 2.454249 2.040367 0.026433 -0.017102 0.106140 -0.002111 0.994202
11 1787326174.324544 2.590063 2.028047 0.023542 -0.004766 0.114736 0.008329 0.993350
12 1787326174.524363 2.851392 2.007708 0.021511 -0.010037 0.123408 0.005038 0.992292
13 1787326174.724502 3.133981 2.003366 0.020634 -0.009551 0.120136 0.014063 0.992612
14 1787326174.924406 3.440762 2.016001 0.020788 -0.018455 0.126019 0.010427 0.991801
15 1787326175.024318 3.574950 2.024586 0.030605 -0.022453 0.110164 0.020261 0.993453
16 1787326175.124464 3.685910 2.042684 0.026501 -0.035221 0.112611 0.052072 0.991649
17 1787326175.224407 3.788415 2.069650 0.032699 -0.039550 0.101068 0.076901 0.991114
18 1787326175.324591 3.892990 2.092037 0.018311 -0.048784 0.114026 0.070944 0.989740
19 1787326175.424383 3.992052 2.115561 0.032903 -0.053992 0.100379 0.068356 0.991129
20 1787326175.524402 4.102958 2.131689 0.023269 -0.027156 0.094900 0.077940 0.992059
21 1787326175.624487 4.228713 2.145571 0.033131 -0.015662 0.114598 0.088724 0.989318
22 1787326175.724216 4.361370 2.162968 0.033414 -0.023283 0.108523 0.087749 0.989940
23 1787326175.824233 4.487911 2.179812 0.039601 -0.032207 0.115976 0.077437 0.989705
24 1787326175.924437 4.623667 2.200479 0.039740 -0.032139 0.097257 0.083384 0.991239
25 1787326176.024287 4.774618 2.225915 0.039728 -0.010240 0.110992 0.093284 0.989381
26 1787326176.124291 4.925622 2.254314 0.036205 -0.026227 0.103179 0.091072 0.990137
27 1787326176.224353 5.084044 2.286020 0.024487 -0.038831 0.124084 0.084012 0.987946
28 1787326176.424449 5.381907 2.348096 0.028127 -0.023885 0.109389 0.092931 0.989357
29 1787326176.624369 5.653670 2.418060 0.047782 -0.032191 0.111467 0.088471 0.989299
30 1787326176.724400 5.808177 2.445471 0.041808 -0.027779 0.113909 0.096018 0.988450
31 1787326176.824364 5.966986 2.469153 0.054522 -0.030602 0.106923 0.097898 0.988963
32 1787326177.024281 6.278283 2.516724 0.046663 -0.041491 0.101988 0.096043 0.989269
33 1787326177.124477 6.432902 2.530605 0.039997 -0.043757 0.113020 0.084003 0.989068
34 1787326177.224304 6.576634 2.547466 0.042744 -0.038564 0.116427 0.064025 0.990383
35 1787326177.324642 6.691787 2.579606 0.046185 -0.022392 0.109765 0.068830 0.991319
36 1787326177.424284 6.792132 2.603322 0.055615 -0.038019 0.098462 0.067967 0.992089
37 1787326177.524485 6.906082 2.619080 0.055193 -0.023924 0.088802 0.074442 0.992975
38 1787326177.624407 7.031937 2.631074 0.054185 -0.019627 0.115282 0.078423 0.990038
