planned_unit_id,block_id,position,method_id,route_order
NAV_BLOCK_01_B0_raw,NAV_BLOCK_01,1,B0_raw,AB
NAV_BLOCK_01_B1_dense,NAV_BLOCK_01,2,B1_dense,BA
NAV_BLOCK_01_B2_lhs,NAV_BLOCK_01,3,B2_lhs,AB
NAV_BLOCK_01_B3_sobol,NAV_BLOCK_01,4,B3_sobol,BA
NAV_BLOCK_01_B4_d_opt,NAV_BLOCK_01,5,B4_d_opt,AB
NAV_BLOCK_01_B5_active_no_task,NAV_BLOCK_01,6,B5_active_no_task,BA
NAV_BLOCK_01_B6_random,NAV_BLOCK_01,7,B6_random,AB
NAV_BLOCK_01_B8_full,NAV_BLOCK_01,8,B8_full,BA
NAV_BLOCK_02_B1_dense,NAV_BLOCK_02,1,B1_dense,AB
NAV_BLOCK_02_B2_lhs,NAV_BLOCK_02,2,B2_lhs,BA
NAV_BLOCK_02_B3_sobol,NAV_BLOCK_02,3,B3_sobol,AB
NAV_BLOCK_02_B4_d_opt,NAV_BLOCK_02,4,B4_d_opt,BA
NAV_BLOCK_02_B5_active_no_task,NAV_BLOCK_02,5,B5_active_no_task,AB
NAV_BLOCK_02_B6_random,NAV_BLOCK_02,6,B6_random,BA
NAV_BLOCK_02_B8_full,NAV_BLOCK_02,7,B8_full,AB
NAV_BLOCK_02_B0_raw,NAV_BLOCK_02,8,B0_raw,BA
NAV_BLOCK_03_B2_lhs,NAV_BLOCK_03,1,B2_lhs,AB
NAV_BLOCK_03_B3_sobol,NAV_BLOCK_03,2,B3_sobol,BA
NAV_BLOCK_03_B4_d_opt,NAV_BLOCK_03,3,B4_d_opt,AB
NAV_BLOCK_03_B5_active_no_task,NAV_BLOCK_03,4,B5_active_no_task,BA
NAV_BLOCK_03_B6_random,NAV_BLOCK_03,5,B6_random,AB
NAV_BLOCK_03_B8_full,NAV_BLOCK_03,6,B8_full,BA
NAV_BLOCK_03_B0_raw,NAV_BLOCK_03,7,B0_raw,AB
NAV_BLOCK_03_B1_dense,NAV_BLOCK_03,8,B1_dense,BA
NAV_BLOCK_04_B3_sobol,NAV_BLOCK_04,1,B3_sobol,AB
NAV_BLOCK_04_B4_d_opt,NAV_BLOCK_04,2,B4_d_opt,BA
NAV_BLOCK_04_B5_active_no_task,NAV_BLOCK_04,3,B5_active_no_task,AB
NAV_BLOCK_04_B6_random,NAV_BLOCK_04,4,B6_random,BA
NAV_BLOCK_04_B8_full,NAV_BLOCK_04,5,B8_full,AB
NAV_BLOCK_04_B0_raw,NAV_BLOCK_04,6,B0_raw,BA
NAV_BLOCK_04_B1_dense,NAV_BLOCK_04,7,B1_dense,AB
NAV_BLOCK_04_B2_lhs,NAV_BLOCK_04,8,B2_lhs,BA
NAV_BLOCK_05_B4_d_opt,NAV_BLOCK_05,1,B4_d_opt,AB
NAV_BLOCK_05_B5_active_no_task,NAV_BLOCK_05,2,B5_active_no_task,BA
NAV_BLOCK_05_B6_random,NAV_BLOCK_05,3,B6_random,AB
NAV_BLOCK_05_B8_full,NAV_BLOCK_05,4,B8_full,BA
NAV_BLOCK_05_B0_raw,NAV_BLOCK_05,5,B0_raw,AB
