run_id,planned_unit_id,attempt_id,block_id,method_id,map_id,shift_id,stage,trial_index,command_id,planned_command,sent_command,measured_velocity,covariance,valid,reason,update_enabled,update_applied,posterior_before,posterior_after,posterior_path,measure_start,measure_end,sample_count,reference_max_age_ms,scan_max_age_ms,detector_statistic,detector_alarm,recovery_index,validation_rmse,bag_path,status,terminal_reason,created_at
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_01,NAV_BLOCK_01_B3_sobol_CALIBRATION_01_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,1,SOBOL_001,"[0.304688, 0.220988, -0.41344]","[0.304688, 0.220988, -0.41344]","[0.24037653100908182, 0.04221806131501216, -0.31967548299897103]","[[1.8786022624563345e-05, 4.047907515377269e-06, 0.0], [4.0479075153772686e-06, 1.1850790573678618e-05, 0.0], [0.0, 0.0, 2.1607956371028922e-05]]",True,,True,True,0,1,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_01_v0001.npz,1787322053.2616775,1787322055.2617168,40,90.71564674377441,57.77931213378906,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:20:55Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_02,NAV_BLOCK_01_B3_sobol_CALIBRATION_02_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,2,SOBOL_002,"[-0.445312, -0.112346, -0.09344]","[-0.445312, -0.112346, -0.09344]","[-0.38475156552994805, -0.06224759345656228, -0.038189546451710576]","[[1.2384799019129701e-06, -8.78940709309249e-08, 0.0], [-8.78940709309249e-08, 1.170193163292747e-06, 0.0], [0.0, 0.0, 7.170187770785571e-07]]",True,,True,True,1,2,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_02_v0002.npz,1787322057.2741475,1787322059.2741983,40,88.42921257019043,55.333852767944336,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:20:59Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_03,NAV_BLOCK_01_B3_sobol_CALIBRATION_03_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,3,SOBOL_003,"[0.154687, 0.087654, 0.22656]","[0.154687, 0.087654, 0.22656]","[0.046193433332499326, 0.06309577353113244, 0.1829829075417034]","[[9.637511844128909e-06, 2.9532980517577747e-06, 0.0], [2.9532980517577756e-06, 7.33631604337285e-06, 0.0], [0.0, 0.0, 8.931859062676531e-06]]",True,,True,True,2,3,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_03_v0003.npz,1787322061.2847886,1787322063.2848158,41,82.75079727172852,62.85738945007324,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:03Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_04,NAV_BLOCK_01_B3_sobol_CALIBRATION_04_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,4,SOBOL_004,"[-0.145313, 0.287654, 0.54656]","[-0.145313, 0.287654, 0.54656]","[-0.11413441952300164, 0.2624604831116132, 0.5025498868127296]","[[1.9448864285423765e-05, 3.5801157196968296e-06, 0.0], [3.580115719696829e-06, 2.140416450531149e-05, 0.0], [0.0, 0.0, 2.2315450964431908e-06]]",True,,True,True,3,4,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_04_v0004.npz,1787322065.299679,1787322067.2997088,40,89.11585807800293,64.37015533447266,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:07Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_05,NAV_BLOCK_01_B3_sobol_CALIBRATION_05_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,5,SOBOL_005,"[0.454688, -0.282716, -0.66944]","[0.454688, -0.282716, -0.66944]","[0.4119826776133702, -0.32292623079781946, -0.5938155253023173]","[[4.000866436268983e-05, 2.6143247887565713e-05, 0.0], [2.6143247887565713e-05, 0.0001489407304369765, 0.0], [0.0, 0.0, 1.7753446053347016e-06]]",True,,True,True,4,5,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_05_v0005.npz,1787322069.3100083,1787322071.310042,40,88.08422088623047,54.22019958496094,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:11Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_06,NAV_BLOCK_01_B3_sobol_CALIBRATION_06_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,6,SOBOL_006,"[-0.520312, -0.082716, -0.34944]","[-0.520312, -0.082716, -0.34944]","[-0.45043868213673105, -0.07691275614839563, -0.27535523645948323]","[[1.0323648214287066e-05, 5.190573266548876e-06, 0.0], [5.190573266548876e-06, 1.9277158838428672e-05, 0.0], [0.0, 0.0, 6.836703338853042e-07]]",True,,True,True,5,6,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_06_v0006.npz,1787322073.3210514,1787322075.3210735,40,85.1142406463623,56.35952949523926,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:15Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_07,NAV_BLOCK_01_B3_sobol_CALIBRATION_07_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,7,SOBOL_007,"[0.079688, 0.117284, -0.02944]","[0.079688, 0.117284, -0.02944]","[0.02743475100167509, 0.009065233612132448, -0.01010688530358391]","[[1.4210283132506071e-06, 2.236195733997996e-08, 0.0], [2.236195733997996e-08, 8.267025621170396e-07, 0.0], [0.0, 0.0, 1.546507411127166e-06]]",True,,True,True,6,7,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_07_v0007.npz,1787322077.3326285,1787322079.332655,41,84.81335639953613,60.04166603088379,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:19Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_08,NAV_BLOCK_01_B3_sobol_CALIBRATION_08_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,8,SOBOL_008,"[-0.220312, -0.216049, 0.29056]","[-0.220312, -0.216049, 0.29056]","[-0.16657129968288656, -0.0883457321940524, 0.2954628941305677]","[[3.890145439774914e-06, -8.135786037263387e-07, 0.0], [-8.135786037263386e-07, 3.0579751605508428e-06, 0.0], [0.0, 0.0, 1.934657493872678e-06]]",True,,True,True,7,8,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_08_v0008.npz,1787322081.343391,1787322083.3434186,40,90.83771705627441,56.798458099365234,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:23Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_09,NAV_BLOCK_01_B3_sobol_CALIBRATION_09_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,9,SOBOL_009,"[0.379687, -0.016049, 0.61056]","[0.379687, -0.016049, 0.61056]","[0.3074523898338195, 0.0955248633188843, 0.5813028091452643]","[[3.46096093564231e-05, -6.038689028474572e-06, 0.0], [-6.03868902847457e-06, 2.8100365355825294e-05, 0.0], [0.0, 0.0, 5.438850777036724e-06]]",True,,True,True,8,9,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_09_v0009.npz,1787322085.3533177,1787322087.3533454,40,83.91261100769043,55.953264236450195,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:27Z
p8_nav_official_20260821_r21,NAV_BLOCK_01_B3_sobol_CALIBRATION_10,NAV_BLOCK_01_B3_sobol_CALIBRATION_10_attempt_01,NAV_BLOCK_01,B3_sobol,,,calibration,10,SOBOL_010,"[-0.370312, 0.183951, -0.60544]","[-0.370312, 0.183951, -0.60544]","[-0.2893581846294883, 0.08537021223508541, -0.5302064996239296]","[[3.9514504523895645e-06, 9.908555697358802e-06, 0.0], [9.908555697358804e-06, 3.385261445233798e-05, 0.0], [0.0, 0.0, 2.0787820695309554e-06]]",True,,True,True,9,10,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/posterior/NAV_BLOCK_01_B3_sobol_CALIBRATION_10_v0010.npz,1787322089.363541,1787322091.363567,40,87.2502326965332,56.86068534851074,,,,,/home/unitree/lly/p8_real/p8_nav_official_20260821_r21/bags/NAV_BLOCK_01_B3_sobol_part_01,SUCCESS,completed,2026-08-21T14:21:31Z
