command_id,cmd_vx,cmd_vy,cmd_wz,weight
TASK_001,0.000000,0.000000,-0.800000,0.001021857
TASK_002,0.000000,0.000000,-0.600000,0.001982470
TASK_003,0.000000,0.000000,-0.400000,0.003182658
TASK_004,0.000000,0.000000,-0.200000,0.004228047
TASK_005,0.000000,0.000000,0.000000,0.004647897
TASK_006,0.000000,0.000000,0.200000,0.004228047
TASK_007,0.000000,0.000000,0.400000,0.003182658
TASK_008,0.000000,0.000000,0.600000,0.001982470
TASK_009,0.000000,0.000000,0.800000,0.001021857
TASK_010,0.075000,0.000000,-0.800000,0.002163272
TASK_011,0.075000,0.000000,-0.600000,0.004196890
TASK_012,0.075000,0.000000,-0.400000,0.006737686
TASK_013,0.075000,0.000000,-0.200000,0.008950776
TASK_014,0.075000,0.000000,0.000000,0.009839597
TASK_015,0.075000,0.000000,0.200000,0.008950776
TASK_016,0.075000,0.000000,0.400000,0.006737686
TASK_017,0.075000,0.000000,0.600000,0.004196890
TASK_018,0.075000,0.000000,0.800000,0.002163272
TASK_019,0.150000,0.000000,-0.800000,0.003825243
TASK_020,0.150000,0.000000,-0.600000,0.007421222
TASK_021,0.150000,0.000000,-0.400000,0.011914028
TASK_022,0.150000,0.000000,-0.200000,0.015827362
TASK_023,0.150000,0.000000,0.000000,0.017399035
TASK_024,0.150000,0.000000,0.200000,0.015827362
TASK_025,0.150000,0.000000,0.400000,0.011914028
TASK_026,0.150000,0.000000,0.600000,0.007421222
TASK_027,0.150000,0.000000,0.800000,0.003825243
TASK_028,0.225000,0.000000,-0.800000,0.005649810
TASK_029,0.225000,0.000000,-0.600000,0.010961003
TASK_030,0.225000,0.000000,-0.400000,0.017596791
TASK_031,0.225000,0.000000,-0.200000,0.023376710
TASK_032,0.225000,0.000000,0.000000,0.025698041
TASK_033,0.225000,0.000000,0.200000,0.023376710
TASK_034,0.225000,0.000000,0.400000,0.017596791
TASK_035,0.225000,0.000000,0.600000,0.010961003
TASK_036,0.225000,0.000000,0.800000,0.005649810
TASK_037,0.300000,0.000000,-0.800000,0.006970046
TASK_038,0.300000,0.000000,-0.600000,0.013522349
TASK_039,0.300000,0.000000,-0.400000,0.021708775
TASK_040,0.300000,0.000000,-0.200000,0.028839334
TASK_041,0.300000,0.000000,0.000000,0.031703110
TASK_042,0.300000,0.000000,0.200000,0.028839334
TASK_043,0.300000,0.000000,0.400000,0.021708775
TASK_044,0.300000,0.000000,0.600000,0.013522349
TASK_045,0.300000,0.000000,0.800000,0.006970046
TASK_046,0.375000,0.000000,-0.800000,0.007182316
TASK_047,0.375000,0.000000,-0.600000,0.013934165
TASK_048,0.375000,0.000000,-0.400000,0.022369905
TASK_049,0.375000,0.000000,-0.200000,0.029717622
TASK_050,0.375000,0.000000,0.000000,0.032668613
TASK_051,0.375000,0.000000,0.200000,0.029717622
TASK_052,0.375000,0.000000,0.400000,0.022369905
TASK_053,0.375000,0.000000,0.600000,0.013934165
TASK_054,0.375000,0.000000,0.800000,0.007182316
TASK_055,0.450000,0.000000,-0.800000,0.006181877
TASK_056,0.450000,0.000000,-0.600000,0.011993247
TASK_057,0.450000,0.000000,-0.400000,0.019253956
TASK_058,0.450000,0.000000,-0.200000,0.025578195
TASK_059,0.450000,0.000000,0.000000,0.028118136
TASK_060,0.450000,0.000000,0.200000,0.025578195
TASK_061,0.450000,0.000000,0.400000,0.019253956
TASK_062,0.450000,0.000000,0.600000,0.011993247
TASK_063,0.450000,0.000000,0.800000,0.006181877
TASK_064,0.525000,0.000000,-0.800000,0.004444298
TASK_065,0.525000,0.000000,-0.600000,0.008622230
TASK_066,0.525000,0.000000,-0.400000,0.013842126
TASK_067,0.525000,0.000000,-0.200000,0.018388771
TASK_068,0.525000,0.000000,0.000000,0.020214795
TASK_069,0.525000,0.000000,0.200000,0.018388771
TASK_070,0.525000,0.000000,0.400000,0.013842126
TASK_071,0.525000,0.000000,0.600000,0.008622230
TASK_072,0.525000,0.000000,0.800000,0.004444298
TASK_073,0.600000,0.000000,-0.800000,0.002668781
TASK_074,0.600000,0.000000,-0.600000,0.005177611
TASK_075,0.600000,0.000000,-0.400000,0.008312135
TASK_076,0.600000,0.000000,-0.200000,0.011042376
TASK_077,0.600000,0.000000,0.000000,0.012138895
TASK_078,0.600000,0.000000,0.200000,0.011042376
TASK_079,0.600000,0.000000,0.400000,0.008312135
TASK_080,0.600000,0.000000,0.600000,0.005177611
TASK_081,0.600000,0.000000,0.800000,0.002668781
