planned_unit_id,shift_id,block_id,position,method_id
R1_command_gain_coupling_SHIFT_BLOCK_01_frozen,R1_command_gain_coupling,SHIFT_BLOCK_01,1,frozen
R1_command_gain_coupling_SHIFT_BLOCK_01_passive,R1_command_gain_coupling,SHIFT_BLOCK_01,2,passive
R1_command_gain_coupling_SHIFT_BLOCK_01_full,R1_command_gain_coupling,SHIFT_BLOCK_01,3,full
R1_command_gain_coupling_SHIFT_BLOCK_02_passive,R1_command_gain_coupling,SHIFT_BLOCK_02,1,passive
R1_command_gain_coupling_SHIFT_BLOCK_02_full,R1_command_gain_coupling,SHIFT_BLOCK_02,2,full
R1_command_gain_coupling_SHIFT_BLOCK_02_frozen,R1_command_gain_coupling,SHIFT_BLOCK_02,3,frozen
R1_command_gain_coupling_SHIFT_BLOCK_03_full,R1_command_gain_coupling,SHIFT_BLOCK_03,1,full
R1_command_gain_coupling_SHIFT_BLOCK_03_frozen,R1_command_gain_coupling,SHIFT_BLOCK_03,2,frozen
R1_command_gain_coupling_SHIFT_BLOCK_03_passive,R1_command_gain_coupling,SHIFT_BLOCK_03,3,passive
R2_payload_com_SHIFT_BLOCK_01_frozen,R2_payload_com,SHIFT_BLOCK_01,1,frozen
R2_payload_com_SHIFT_BLOCK_01_passive,R2_payload_com,SHIFT_BLOCK_01,2,passive
R2_payload_com_SHIFT_BLOCK_01_full,R2_payload_com,SHIFT_BLOCK_01,3,full
R2_payload_com_SHIFT_BLOCK_02_passive,R2_payload_com,SHIFT_BLOCK_02,1,passive
R2_payload_com_SHIFT_BLOCK_02_full,R2_payload_com,SHIFT_BLOCK_02,2,full
R2_payload_com_SHIFT_BLOCK_02_frozen,R2_payload_com,SHIFT_BLOCK_02,3,frozen
R2_payload_com_SHIFT_BLOCK_03_full,R2_payload_com,SHIFT_BLOCK_03,1,full
R2_payload_com_SHIFT_BLOCK_03_frozen,R2_payload_com,SHIFT_BLOCK_03,2,frozen
R2_payload_com_SHIFT_BLOCK_03_passive,R2_payload_com,SHIFT_BLOCK_03,3,passive
R3_surface_friction_SHIFT_BLOCK_01_frozen,R3_surface_friction,SHIFT_BLOCK_01,1,frozen
R3_surface_friction_SHIFT_BLOCK_01_passive,R3_surface_friction,SHIFT_BLOCK_01,2,passive
R3_surface_friction_SHIFT_BLOCK_01_full,R3_surface_friction,SHIFT_BLOCK_01,3,full
R3_surface_friction_SHIFT_BLOCK_02_passive,R3_surface_friction,SHIFT_BLOCK_02,1,passive
R3_surface_friction_SHIFT_BLOCK_02_full,R3_surface_friction,SHIFT_BLOCK_02,2,full
R3_surface_friction_SHIFT_BLOCK_02_frozen,R3_surface_friction,SHIFT_BLOCK_02,3,frozen
R3_surface_friction_SHIFT_BLOCK_03_full,R3_surface_friction,SHIFT_BLOCK_03,1,full
R3_surface_friction_SHIFT_BLOCK_03_frozen,R3_surface_friction,SHIFT_BLOCK_03,2,frozen
R3_surface_friction_SHIFT_BLOCK_03_passive,R3_surface_friction,SHIFT_BLOCK_03,3,passive
R4_mixed_context_SHIFT_BLOCK_01_frozen,R4_mixed_context,SHIFT_BLOCK_01,1,frozen
R4_mixed_context_SHIFT_BLOCK_01_passive,R4_mixed_context,SHIFT_BLOCK_01,2,passive
R4_mixed_context_SHIFT_BLOCK_01_full,R4_mixed_context,SHIFT_BLOCK_01,3,full
R4_mixed_context_SHIFT_BLOCK_02_passive,R4_mixed_context,SHIFT_BLOCK_02,1,passive
R4_mixed_context_SHIFT_BLOCK_02_full,R4_mixed_context,SHIFT_BLOCK_02,2,full
R4_mixed_context_SHIFT_BLOCK_02_frozen,R4_mixed_context,SHIFT_BLOCK_02,3,frozen
R4_mixed_context_SHIFT_BLOCK_03_full,R4_mixed_context,SHIFT_BLOCK_03,1,full
R4_mixed_context_SHIFT_BLOCK_03_frozen,R4_mixed_context,SHIFT_BLOCK_03,2,frozen
R4_mixed_context_SHIFT_BLOCK_03_passive,R4_mixed_context,SHIFT_BLOCK_03,3,passive
