schema_version,seq,wall_time,ros_time,status,global_frame,base_frame,robot_x,robot_y,robot_yaw,goal_x,goal_y,goal_frame,goal_raw_x,goal_raw_y,goal_in_base_x,goal_in_base_y,target_dist,target_angle,obs_dim,coverage_count,empty_group_count,min_pooled_range,normalized_action_linear,normalized_action_angular,cmd_published_linear,cmd_published_angular,experiment_id,experiment_profile,compensation_mode,action_mapping_mode,cmd_target_linear,cmd_target_angular,cmd_desired_linear,cmd_desired_angular,cmd_compensated_raw_linear,cmd_compensated_raw_angular,compensation_linear_accepted,compensation_angular_accepted,compensation_linear_reason,compensation_angular_reason
3,0,2026-08-21T15:14:39.532,1787296479.532477856,NAVIGATING,map,base_link,3.096844,-2.461995,1.378619,2.694219,-0.794667,map,2.694219,-0.794667,1.559733,0.713667,1.715252,0.429120,548,90,0,1.590010,0.999281,0.439560,0.599569,0.351648,,,off,policy_direct_scale,0.599569,0.351648,0.599569,0.351648,nan,nan,0,0,off,off
3,1,2026-08-21T15:14:40.107,1787296480.107560873,NAVIGATING,map,base_link,3.089489,-2.457335,1.379071,2.694219,-0.794667,map,2.694219,-0.794667,1.556883,0.704853,1.709006,0.425125,548,90,0,1.593517,0.999278,0.430074,0.599567,0.344060,,,off,policy_direct_scale,0.599567,0.344060,0.599567,0.344060,nan,nan,0,0,off,off
3,2,2026-08-21T15:14:40.707,1787296480.707047939,NAVIGATING,map,base_link,3.086855,-2.457260,1.379774,2.694219,-0.794667,map,2.694219,-0.794667,1.557804,0.701158,1.708326,0.422932,548,90,0,1.581108,0.999279,0.425254,0.599567,0.340203,,,off,policy_direct_scale,0.599567,0.340203,0.599567,0.340203,nan,nan,0,0,off,off
3,3,2026-08-21T15:14:41.307,1787296481.307528257,NAVIGATING,map,base_link,3.086318,-2.451901,1.376407,2.694219,-0.794667,map,2.694219,-0.794667,1.550281,0.704838,1.702988,0.426716,548,90,0,1.580281,0.999269,0.434688,0.599562,0.347750,,,off,policy_direct_scale,0.599562,0.347750,0.599562,0.347750,nan,nan,0,0,off,off
3,4,2026-08-21T15:14:41.907,1787296481.907188416,NAVIGATING,map,base_link,3.089937,-2.456049,1.378620,2.694219,-0.794667,map,2.694219,-0.794667,1.555217,0.705750,1.707859,0.426005,548,90,0,1.575282,0.999287,0.433195,0.599572,0.346556,,,off,policy_direct_scale,0.599572,0.346556,0.599572,0.346556,nan,nan,0,0,off,off
3,5,2026-08-21T15:14:42.507,1787296482.506988287,NAVIGATING,map,base_link,3.090016,-2.456553,1.375773,2.694219,-0.794667,map,2.694219,-0.794667,1.553681,0.710349,1.708368,0.428828,548,90,0,1.583830,0.999283,0.439509,0.599570,0.351607,,,off,policy_direct_scale,0.599570,0.351607,0.599570,0.351607,nan,nan,0,0,off,off
3,6,2026-08-21T15:14:43.112,1787296483.112129211,NAVIGATING,map,base_link,3.088973,-2.456228,1.377041,2.694219,-0.794667,map,2.694219,-0.794667,1.554461,0.707294,1.707810,0.427011,548,90,0,1.579805,0.999283,0.435025,0.599570,0.348020,,,off,policy_direct_scale,0.599570,0.348020,0.599570,0.348020,nan,nan,0,0,off,off
3,7,2026-08-21T15:14:43.706,1787296483.706894636,NAVIGATING,map,base_link,3.089815,-2.455881,1.377718,2.694219,-0.794667,map,2.694219,-0.794667,1.554438,0.707001,1.707668,0.426861,548,90,0,1.585517,0.999274,0.432261,0.599564,0.345809,,,off,policy_direct_scale,0.599564,0.345809,0.599564,0.345809,nan,nan,0,0,off,off
3,8,2026-08-21T15:14:44.311,1787296484.311496258,NAVIGATING,map,base_link,3.087762,-2.456161,1.376521,2.694219,-0.794667,map,2.694219,-0.794667,1.554262,0.706900,1.707465,0.426850,548,90,0,1.579414,0.999280,0.435172,0.599568,0.348137,,,off,policy_direct_scale,0.599568,0.348137,0.599568,0.348137,nan,nan,0,0,off,off
3,9,2026-08-21T15:14:44.907,1787296484.907165289,NAVIGATING,map,base_link,3.096889,-2.460053,1.377511,2.694219,-0.794667,map,2.694219,-0.794667,1.557028,0.715066,1.713375,0.430520,548,90,0,1.589105,0.999282,0.442853,0.599569,0.354283,,,off,policy_direct_scale,0.599569,0.354283,0.599569,0.354283,nan,nan,0,0,off,off
