scenario,seed,method,phase,recovery_trial,source,cmd_vx,cmd_vy,cmd_wz,measured_vx,measured_vy,measured_wz,predicted_vx,predicted_vy,predicted_wz,rolling_rmse,target_rmse,recovered,valid,safety_events
ablate_mixed_context,12101,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.11837964981104693,-0.016958773664523818,-0.14967705409091833,nan,nan,nan,nan,0.13790996947672404,False,True,
ablate_mixed_context,12102,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.16054333167092286,0.007974766089312642,-0.10056512944263354,nan,nan,nan,nan,0.14,False,True,
ablate_mixed_context,12103,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.13185308468184734,0.003615495869876678,-0.21907928498879847,nan,nan,nan,nan,0.14,False,True,
ablate_mixed_context,12104,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.17543898493275972,-0.014090315900525568,-0.1264825338755728,nan,nan,nan,nan,0.14,False,True,
ablate_mixed_context,12105,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.08513083727839454,-0.0439610392889923,-0.062369486744406,nan,nan,nan,nan,0.14,False,True,
ablate_mixed_context,12106,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.10878963558272256,-0.00490689815010069,-0.1653857991135576,nan,nan,nan,nan,0.08296920781337692,False,True,
ablate_mixed_context,12107,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.12013906037859336,-0.0024188370864723697,-0.1770371314760156,nan,nan,nan,nan,0.14,False,True,
ablate_mixed_context,12108,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.19420447475269742,-0.02729590352470405,-0.17314324537284878,nan,nan,nan,nan,0.14,False,True,
ablate_mixed_context,12109,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.13622350321272153,-0.029875676930688787,-0.24306208528593518,nan,nan,nan,nan,0.14,False,True,
ablate_mixed_context,12110,frozen,adaptation,1,fixed,-0.35,-0.12,-0.35,-0.1873555854637134,-0.02802202509739078,-0.19299715204476167,nan,nan,nan,nan,0.14,False,True,
