distribution,budget,baseline,mean_baseline_minus_task_ivr_rmse,ci95_lower,ci95_upper,task_ivr_win_rate,paired_seeds
declared,18,active_no_task,0.009338728424640563,0.006696316566397823,0.01190230982852248,0.95,20
declared,18,d_opt,0.005264185045893767,0.0032056663549211877,0.007300001658975468,0.85,20
declared,18,lhs,0.012635636580462562,0.008923284465747647,0.016010602761305247,0.95,20
declared,24,active_no_task,0.006043064550694753,0.0045359848604996375,0.007606002094775967,0.95,20
declared,24,d_opt,0.005203701411323236,0.0037364024298498686,0.006588712232655391,0.95,20
declared,24,lhs,0.01022942496993256,0.007560843212728227,0.012959191714125908,0.9,20
declared,30,active_no_task,0.006390603798553414,0.005093879867724148,0.00769316321732619,1.0,20
declared,30,d_opt,0.005216742778469541,0.0037699825195006563,0.0066762731651037405,1.0,20
declared,30,lhs,0.008127984312713561,0.006040159607724035,0.010274032431864519,1.0,20
forward_heavy,18,active_no_task,0.008827419538815653,0.006555577760622324,0.011198195340129266,0.95,20
forward_heavy,18,d_opt,0.006089547858233008,0.0040862884945988,0.00814356914598028,0.9,20
forward_heavy,18,lhs,0.013051783442586232,0.009624489879564739,0.01606936760248477,0.95,20
forward_heavy,24,active_no_task,0.006137892944851908,0.0046133506743307184,0.007678916616177945,1.0,20
forward_heavy,24,d_opt,0.00603135462200843,0.004554823319735745,0.007713556120195152,1.0,20
forward_heavy,24,lhs,0.010960481553488608,0.00813251484145916,0.013801790439096441,0.95,20
forward_heavy,30,active_no_task,0.006823820681512269,0.0055811396948985134,0.008124942440822678,1.0,20
forward_heavy,30,d_opt,0.005687041625753361,0.004206479518213637,0.007258246773315891,1.0,20
forward_heavy,30,lhs,0.00891200778560979,0.00661766570303564,0.011292744183462038,1.0,20
left_heavy,18,active_no_task,0.009578832710696924,0.005997762771616814,0.013173444024155916,0.85,20
left_heavy,18,d_opt,0.0029673835073717294,-0.00021397998852841144,0.00587740224013379,0.75,20
left_heavy,18,lhs,0.01070722592895185,0.006172927698625261,0.015259732677793549,0.9,20
left_heavy,24,active_no_task,0.005708827199622432,0.0029961388530262405,0.008354433990805524,0.75,20
left_heavy,24,d_opt,0.0020235117800354737,-0.00016822485266537756,0.003913994472675397,0.8,20
left_heavy,24,lhs,0.007341421579766293,0.00407309786237366,0.010800920829802852,0.85,20
left_heavy,30,active_no_task,0.007102482946016014,0.005164871738929669,0.009229916667132002,1.0,20
left_heavy,30,d_opt,0.0033927204079472716,0.001500360262552148,0.005009922032109433,0.85,20
left_heavy,30,lhs,0.005876371148772043,0.003545169384240333,0.008068934182986275,0.8,20
right_heavy,18,active_no_task,0.01052929101486939,0.006368111136801934,0.014545030736026822,0.9,20
right_heavy,18,d_opt,0.005267713985566368,0.002869660261195731,0.007540981004863335,0.9,20
right_heavy,18,lhs,0.013230520459446513,0.007952272257162479,0.018027910668290018,0.9,20
right_heavy,24,active_no_task,0.005966124424160056,0.004346736932983463,0.007609355511781647,0.95,20
right_heavy,24,d_opt,0.005571289694513258,0.003651452370785086,0.007480745933088987,0.85,20
right_heavy,24,lhs,0.01065796977618167,0.0076849255708583,0.01386023553414918,0.9,20
right_heavy,30,active_no_task,0.004283768165866687,0.002417459625365419,0.006136515946166072,0.85,20
right_heavy,30,d_opt,0.005595325356878267,0.003303073905986779,0.008001253264820018,0.8,20
right_heavy,30,lhs,0.00805786950124315,0.005598010972976903,0.010610072467875526,0.95,20
broad_uniform,18,active_no_task,-0.024259987733589256,-0.02904182313576443,-0.01936609674078065,0.0,20
broad_uniform,18,d_opt,-0.030047228609443227,-0.03490538434960257,-0.02528215037154941,0.0,20
broad_uniform,18,lhs,-0.0038307277899318056,-0.012136233284163413,0.0047335218063350075,0.35,20
broad_uniform,24,active_no_task,-0.026988222609254913,-0.03062010904693377,-0.023148298495088704,0.0,20
broad_uniform,24,d_opt,-0.029227757908566854,-0.032992847535396726,-0.025520023954206363,0.0,20
broad_uniform,24,lhs,-0.014211176427781452,-0.019556541259454465,-0.00898089456003402,0.1,20
broad_uniform,30,active_no_task,-0.015908574795353955,-0.018263363141334362,-0.013637883735152593,0.0,20
broad_uniform,30,d_opt,-0.01722667090591174,-0.01964769838072888,-0.014880230179261593,0.0,20
broad_uniform,30,lhs,-0.006385413001312653,-0.009816034814812833,-0.002407879054411377,0.1,20
