distribution,budget,seed,task_ivr_mismatch_to_declared_rmse_ratio
broad_uniform,18,1001,3.2075798516878797
broad_uniform,18,1002,2.667992530518928
broad_uniform,18,1003,5.009220556628841
broad_uniform,18,1004,3.905191180995859
broad_uniform,18,1005,2.1364214806453217
broad_uniform,18,1006,1.916536381408504
broad_uniform,18,1007,2.9543776066613554
broad_uniform,18,1008,2.391141390755537
broad_uniform,18,1009,3.138272381962643
broad_uniform,18,1010,2.34990864854099
broad_uniform,18,1011,3.577189929941947
broad_uniform,18,1012,3.584421157180423
broad_uniform,18,1013,2.006734939220495
broad_uniform,18,1014,2.16087981538299
broad_uniform,18,1015,3.5936823690095645
broad_uniform,18,1016,2.237343393265167
broad_uniform,18,1017,3.3203510247771324
broad_uniform,18,1018,3.079988801806332
broad_uniform,18,1019,3.2843731165439745
broad_uniform,18,1020,2.1105587842715314
broad_uniform,24,1001,4.1211487107911875
broad_uniform,24,1002,2.741492442959602
broad_uniform,24,1003,4.3533039875972985
broad_uniform,24,1004,3.5704717071271834
broad_uniform,24,1005,2.897893802189566
broad_uniform,24,1006,2.554968026943835
broad_uniform,24,1007,2.786924062899372
broad_uniform,24,1008,3.5622493098338373
broad_uniform,24,1009,3.0926874401320377
broad_uniform,24,1010,2.631912152652822
broad_uniform,24,1011,3.3607385987258978
broad_uniform,24,1012,3.3397716067509937
broad_uniform,24,1013,2.6155757931364274
broad_uniform,24,1014,2.77210907804407
broad_uniform,24,1015,4.181240581315462
broad_uniform,24,1016,2.442875093094854
broad_uniform,24,1017,3.3962380542951265
broad_uniform,24,1018,3.8603221724595675
broad_uniform,24,1019,3.420006861373962
broad_uniform,24,1020,2.510480843502493
broad_uniform,30,1001,3.2851828104908356
broad_uniform,30,1002,2.391613036861994
broad_uniform,30,1003,2.3875468271675513
broad_uniform,30,1004,2.3559030320533587
broad_uniform,30,1005,2.1353603238756733
broad_uniform,30,1006,2.7444340960968265
broad_uniform,30,1007,2.6941332688855826
