budget,baseline,mean_rmse_improvement,rmse_improvement_ci95,active_win_count,paired_seeds
12,lhs,0.01305645054732514,"[0.004831968269958803, 0.021487585523110402]",14,20
12,d_opt,0.0010065091792930364,"[-0.0035521298137522355, 0.005406207402486531]",10,20
12,active_no_task,-0.0017673292353728928,"[-0.006804120891261584, 0.0037127558935806755]",7,20
18,lhs,0.011217938249556105,"[0.007540529595114421, 0.014489937699172417]",19,20
18,d_opt,0.003915123020432875,"[0.0017710799040543384, 0.00595494465020113]",16,20
18,active_no_task,0.008806189397914464,"[0.0062721467203514045, 0.011338615591426482]",19,20
24,lhs,0.008867964936419356,"[0.006418830517441605, 0.011328341768060236]",18,20
24,d_opt,0.004313070650632087,"[0.0030096775006390186, 0.005638323729661207]",19,20
24,active_no_task,0.005453944542479371,"[0.0038456182218878214, 0.007086752687745699]",18,20
30,lhs,0.007536138265828671,"[0.0055770520698885, 0.009566738707632893]",20,20
30,d_opt,0.004663332211484848,"[0.0033628173903761816, 0.006016657410596862]",19,20
30,active_no_task,0.005983994705409447,"[0.0045678986114468766, 0.0074394333333907305]",20,20
