budget,method,mean_heldout_rmse,mean_heldout_rmse_ci95_lower,mean_heldout_rmse_ci95_upper
12,active,0.05012611049752517,0.044881510223728216,0.05534969298089503
12,lhs,0.06318256104485032,0.054806434895611614,0.07211829409403088
12,d_opt,0.0511326196768182,0.04544286311563689,0.057434047009322836
12,active_no_task,0.048358781262152276,0.04383547480761627,0.05296391250446824
18,active,0.021425017668932032,0.019946861226020067,0.022916713678273835
18,lhs,0.032642955918488134,0.029344142952905456,0.03586973905840877
18,d_opt,0.025340140689364903,0.02393430107829865,0.026763100520532514
18,active_no_task,0.030231207066846493,0.028368408878781774,0.032142622072572236
24,active,0.016840728490579108,0.015754064350939116,0.017913424591266804
24,lhs,0.025708693426998462,0.02385442023916196,0.0277240124439194
24,d_opt,0.021153799141211196,0.019737851987267536,0.022777976537043897
24,active_no_task,0.02229467303305848,0.02080389952467588,0.02388117529872528
30,active,0.014197508408538864,0.013334293880367734,0.015061588613630874
30,lhs,0.021733646674367536,0.020201241155548916,0.023406409807832766
30,d_opt,0.018860840620023717,0.017491913908108947,0.020282708148413313
30,active_no_task,0.020181503113948306,0.018647527095212228,0.021793935083792598
