family,method,seed,accuracy_trial,uncertainty_trial,joint_trial,binding_gate
affine,active,1001,13,18,18,uncertainty
affine,active,1002,14,18,18,uncertainty
affine,active,1003,13,18,18,uncertainty
affine,active,1004,13,18,18,uncertainty
affine,active,1005,14,18,18,uncertainty
affine,active,1006,14,18,18,uncertainty
affine,active,1007,14,18,18,uncertainty
affine,active,1008,14,18,18,uncertainty
affine,active,1009,16,18,18,uncertainty
affine,active,1010,11,18,18,uncertainty
affine,active,1011,14,18,18,uncertainty
affine,active,1012,14,18,18,uncertainty
affine,active,1013,14,18,18,uncertainty
affine,active,1014,12,18,18,uncertainty
affine,active,1015,14,18,18,uncertainty
affine,active,1016,14,18,18,uncertainty
affine,active,1017,13,18,18,uncertainty
affine,active,1018,13,18,18,uncertainty
affine,active,1019,15,18,18,uncertainty
affine,active,1020,12,18,18,uncertainty
affine,active_no_task,1001,17,23,23,uncertainty
affine,active_no_task,1002,17,23,23,uncertainty
affine,active_no_task,1003,14,23,23,uncertainty
affine,active_no_task,1004,12,23,23,uncertainty
affine,active_no_task,1005,15,23,23,uncertainty
affine,active_no_task,1006,16,23,23,uncertainty
affine,active_no_task,1007,16,23,23,uncertainty
affine,active_no_task,1008,14,23,23,uncertainty
affine,active_no_task,1009,14,23,23,uncertainty
affine,active_no_task,1010,11,23,23,uncertainty
affine,active_no_task,1011,16,23,23,uncertainty
affine,active_no_task,1012,14,23,23,uncertainty
affine,active_no_task,1013,17,23,23,uncertainty
affine,active_no_task,1014,15,23,23,uncertainty
affine,active_no_task,1015,18,23,23,uncertainty
affine,active_no_task,1016,14,23,23,uncertainty
affine,active_no_task,1017,16,23,23,uncertainty
affine,active_no_task,1018,17,23,23,uncertainty
affine,active_no_task,1019,17,23,23,uncertainty
affine,active_no_task,1020,12,23,23,uncertainty
affine,d_opt,1001,15,19,19,uncertainty
affine,d_opt,1002,12,19,19,uncertainty
affine,d_opt,1003,12,19,19,uncertainty
affine,d_opt,1004,15,19,19,uncertainty
affine,d_opt,1005,16,19,19,uncertainty
affine,d_opt,1006,14,19,19,uncertainty
affine,d_opt,1007,14,19,19,uncertainty
affine,d_opt,1008,14,19,19,uncertainty
affine,d_opt,1009,12,19,19,uncertainty
affine,d_opt,1010,12,19,19,uncertainty
affine,d_opt,1011,16,19,19,uncertainty
affine,d_opt,1012,15,19,19,uncertainty
affine,d_opt,1013,16,19,19,uncertainty
affine,d_opt,1014,12,19,19,uncertainty
affine,d_opt,1015,16,19,19,uncertainty
affine,d_opt,1016,15,19,19,uncertainty
affine,d_opt,1017,12,19,19,uncertainty
affine,d_opt,1018,14,19,19,uncertainty
affine,d_opt,1019,16,19,19,uncertainty
affine,d_opt,1020,14,19,19,uncertainty
affine,lhs,1001,17,32,32,uncertainty
affine,lhs,1002,13,31,31,uncertainty
affine,lhs,1003,13,30,30,uncertainty
affine,lhs,1004,13,26,26,uncertainty
affine,lhs,1005,15,32,32,uncertainty
affine,lhs,1006,15,29,29,uncertainty
affine,lhs,1007,14,27,27,uncertainty
affine,lhs,1008,15,29,29,uncertainty
affine,lhs,1009,13,28,28,uncertainty
affine,lhs,1010,11,27,27,uncertainty
affine,lhs,1011,16,25,25,uncertainty
affine,lhs,1012,15,23,23,uncertainty
affine,lhs,1013,20,26,26,uncertainty
affine,lhs,1014,14,35,35,uncertainty
affine,lhs,1015,16,22,22,uncertainty
affine,lhs,1016,18,28,28,uncertainty
affine,lhs,1017,16,27,27,uncertainty
affine,lhs,1018,15,32,32,uncertainty
affine,lhs,1019,15,23,23,uncertainty
affine,lhs,1020,14,25,25,uncertainty
deadzone,active,1001,6,18,18,uncertainty
deadzone,active,1002,6,18,18,uncertainty
deadzone,active,1003,6,18,18,uncertainty
deadzone,active,1004,6,18,18,uncertainty
deadzone,active,1005,6,18,18,uncertainty
deadzone,active,1006,6,18,18,uncertainty
deadzone,active,1007,6,18,18,uncertainty
deadzone,active,1008,6,18,18,uncertainty
deadzone,active,1009,6,18,18,uncertainty
deadzone,active,1010,6,18,18,uncertainty
deadzone,active,1011,6,18,18,uncertainty
deadzone,active,1012,6,18,18,uncertainty
deadzone,active,1013,6,18,18,uncertainty
deadzone,active,1014,6,18,18,uncertainty
deadzone,active,1015,14,18,18,uncertainty
deadzone,active,1016,6,18,18,uncertainty
deadzone,active,1017,6,18,18,uncertainty
deadzone,active,1018,6,18,18,uncertainty
deadzone,active,1019,6,18,18,uncertainty
deadzone,active,1020,6,18,18,uncertainty
deadzone,active_no_task,1001,6,23,23,uncertainty
deadzone,active_no_task,1002,6,23,23,uncertainty
deadzone,active_no_task,1003,6,23,23,uncertainty
deadzone,active_no_task,1004,6,23,23,uncertainty
deadzone,active_no_task,1005,6,23,23,uncertainty
deadzone,active_no_task,1006,6,23,23,uncertainty
deadzone,active_no_task,1007,6,23,23,uncertainty
deadzone,active_no_task,1008,6,23,23,uncertainty
deadzone,active_no_task,1009,6,23,23,uncertainty
deadzone,active_no_task,1010,6,23,23,uncertainty
deadzone,active_no_task,1011,6,23,23,uncertainty
deadzone,active_no_task,1012,6,23,23,uncertainty
deadzone,active_no_task,1013,6,23,23,uncertainty
deadzone,active_no_task,1014,6,23,23,uncertainty
deadzone,active_no_task,1015,18,23,23,uncertainty
deadzone,active_no_task,1016,6,23,23,uncertainty
deadzone,active_no_task,1017,6,23,23,uncertainty
deadzone,active_no_task,1018,6,23,23,uncertainty
deadzone,active_no_task,1019,6,23,23,uncertainty
deadzone,active_no_task,1020,6,23,23,uncertainty
deadzone,d_opt,1001,6,19,19,uncertainty
deadzone,d_opt,1002,6,19,19,uncertainty
deadzone,d_opt,1003,6,19,19,uncertainty
deadzone,d_opt,1004,6,19,19,uncertainty
deadzone,d_opt,1005,6,19,19,uncertainty
deadzone,d_opt,1006,6,19,19,uncertainty
deadzone,d_opt,1007,6,19,19,uncertainty
deadzone,d_opt,1008,6,19,19,uncertainty
deadzone,d_opt,1009,6,19,19,uncertainty
deadzone,d_opt,1010,6,19,19,uncertainty
deadzone,d_opt,1011,6,19,19,uncertainty
deadzone,d_opt,1012,6,19,19,uncertainty
deadzone,d_opt,1013,6,19,19,uncertainty
deadzone,d_opt,1014,6,19,19,uncertainty
deadzone,d_opt,1015,16,19,19,uncertainty
deadzone,d_opt,1016,6,19,19,uncertainty
deadzone,d_opt,1017,6,19,19,uncertainty
deadzone,d_opt,1018,6,19,19,uncertainty
deadzone,d_opt,1019,6,19,19,uncertainty
deadzone,d_opt,1020,6,19,19,uncertainty
deadzone,lhs,1001,6,32,32,uncertainty
deadzone,lhs,1002,6,31,31,uncertainty
deadzone,lhs,1003,6,30,30,uncertainty
deadzone,lhs,1004,6,26,26,uncertainty
deadzone,lhs,1005,6,32,32,uncertainty
deadzone,lhs,1006,6,29,29,uncertainty
deadzone,lhs,1007,6,27,27,uncertainty
deadzone,lhs,1008,6,29,29,uncertainty
deadzone,lhs,1009,6,28,28,uncertainty
deadzone,lhs,1010,6,27,27,uncertainty
deadzone,lhs,1011,6,25,25,uncertainty
deadzone,lhs,1012,6,23,23,uncertainty
deadzone,lhs,1013,6,26,26,uncertainty
deadzone,lhs,1014,6,35,35,uncertainty
deadzone,lhs,1015,16,22,22,uncertainty
deadzone,lhs,1016,6,28,28,uncertainty
deadzone,lhs,1017,6,27,27,uncertainty
deadzone,lhs,1018,6,32,32,uncertainty
deadzone,lhs,1019,6,23,23,uncertainty
deadzone,lhs,1020,6,25,25,uncertainty
heteroscedastic,active,1001,6,20,20,uncertainty
heteroscedastic,active,1002,6,20,20,uncertainty
heteroscedastic,active,1003,6,20,20,uncertainty
heteroscedastic,active,1004,6,20,20,uncertainty
heteroscedastic,active,1005,14,20,20,uncertainty
heteroscedastic,active,1006,6,20,20,uncertainty
heteroscedastic,active,1007,16,20,20,uncertainty
heteroscedastic,active,1008,6,20,20,uncertainty
heteroscedastic,active,1009,6,20,20,uncertainty
heteroscedastic,active,1010,6,20,20,uncertainty
heteroscedastic,active,1011,14,20,20,uncertainty
heteroscedastic,active,1012,6,20,20,uncertainty
heteroscedastic,active,1013,17,20,20,uncertainty
heteroscedastic,active,1014,6,20,20,uncertainty
heteroscedastic,active,1015,14,20,20,uncertainty
heteroscedastic,active,1016,6,20,20,uncertainty
heteroscedastic,active,1017,6,20,20,uncertainty
heteroscedastic,active,1018,6,20,20,uncertainty
heteroscedastic,active,1019,17,20,20,uncertainty
heteroscedastic,active,1020,6,20,20,uncertainty
heteroscedastic,active_no_task,1001,6,31,31,uncertainty
heteroscedastic,active_no_task,1002,6,31,31,uncertainty
heteroscedastic,active_no_task,1003,6,31,31,uncertainty
heteroscedastic,active_no_task,1004,6,31,31,uncertainty
heteroscedastic,active_no_task,1005,15,31,31,uncertainty
heteroscedastic,active_no_task,1006,6,31,31,uncertainty
heteroscedastic,active_no_task,1007,16,31,31,uncertainty
heteroscedastic,active_no_task,1008,6,31,31,uncertainty
heteroscedastic,active_no_task,1009,6,31,31,uncertainty
heteroscedastic,active_no_task,1010,6,31,31,uncertainty
heteroscedastic,active_no_task,1011,7,31,31,uncertainty
heteroscedastic,active_no_task,1012,6,31,31,uncertainty
heteroscedastic,active_no_task,1013,17,31,31,uncertainty
heteroscedastic,active_no_task,1014,6,31,31,uncertainty
heteroscedastic,active_no_task,1015,25,31,31,uncertainty
heteroscedastic,active_no_task,1016,6,31,31,uncertainty
heteroscedastic,active_no_task,1017,6,31,31,uncertainty
heteroscedastic,active_no_task,1018,6,31,31,uncertainty
heteroscedastic,active_no_task,1019,17,31,31,uncertainty
heteroscedastic,active_no_task,1020,6,31,31,uncertainty
heteroscedastic,d_opt,1001,6,31,31,uncertainty
heteroscedastic,d_opt,1002,6,31,31,uncertainty
heteroscedastic,d_opt,1003,6,31,31,uncertainty
heteroscedastic,d_opt,1004,6,31,31,uncertainty
heteroscedastic,d_opt,1005,16,31,31,uncertainty
heteroscedastic,d_opt,1006,6,31,31,uncertainty
heteroscedastic,d_opt,1007,14,31,31,uncertainty
heteroscedastic,d_opt,1008,6,31,31,uncertainty
heteroscedastic,d_opt,1009,6,31,31,uncertainty
heteroscedastic,d_opt,1010,6,31,31,uncertainty
heteroscedastic,d_opt,1011,7,31,31,uncertainty
heteroscedastic,d_opt,1012,6,31,31,uncertainty
heteroscedastic,d_opt,1013,10,31,31,uncertainty
heteroscedastic,d_opt,1014,6,31,31,uncertainty
heteroscedastic,d_opt,1015,17,31,31,uncertainty
heteroscedastic,d_opt,1016,6,31,31,uncertainty
heteroscedastic,d_opt,1017,6,31,31,uncertainty
heteroscedastic,d_opt,1018,6,31,31,uncertainty
heteroscedastic,d_opt,1019,17,31,31,uncertainty
heteroscedastic,d_opt,1020,6,31,31,uncertainty
heteroscedastic,lhs,1001,6,40,40,uncertainty
heteroscedastic,lhs,1002,6,36,36,uncertainty
heteroscedastic,lhs,1003,6,40,40,uncertainty
heteroscedastic,lhs,1004,6,34,34,uncertainty
heteroscedastic,lhs,1005,21,43,43,uncertainty
heteroscedastic,lhs,1006,6,41,41,uncertainty
heteroscedastic,lhs,1007,19,37,37,uncertainty
heteroscedastic,lhs,1008,6,37,37,uncertainty
heteroscedastic,lhs,1009,6,42,42,uncertainty
heteroscedastic,lhs,1010,6,41,41,uncertainty
heteroscedastic,lhs,1011,7,32,32,uncertainty
heteroscedastic,lhs,1012,6,32,32,uncertainty
heteroscedastic,lhs,1013,22,34,34,uncertainty
heteroscedastic,lhs,1014,6,45,45,uncertainty
heteroscedastic,lhs,1015,20,30,30,uncertainty
heteroscedastic,lhs,1016,6,32,32,uncertainty
heteroscedastic,lhs,1017,6,42,42,uncertainty
heteroscedastic,lhs,1018,6,34,34,uncertainty
heteroscedastic,lhs,1019,16,30,30,uncertainty
heteroscedastic,lhs,1020,6,36,36,uncertainty
