rmse_threshold,uncertainty_threshold,baseline,mean_trials_saved,all_seeds_positive
0.03,0.001,lhs,17.166666666666664,True
0.03,0.001,d_opt,8.849999999999996,True
0.03,0.001,active_no_task,9.816666666666665,True
0.03,0.0015,lhs,12.2,True
0.03,0.0015,d_opt,4.516666666666666,True
0.03,0.0015,active_no_task,7.216666666666666,True
0.03,0.002,lhs,10.033333333333333,True
0.03,0.002,d_opt,3.6666666666666665,True
0.03,0.002,active_no_task,6.216666666666668,True
0.04,0.001,lhs,17.166666666666664,True
0.04,0.001,d_opt,8.666666666666663,True
0.04,0.001,active_no_task,9.666666666666663,True
0.04,0.0015,lhs,12.2,True
0.04,0.0015,d_opt,4.333333333333331,True
0.04,0.0015,active_no_task,7.0,True
0.04,0.002,lhs,10.183333333333334,True
0.04,0.002,d_opt,3.3833333333333315,True
0.04,0.002,active_no_task,6.0,True
0.05,0.001,lhs,17.166666666666664,True
0.05,0.001,d_opt,8.666666666666663,True
0.05,0.001,active_no_task,9.666666666666663,True
0.05,0.0015,lhs,12.2,True
0.05,0.0015,d_opt,4.333333333333331,True
0.05,0.0015,active_no_task,7.0,True
0.05,0.002,lhs,10.183333333333334,True
0.05,0.002,d_opt,3.3333333333333313,True
0.05,0.002,active_no_task,6.0,True
