map,baseline,completion_ratio,completion_ratio_ci95_lower,completion_ratio_ci95_upper,success_difference_ci95_lower,success_difference_ci95_upper,validation_rmse_reduction,validation_rmse_reduction_ci95_lower,validation_rmse_reduction_ci95_upper,validation_rmse_win_rate
replicate_s_bend,B2_lhs,1.0183196759913349,0.9812681263447405,1.0557261205075135,0.0,0.041666666666666664,0.02475946666649895,-0.02972535487483563,0.07840351956873598,0.5694444444444444
replicate_s_bend,B3_sobol,0.9989374480273494,0.9701796361922124,1.0306237357932935,0.0,0.0,-0.10467009698603334,-0.15209537939451795,-0.05753517916741852,0.3333333333333333
replicate_s_bend,B4_d_opt,1.030992228102799,1.0008983169867538,1.0628274161683882,0.0,0.0,0.09975233043362294,0.059658619803932375,0.13796157928745972,0.7638888888888888
replicate_s_bend,B5_active_no_task,1.007595526561044,0.9758978568878723,1.0412897254764526,0.0,0.0,0.02925724439804953,-0.008561606756177393,0.06801541069106733,0.5833333333333334
replicate_offset_slalom,B2_lhs,0.9637430141794838,0.919257590602646,1.0058139485060231,0.0,0.06944444444444445,0.17072575351990038,0.1276686390972112,0.21351290858649483,0.8333333333333334
replicate_offset_slalom,B3_sobol,1.0207416104099403,0.9940371935423008,1.0491583296266234,0.0,0.0,-0.0382785785076515,-0.09126028141204866,0.013007408791512819,0.5277777777777778
replicate_offset_slalom,B4_d_opt,1.000575429174259,0.958373236106838,1.0398132840709908,0.0,0.041666666666666664,0.1028630722553032,0.05901903269566844,0.14675769925543963,0.75
replicate_offset_slalom,B5_active_no_task,0.9932879516351693,0.9528278256771191,1.02944211280911,0.0,0.041666666666666664,0.10319665741363261,0.06570011963646684,0.13830117694883723,0.7361111111111112
replicate_narrow_lane,B2_lhs,1.0451377961605894,1.0121925276790165,1.0793904770299096,0.0,0.0,0.197821501250314,0.15755253755720972,0.23850157877926584,0.8472222222222222
replicate_narrow_lane,B3_sobol,1.0286283185840706,0.9937402204152141,1.063443262206453,0.0,0.0,0.07247260134627784,0.02703900094870788,0.11705429098725363,0.6805555555555556
replicate_narrow_lane,B4_d_opt,1.0175077690725258,0.9830089703688526,1.052434907959258,0.0,0.0,0.1125934386151707,0.0786119608575971,0.14830702653388664,0.8194444444444444
replicate_narrow_lane,B5_active_no_task,1.0060587700696757,0.9708826046306533,1.0413622910345068,0.0,0.0,0.1060440986388339,0.0773428214448041,0.134887489619633,0.8611111111111112
replicate_double_chicane,B2_lhs,1.009592711682744,0.9715036042948932,1.0478352345630546,0.0,0.0,0.20196891636022693,0.15899820371549758,0.24344443302766033,0.8611111111111112
replicate_double_chicane,B3_sobol,1.0022343991062401,0.9712850984543617,1.0330882665123489,0.0,0.0,0.0454992743847298,-0.0009718523172495669,0.08774931925286744,0.6388888888888888
replicate_double_chicane,B4_d_opt,0.9978283898305085,0.968602350129872,1.0294966832500392,0.0,0.0,0.11498410730026071,0.06924697294005357,0.15769248335587407,0.7638888888888888
replicate_double_chicane,B5_active_no_task,0.9959820248480042,0.945650489653256,1.0395689617142614,0.0,0.041666666666666664,0.13565110187209553,0.10359801454064443,0.1685310345707603,0.8055555555555556
replicate_weighted_arc,B2_lhs,1.0159854046305548,0.9646383133245043,1.0690278733463112,-0.041666666666666664,0.041666666666666664,0.2478994627110952,0.2115546598779111,0.2858032067151424,0.9305555555555556
replicate_weighted_arc,B3_sobol,0.9857130815913692,0.9416436647462576,1.031124163322241,0.0,0.09722222222222222,0.09281833966091715,0.05302914347335585,0.13295540773822248,0.6666666666666666
replicate_weighted_arc,B4_d_opt,1.0087117781515504,0.9600391159734448,1.0540085676346094,0.0,0.041666666666666664,0.1228098184539778,0.08270535372775217,0.16250501956034383,0.7777777777777778
replicate_weighted_arc,B5_active_no_task,0.9635015447991762,0.9234012018328214,1.0011749734665791,0.0,0.06944444444444445,0.10327151965625626,0.07753410640234885,0.13019502842786837,0.8472222222222222
replicate_extended_lane,B2_lhs,1.046081413274447,1.004300985992402,1.0900397064560743,0.0,0.041666666666666664,0.23263579071401697,0.19501006636493187,0.2709500454331714,0.9305555555555556
replicate_extended_lane,B3_sobol,1.0115632554391618,0.9717053457484063,1.0500217596044057,0.0,0.041666666666666664,0.06584818789335481,0.030542131218831748,0.09939174459297043,0.75
replicate_extended_lane,B4_d_opt,1.0013161043311796,0.9615990047450441,1.0405333594411657,0.0,0.041666666666666664,0.11635707303943137,0.08275290738648203,0.15088769202863944,0.8055555555555556
replicate_extended_lane,B5_active_no_task,1.0177550772224246,0.9880365968537518,1.0492180868228074,0.0,0.0,0.10665166286292435,0.07892669650012803,0.1317122757261575,0.8472222222222222
